design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
B,MAG_mf_mean_rbf,0.4851468269236102,0.008929753095869845,0.5322241296238763,0.18940229310885756,0.635093698726578,0.8174897182710538,0.5147264604520192,0.5060648836742286,0.16508779890667766,0.7649737940772952,0.9002842664689161,90,83,88,86,5
B,MAG_mf_mean_cos,0.48609406794473997,0.009840232803609971,0.5317029769131771,0.1891804413671191,0.6366548251216749,0.810769201987142,0.5146606060587576,0.4998388224074427,0.1643414850492661,0.7543094046284282,0.8953405017921147,90,83,88,86,5
B,CUR_mf_mean_ridge,0.49166464127096204,0.009955809673574567,0.5336392277366248,0.18567191477512657,0.6559640310824686,0.8277373342303816,0.5413729332626489,0.4988405157364879,0.16432448210496553,0.7538254766191017,0.8945742182672105,90,83,88,86,5
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5
B,MAG_mf_mean_ridge,0.4933344892620026,0.012789063927051206,0.5475989799585481,0.1889759718537864,0.6481043827319601,0.8107131376019933,0.513334611095529,0.500795045720012,0.164419526442014,0.7561998225679801,0.8951180323816587,90,83,88,86,5
B,CUR_mf_mean_sign,0.5195645609998996,0.008550031891989567,0.5649050575870771,0.19465845533794757,0.692861745193952,0.8048179063426317,0.4747306992929038,0.5235712417298204,0.17450901779771824,0.7873349141193647,0.8713385242862439,90,83,88,86,5
B,CONCAT_mf_mean_P16,0.5265177405644994,0.0062450177223306366,0.5699943317301791,0.1940810659851226,0.7023477181010206,0.7211875925184845,0.4156576061104002,0.5367942472702102,0.17080719946993603,0.815773128909142,0.8316400939315288,90,83,88,86,5
B,COMP_mf_mean,0.5646556034082206,0.016642727651875293,0.5996929039841964,0.20315060552068936,0.7648154787921247,0.6428521730805394,0.27856817754846863,0.600129110238506,0.17817820069185,0.9251967789500399,0.6915585218143616,90,83,88,86,5
B,DIR_mf_mean_C0.1,0.5841446558304997,0.012667880259215393,0.6182974003907109,0.20603470081021746,0.8017120702749254,0.6195187650288655,0.24138106559896713,0.6138148106068989,0.18107668375715552,0.947548796896807,0.6615251514027932,90,83,88,86,5
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
