design_,design,model,n_units,n_chemotypes,macro_accuracy,ci_low,ci_high,pooled_accuracy,seconds,gain,gain_lo,gain_hi,p_two_sided,units_better,units_worse
B,B,TOPO39,82,40,0.8400158378207159,0.7370347707847706,0.9153351758289298,0.7937716262975778,3.8,,,,,,
B,B,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.0,-0.2814634146341463,-0.5323333333333332,-0.12236946326211579,0.0,6.0,28.0
B,B,ALWAYS_LIGHT,82,40,0.44144757681343044,0.28817293958695234,0.6842813815686885,0.2975778546712803,0.0,-0.3985682610072854,-0.5744468607688555,-0.1126403916809924,0.003,10.0,43.0
BR,BR,TOPO39,82,40,0.8346499841621794,0.7295702212547179,0.9104255411255412,0.797923875432526,3.5,,,,,,
BR,BR,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.0,-0.2760975609756098,-0.5250105932203389,-0.11770892857142864,0.0,5.0,28.0
BR,BR,ALWAYS_LIGHT,82,40,0.44144757681343044,0.28817293958695234,0.6842813815686885,0.2975778546712803,0.0,-0.39320240734874884,-0.5692528434725126,-0.10303030303030306,0.0034,10.0,43.0
BQ,BQ,TOPO39,82,40,0.8400158378207159,0.7376664483177641,0.9148332664995824,0.8,3.4,,,,,,
BQ,BQ,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.0,-0.2814634146341463,-0.5320786696514231,-0.1231562954347194,0.0,5.0,28.0
BQ,BQ,ALWAYS_LIGHT,82,40,0.44144757681343044,0.28817293958695234,0.6842813815686885,0.2975778546712803,0.0,-0.3985682610072854,-0.5737739216843761,-0.10987472766884533,0.0028,11.0,43.0
A,A,TOPO39,82,40,0.8346499841621794,0.7317930267930267,0.9090923120089786,0.7986159169550173,3.6,,,,,,
A,A,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.0,-0.2760975609756098,-0.5218789724576272,-0.1197216005204945,0.0,4.0,28.0
A,A,ALWAYS_LIGHT,82,40,0.44144757681343044,0.28817293958695234,0.6842813815686885,0.2975778546712803,0.0,-0.39320240734874873,-0.5711714969145109,-0.10461963227107228,0.0036,13.0,43.0
BP,BP,TOPO39,82,40,0.8205036426987645,0.7036516858962746,0.9000004833354347,0.7820069204152249,4.0,,,,,,
BP,BP,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.0,-0.26195121951219513,-0.5060653409090908,-0.1050519480519481,0.0008,5.0,26.0
BP,BP,ALWAYS_LIGHT,82,40,0.44144757681343044,0.28817293958695234,0.6842813815686885,0.2975778546712803,0.0,-0.37905606588533414,-0.5624723417312013,-0.07898020382395383,0.0094,11.0,43.0
