design,band,n,mean_s,mae_amp_gp,mae_amp_g14,mae_mag_gp,true_mag,gp_minus_g14
A,"[0.0, 0.45)",108,0.3358636178583601,0.31370170126006025,0.35007762507558315,0.29648935959457245,0.36784716717089433,-0.036375923815522904
A,"[0.45, 0.55)",84,0.5166843119551898,0.29499922776270016,0.2810734105117089,0.2623902366163685,0.277448170341919,0.013925817250991235
A,"[0.55, 0.62)",64,0.5561792781493868,0.12176481610281469,0.18446765388355124,0.11446310743538513,0.41161531186914935,-0.06270283778073656
A,"[0.62, 0.68)",146,0.6588358624871253,0.22671454302504115,0.27083678996972765,0.18418978503095723,0.10725374520560274,-0.0441222469446865
A,"[0.68, 0.7)",10,0.693842746400886,0.32623239473068566,0.5255887214864302,0.32623239473068566,0.8064386860692505,-0.19935632675574455
A,"[0.7, 1.001)",1033,0.9215170146144898,0.28453563526828646,0.30403061550375915,0.25452457605411855,0.34328683474145083,-0.019494980235472692
B,"[0.0, 0.45)",184,0.36121422029455447,0.31849376267746426,0.3851073143144238,0.28924663465815026,0.4860244824845721,-0.06661355163695953
B,"[0.45, 0.55)",141,0.5067733629262666,0.28892947769239824,0.2625509556665445,0.21911655721880835,0.3319692584712119,0.026378522025853723
B,"[0.55, 0.62)",90,0.5754928961105529,0.20052215742147464,0.23560221896547467,0.18578964810566173,0.32557773746579627,-0.035080061544000035
B,"[0.62, 0.68)",1019,0.6620833456897748,0.29511328284504607,0.2918247926975924,0.26199976382546264,0.28744905986665237,0.003288490147453693
B,"[0.68, 0.7)",11,0.6936809960065774,0.3602597555604661,0.5618593533352615,0.3602597555604661,0.8424086976172718,-0.2015995977747954
BP,"[0.0, 0.45)",316,0.3551389589992453,0.31715564847964556,0.354353076422628,0.2631113427190315,0.35625414747098644,-0.03719742794298242
BP,"[0.45, 0.55)",260,0.4969087923774163,0.2250028835437593,0.2277470291344156,0.2127338386259946,0.28416234164853515,-0.002744145590656305
BP,"[0.55, 0.62)",54,0.5779873419591162,0.30426757650588115,0.28765983152527946,0.29077642730870673,0.35585484662912925,0.01660774498060169
BP,"[0.62, 0.68)",814,0.661890659017706,0.29614174252830866,0.30627962826103083,0.2629223726237019,0.32103622194863995,-0.010137885732722174
BP,"[0.68, 0.7)",1,0.6976744186046512,0.20990316159145128,0.41643627514608206,0.20990316159145128,0.7170884578157906,-0.20653311355463078
BQ,"[0.0, 0.45)",185,0.3598487498851058,0.3360125857287266,0.38973675724378487,0.3015367011527876,0.48428252664926197,-0.05372417151505826
BQ,"[0.45, 0.55)",154,0.5086473335577004,0.24255412740320853,0.22601131884958445,0.22450070041705952,0.3146603415547145,0.016542808553624083
BQ,"[0.55, 0.62)",294,0.5781548314071917,0.3144804222132936,0.31116770475658323,0.2941142271156907,0.3841181092959974,0.0033127174567103568
BQ,"[0.62, 0.68)",801,0.6574617754394579,0.27995124225215245,0.27972098083388364,0.24382269395746517,0.25901132888274636,0.00023026141826881785
BQ,"[0.68, 0.7)",11,0.6936809960065774,0.36169943377143277,0.5611774520297008,0.36169943377143277,0.8424086976172718,-0.19947801825826805
BR,"[0.0, 0.45)",187,0.35481824014117225,0.31969205474163126,0.39085701512055704,0.2881851249994782,0.491200831445291,-0.07116496037892578
BR,"[0.45, 0.55)",182,0.5029416710925391,0.23262509105882628,0.23190028461398546,0.21273235701054305,0.29975351161109476,0.0007248064448408253
BR,"[0.55, 0.62)",71,0.573908667823338,0.22672092543023226,0.24604143435298573,0.2164600513929446,0.33488202439745696,-0.01932050892275347
BR,"[0.62, 0.68)",995,0.6615709718121895,0.2953528759498267,0.29561777325214866,0.26137895766837793,0.2906244526137867,-0.00026489730232198694
BR,"[0.68, 0.7)",10,0.6932816537467701,0.3684826838591273,0.5458069704878119,0.3684826838591273,0.835760559500667,-0.1773242866286846
