design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BP,G14,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797732,0.9026819923371647,90,83,88,86,5
BP,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BP,D_LIG2D_RIDGE_a10,0.6172065523469106,0.0661388965784067,0.6257244956179344,0.2056726391521043,0.8459125278378252,0.6112500898231934,0.2639697671259888,0.6132780110021183,0.18078230450367594,0.9457636977941835,0.6756890372018292,90,83,88,86,5
BP,D_LIG2D_RIDGE_a1,0.6243777315913261,0.05727784054375858,0.6330580290071877,0.20852353491480677,0.8652298487113608,0.5913376067779068,0.22035897913956867,0.6145321262729461,0.18005895807892894,0.9499818140796784,0.6758373501421332,90,83,88,86,5
BP,D_RBF_KRR_a0.1,0.6297441923789883,0.049861911409907124,0.6661225657828792,0.20897308240980528,0.8586291429876111,0.5981646879214743,0.2559189424812655,0.6059586357992169,0.17879049203073058,0.9373305433504386,0.7065381287850698,90,83,88,86,5
BP,D_LIG2D_RIDGE_a100,0.6322471830670888,0.05980915947345263,0.6420641785329965,0.20983692295403594,0.8639835066294845,0.5895054918864935,0.2126527023329825,0.6643974224488983,0.19118880723957196,1.0288691569512407,0.5794339389445062,90,83,88,86,5
BP,D_LIG2D_RIDGE_a1000,0.6511831120064374,0.05344268288463156,0.6714880328683157,0.21308015222127716,0.899297995230123,0.553522960223405,0.17708799892537302,0.6874037660415646,0.1947375974418451,1.066901625036529,0.5230997404523545,90,83,88,86,5
BP,D_RBF_KRR_a1,0.6584678349990509,0.053367068119133346,0.6831499103685099,0.2126797466019103,0.906434464523796,0.5446853090050421,0.1710304390350212,0.6843401577616376,0.19291389109242185,1.0655643086853253,0.5469781238413052,90,83,88,86,5
BP,D_TOPOK_KLR_l1,0.6705598190518124,0.04485011808365424,0.6973983988174617,0.22248392434508438,0.9429752908913412,0.47756184758101244,0.01759121883017175,0.7797382935867645,0.2103591958816393,1.2177436458851287,0.3164750957854406,90,83,88,86,5
BP,D_RBF_KLR_l0.1,0.6709117944618794,0.037081927131936795,0.6741326589342982,0.21833751012451943,0.9334437942798681,0.4993985505652061,0.06360461695832362,0.7793564656502288,0.20955590267037733,1.221270042055887,0.33276480039550116,90,83,88,86,5
BP,D_COMBO_KLR_l0.1,0.6720420776200596,0.045015345511462586,0.7003629159539561,0.22275416672288562,0.9452602659728362,0.47531128494035235,0.013865686253707498,0.7805962227510008,0.21048338307314163,1.2192146540295608,0.3149919663824002,90,83,88,86,5
BP,D_COMBO_KLR_l1,0.6937294401408091,0.017859572655431158,0.7051847459213969,0.22666662785386377,0.9806747183617313,0.43108064781855243,-0.05516841313290063,0.822146514809958,0.2180422027293515,1.28694544867175,0.21802002224694106,90,83,88,86,5
BP,D_RBF_KRR_a10,0.6952873734719301,0.04283418057572813,0.7021418973516099,0.21754308028963174,0.9675934504980048,0.48728644953316536,0.0900442203034714,0.6943408615766622,0.19368836220631616,1.0826472490448298,0.5385984427141268,90,83,88,86,5
BP,D_RBF_KLR_l1,0.6967855315074463,0.023836514903643618,0.6970721569299492,0.22306684786673353,0.9736370142870159,0.4611849582234183,0.002982035846822749,0.7938696666919551,0.2114945389028565,1.2459081262148672,0.30186627116549253,90,83,88,86,5
BP,D_TOPOK_KLR_l10,0.6975583418417164,0.017018804425245452,0.7101694218615595,0.22725828296450307,0.9868421584700885,0.42513010402657275,-0.06500310107333043,0.8341321748654005,0.21945865164962122,1.3078663060901483,0.19186750710666173,90,83,88,86,5
BP,D_COMBO_KLR_l10,0.6975583418417164,0.017018804425245452,0.7101694218615595,0.22725828296450307,0.9868421584700885,0.42513010402657275,-0.06500310107333043,0.8341321748654005,0.21945865164962122,1.3078663060901483,0.19186750710666173,90,83,88,86,5
BP,D_COMBO_KLR_l100,0.7028731416713174,0.01902785684228183,0.7140188502520868,0.22810641985925,0.9956303456002049,0.4125625643011098,-0.07993501085895252,0.8370064387909828,0.21995285259860833,1.312574813451964,0.18667655419602028,90,83,88,86,5
BP,D_MAT_KLR_l1,0.7044010973595378,0.022650605173046654,0.7054374096207718,0.2244285091820153,0.9889516714828673,0.44347660314236637,-0.01644556035006146,0.8061109777170982,0.21350414262376097,1.2656127984265686,0.27121493016932396,90,83,88,86,5
BP,D_RBF_KLR_l10,0.7398893990122819,0.027650074748975663,0.7452862569311629,0.23027102332076374,1.0467472782774854,0.37897256167143073,-0.0938176008061183,0.8377673701984946,0.21792123128335059,1.319009489572519,0.20509207761710543,90,83,88,86,5
BP,D_MAT_KLR_l10,0.7487277590778182,0.030223264076260817,0.7524132851668677,0.23140111346761727,1.0611471278360718,0.362031055210127,-0.11159964984737272,0.8413011674228749,0.2183436681925472,1.3250740417296658,0.20009887529353604,90,83,88,86,5
BP,D_RBF_KLR_l100,0.750949141228134,0.03861811401162324,0.7564022810488774,0.2311954491483176,1.0678589381727446,0.358028400119432,-0.12030235796553383,0.8480701010683486,0.2190508934884018,1.3367111180053797,0.1860338647880361,90,83,88,86,5
