design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
A,G14,0.49213393784744824,0.010436668747165393,0.5444543521521373,0.1884761577560658,0.6451991179908991,0.8084723143535989,0.5111303834901167,0.4937334554735816,0.1635088768451623,0.7453321878071688,0.9130638981584477,90,83,88,86,5
A,D_TAN_SVC_C10,0.5091002975575989,0.010512811515235523,0.5776527860191417,0.19441903678686212,0.6818600200159135,0.7815762484691137,0.4402003214027044,0.5193933848959456,0.1686449555036579,0.7865328992790912,0.8568780126065999,90,83,88,86,5
A,D_KNN_TAN_k1,0.5135251096243029,0.010399336166678258,0.5819160729281915,0.19160811494082494,0.6786779567365033,0.7751915472580942,0.47653175121564156,0.5104645558523836,0.16703962213216653,0.770719823424258,0.8703250525274997,90,83,88,86,5
A,D_TAN_SVC_C1,0.514583129302492,0.009677211838084291,0.5849579554800427,0.19507536517305504,0.6906012170436562,0.770502971132219,0.4263257846795422,0.5225668401603041,0.16894656467261107,0.7921602569356494,0.8517117785193424,90,83,88,86,5
A,D_TAN_KLR_l0.1,0.5163259460617311,0.012686226556324832,0.584129191953368,0.19549396225227264,0.694846126757316,0.7655433905992916,0.42060262513495417,0.5462306204053791,0.17369054419068322,0.8300926869943696,0.7957730812013348,90,83,88,86,5
A,D_ECFPraw_LOGIT_C0.1,0.5194561454745924,0.011087258341726082,0.590203282487721,0.1957778582689729,0.6990693938553381,0.7599458306440419,0.41469102509437317,0.5490336431432515,0.17368303919548034,0.8357930949077549,0.7902113459399333,90,83,88,86,5
A,D_ECFPraw_LOGIT_C1,0.5218737797170429,0.01108978489240165,0.589818629371192,0.19638085022827004,0.7032562810875369,0.7549870693626294,0.4081261702471263,0.5509587666998738,0.17421545373483024,0.8386612716610807,0.7861821777283401,90,83,88,86,5
A,D_TAN_KLR_l1,0.5257799830817749,0.00977193088245922,0.5975132730854766,0.1968418805091545,0.7102891089328122,0.7463717809045252,0.3942516374793695,0.5612446976769283,0.1762206708504823,0.8550530763452916,0.7626992955135335,90,83,88,86,5
A,D_TAN_KRR_a0.01,0.5300408492589211,0.010787999055041691,0.6055800322338113,0.19468659782219405,0.7042135828914895,0.7595990837911684,0.43641120835990266,0.5110838384806449,0.1647664160085908,0.7766426907650485,0.8791002348288222,90,83,88,86,5
A,D_ECFPz_LOGIT_C0.01,0.5308427249970935,0.01681141621032957,0.5917558368102939,0.19758148485800597,0.713676064591292,0.7396491467173709,0.3994591048697824,0.5497054090230381,0.17332084225017255,0.8368489650026393,0.7939438882709183,90,83,88,86,5
