design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
A,M_TANlin_KRR_a0.01,0.4588149113634025,0.014656867269654492,0.5161919678660792,0.18487492698790037,0.5899781486670443,0.811653955396074,0.49964838341186757,0.4614338134747247,0.1600089480678282,0.6869176307866905,0.9088122605363985,90,83,88,86,5
A,M_KNN_TAN_k3,0.46376286954791784,0.011203913690434381,0.5287562621676554,0.1871015178012811,0.5968388314470077,0.8008886297392023,0.48604296670978553,0.42461806512917766,0.15848520897438736,0.615546280716008,0.9029538993943889,90,83,88,86,5
A,M_TANlin_KRR_a0.1,0.4645179629655304,0.01271969779393243,0.5190154084592764,0.18523458667932569,0.5997020168234407,0.8123196813052802,0.5041829607583422,0.4630413050550299,0.1600748274512627,0.6902707027744462,0.9110369546409591,90,83,88,86,5
A,M_KNN_TAN_k5,0.4647169406986795,0.008376624921361047,0.5229714458621008,0.18687213618551482,0.5972863043225316,0.801550808521706,0.49143684209144023,0.427023429646607,0.1570268929776591,0.6247066316729206,0.9094796687677666,90,83,88,86,5
A,M_KNN_TAN_k10,0.4663267145879887,0.008933632472182783,0.5180922112385277,0.1863232278208386,0.6022947206603948,0.802366929367247,0.4969605975004353,0.44146097712142907,0.1583595672553118,0.6505651128458156,0.9117290816957113,90,83,88,86,5
A,M_TAN_GP,0.4671505344036569,0.01176765419277259,0.5218108455059884,0.18542222237705253,0.6040866248076711,0.8137191773742231,0.5058598868110545,0.4584124552795553,0.15958498325855583,0.6821478029885071,0.9120504263997034,90,83,88,86,5
A,M_MAT_GP,0.46757249124397526,0.010765938010882896,0.5224011404490448,0.1841086683798974,0.603534899487728,0.8246015271273512,0.5221365871963222,0.4635172316695729,0.16058492111495865,0.6903375417492837,0.9137807440365838,90,83,88,86,5
A,M_TANlin_KRR_a1,0.4682044496497875,0.011747832884074159,0.5229869948340877,0.18549281077088153,0.6056639423199164,0.813908208479849,0.5078392975263262,0.4560874555994604,0.15939806443543375,0.6779838271156997,0.9126436781609195,90,83,88,86,5
A,M_TAN_KRR_a0.01,0.46913919967959866,0.011785899955728468,0.5203179471511228,0.18690988906304537,0.607733057559955,0.8053843776167365,0.4872669589553661,0.48028542190452767,0.16284492889577715,0.7191437111712569,0.8935607465084662,90,83,88,86,5
A,M_RBF_GP,0.4707923775547281,0.010883937874786311,0.5272862401639692,0.1847947134189801,0.6079442026981525,0.8244563409233805,0.5200676576485646,0.46711937824390065,0.16126611940401703,0.6963811848630054,0.9122234581633915,90,83,88,86,5
A,M_TANlin_KRR_a10,0.47798431452305545,0.011176950666132708,0.5316759698429159,0.18675343173432712,0.6215136760383079,0.8117724162945645,0.5097489374854167,0.4630972877208367,0.16033674485904592,0.6905458108032949,0.9133852428624397,90,83,88,86,5
A,M_TAN_KRR_a0.1,0.47828396689704444,0.009515012627113292,0.5266216198266858,0.18791879007457873,0.6232192737855948,0.80097859327722,0.4867331974033968,0.48827823379889723,0.1639020293350969,0.7331039431287633,0.8982820417748115,90,83,88,86,5
A,M_RBF_KRR_a0.1,0.4786205563020836,0.010959689769458719,0.5264759055941137,0.1868193779166684,0.6245912744052088,0.8091070390382521,0.5052742439797648,0.49533386189660705,0.16491721840129286,0.7453902961424473,0.9044617476208132,90,83,88,86,5
