design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
B,PRECW_DEATT,0.49174874849364636,0.009732247521306305,0.543902473760466,0.189929245055895,0.6478134044469592,0.8103651453421307,0.5063274727108955,0.5019823578364403,0.16443299734410385,0.7593492521418145,0.9055988134964775,90,83,88,86,5
B,PRECW,0.4923927758739831,0.009759377458180698,0.5461892762221944,0.1898140285832599,0.6490509782747388,0.8081496698831565,0.5069175086993293,0.49753296076310344,0.16385099716971985,0.7517494184694227,0.9054999382029415,90,83,88,86,5
B,MAGDEATT,0.4925639296690979,0.010578766291055431,0.5455328361113689,0.189929245055895,0.6490017674539849,0.8103651453421307,0.5056472006020519,0.5020134672240548,0.16443299734410385,0.759396091173444,0.9055988134964775,90,83,88,86,5
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5
B,G14R,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5
B,SH_MAG,0.5056482546706624,0.012043776170752097,0.5683356613712972,0.19056976559735622,0.6715359690018798,0.8051939510523347,0.5036446751041858,0.4830859055841341,0.16226970567670712,0.7266126181553039,0.9054505005561735,90,83,88,86,5
B,SH_DIR,0.5164458733234479,0.017473102040029578,0.5839827507434471,0.1894056748295055,0.6810883512508272,0.7907904216008405,0.5004885470768565,0.5059110610442414,0.1628373475023148,0.7690808027688978,0.8969719441354591,90,83,88,86,5
B,SH_BOTH_G,0.5264304647386081,0.021514037829298584,0.6018716012995009,0.18755929551896422,0.6946044599126118,0.8077306229347352,0.5129454277006725,0.49394961651452846,0.16050720281959702,0.7495685008703751,0.8968483500185391,90,83,88,86,5
B,SH_ALL,0.5324936320134441,0.020582147054745044,0.6096752474578485,0.1898382676526745,0.7067544175346063,0.7893443314473162,0.5013964271578375,0.49228007019687237,0.1609133756085112,0.7446544360697152,0.8968977876653071,90,83,88,86,5
B,SH_BOTH,0.5326693001953234,0.020851812129826043,0.6108068477482969,0.18989632960936584,0.7075475645411371,0.7897259120064362,0.5006045174757736,0.4924962820952817,0.16102293552913105,0.746160932149432,0.8970461006056112,90,83,88,86,5
B,SH_PRECW,0.5346582850926248,0.01768034842622669,0.6147848175428997,0.190250817465004,0.7106183743011207,0.7874003306110874,0.49645978711986316,0.4936475037425537,0.16118583689038896,0.7481378404332555,0.8955135335558028,90,83,88,86,5
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BR,MAGDEATT,0.48951342705750867,0.013627406594241252,0.541035184472029,0.18889076496789015,0.6438247255329554,0.809811314069713,0.501548785967996,0.4965045516036256,0.16383207718823667,0.7492455417681679,0.9050797182054134,90,83,88,86,5
BR,G14,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5
