design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
B,PRECW_SHARP,0.4924420294649498,0.005720068369664493,0.5462877834041278,0.1896087783981612,0.6482473617816614,0.8095893155088486,0.5102939651074953,0.4958653586480284,0.16366235581561298,0.748781087038886,0.9089358546533185,90,83,88,86,5
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5
B,RICH3,0.4943674050405992,0.00803979346134827,0.5472850940473094,0.1911944927464509,0.6571643695743096,0.8035846001998319,0.4868124760711975,0.49964212299120847,0.16507511246336903,0.753252693877794,0.9019157088122606,90,83,88,86,5
B,RICH8,0.502399514399871,0.009220951334955527,0.562737476153082,0.18898662843165268,0.6644814197503317,0.8057007692890522,0.5094306471157942,0.48998043652042184,0.16220267606126718,0.7400815899637371,0.9079965393647262,90,83,88,86,5
B,RICH10,0.5259402552326561,0.030871312901143685,0.5784480005777988,0.1911834844096021,0.701660555891628,0.7964787305916785,0.4862580777172303,0.4883692654591036,0.1638013938945141,0.733525814111226,0.9022864911630206,90,83,88,86,5
B,SE_A_LT_050,0.535086947978836,0.02361041279032453,0.585692024010377,0.19645150900259964,0.7189798612478213,0.6863698455555245,0.3879023249517365,0.5606119319402293,0.17225960310262853,0.8579406825894991,0.7431961438635521,90,83,88,86,5
B,SE_A_LT_040,0.5435607358107506,0.032637938148363646,0.5916137951632321,0.19780639754697993,0.7325775469615241,0.65706335923574,0.3518822843622065,0.5708614726861004,0.174078293186064,0.8745048090014529,0.7057965640835496,90,83,88,86,5
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BR,PRECW_SHARP,0.49019757088247184,0.014192379570939561,0.542671877825408,0.18844843647936316,0.6441269552847452,0.8130018433997799,0.5090421623487011,0.4897537185264839,0.1630286445957966,0.7374627263807572,0.9123470522803114,90,83,88,86,5
BR,RICH3,0.4903304833589891,0.005950864230850047,0.541214386066879,0.1892598549271953,0.6495840875230166,0.8129778687863555,0.4958070037295282,0.4940133291960101,0.16406649262666184,0.7438507529993881,0.9079965393647262,90,83,88,86,5
BR,G14,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5
BR,RICH8,0.5040419217453742,0.011063478245305717,0.5648341671584832,0.18831561525243243,0.6633123239273291,0.7985471512080295,0.5020491247754819,0.4854731031967909,0.16217951107917425,0.7305963723662657,0.9044123099740452,90,83,88,86,5
BR,SE_A_LT_050,0.5181674855232308,0.006033354420909215,0.580887645356808,0.19276556805169465,0.6915004688969695,0.7000988800628951,0.40521669457632425,0.5186060361633167,0.16612168722146797,0.785951359948587,0.8092695587690026,90,83,88,86,5
BR,SE_A_LT_040,0.5201294831356782,0.006830982328742163,0.5831372697803902,0.19289744302624937,0.6944207359032457,0.689239562814406,0.3948752348695022,0.5195207064506979,0.16617990366488586,0.787596844967744,0.8047460140897293,90,83,88,86,5
