sigma,sigma_kind,floor_macro,floor_pooled,flat_macro
0.05,global constant,0.05544797160772741,0.05442751563029471,0.5016592650912265
0.1,global constant,0.11227334106751737,0.11000286059637347,0.5166120017207703
0.13,global constant,0.14285120748891855,0.14295537819348986,0.5326462622596324
0.15,global constant,0.1659119333475924,0.16429713562085496,0.5399810728056689
0.172,global constant,0.18874947153063654,0.18879077796965504,0.5593313248040637
0.201,global constant,0.22230576635931154,0.22108943971682846,0.5707389007637266
0.25,global constant,0.2761942846009651,0.2753889806000123,0.6036993653563539
0.334,global constant,0.3792650384486273,0.37132935868925254,0.6763219956523645
0.5,global constant,0.557736026045361,0.5592598936419049,0.8025627610056585
0.18527002347308694,resid_cell,0.20891218135720288,0.2050818172788031,0.5586650241904504
