design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,P3_CURV_1D_vs_G14,mae_all,G14,P3_CURV_1D,-0.0023680479587987165,-0.006264155978993138,0.002350445432880571,-0.006580735726201855,0.0020959240359930418,0.2898,0.0021677581771642807,0.006069722896059985,0.00034885538368362786,90,32,2,5,-0.0032130140453900577,-0.001216552760500432,True,0.02,False,False
B,P3_MAG_1D_vs_G14,mae_all,G14,P3_MAG_1D,-0.006208721970861989,-0.03137079483882665,0.010360317261617373,-0.027399334366272485,0.01300220223458832,0.5142,0.010917173764594666,0.030568086540865062,-0.009680242099545811,90,38,1,5,-0.01641396118928325,-0.0012070396598139275,True,0.02,False,False
B,P3_CURV_ALL_vs_G14,mae_all,G14,P3_CURV_ALL,-0.01151199538044735,-0.03192694423868817,0.012936395568529737,-0.029962918485462574,0.01682100644151781,0.3134,0.011404202582096725,0.03193176722987083,-0.01135201339853877,90,36,0,5,-0.017805427763561383,-0.008676576417319958,True,0.02,False,False
B,P3_DIR_TOPO_vs_G14,mae_all,G14,P3_DIR_TOPO,-0.0713866412890232,-0.10352949039272596,-0.04066159508855922,-0.10753361473939922,-0.044185144289844866,0.0002,0.01564598305364786,0.043808752550214006,-0.06584602014944003,90,6,0,5,-0.07552977052221388,-0.06352889273630391,True,0.02,False,False
B,G14_vs_FLAT,mae_all,FLAT,G14,0.09529829584074972,0.004622727498256647,0.15811118146640468,0.025528926143979863,0.17776096664043636,0.0374,0.04070711883377454,0.11397993273456872,0.061380939032823635,90,58,5,5,0.04912099154657615,0.10503240825245709,True,0.02,True,True
BR,P3_CURV_1D_vs_G14,mae_all,G14,P3_CURV_1D,-0.002671842545649353,-0.0062544917822304254,0.0018249475218273812,-0.0062551472897380755,0.0018243649525047714,0.2092,0.002029472471347286,0.0056825229197724,-0.0004892901634623664,90,36,2,5,-0.003598157144506785,-0.001825993265444279,True,0.02,False,False
BR,P3_MAG_1D_vs_G14,mae_all,G14,P3_MAG_1D,-0.011511433692389817,-0.03499726963539347,0.0031881397763175974,-0.03307944364588732,0.004103448263415827,0.1454,0.009830370029735698,0.027525036083259954,-0.019796983190467368,90,39,2,5,-0.018788259358677232,-0.00632424637947181,True,0.02,False,False
BR,P3_CURV_ALL_vs_G14,mae_all,G14,P3_CURV_ALL,-0.015520484954876975,-0.036556323360387395,0.005999852006116612,-0.03430190707430325,0.009136407833221494,0.146,0.010715515060487778,0.030003442169365777,-0.017453704783549753,90,34,0,5,-0.021378924337530514,-0.012802944732193499,True,0.02,False,False
BR,P3_DIR_TOPO_vs_G14,mae_all,G14,P3_DIR_TOPO,-0.0790556486099044,-0.10576248154556812,-0.03864364728288559,-0.10927353622857959,-0.04366781952830897,0.0002,0.01721563755474097,0.04820378515327472,-0.06168303467720623,90,5,0,5,-0.08469780162759011,-0.06698070853384414,True,0.02,False,False
BR,G14_vs_FLAT,mae_all,FLAT,G14,0.09791420116098419,0.006685761812405141,0.1606794131810511,0.028367386215831458,0.18075241361315622,0.0318,0.04069572118875632,0.11394801932851768,0.06573973808705645,90,59,5,5,0.0519826831796668,0.10776226223872777,True,0.02,True,True
