design,arm,n_cells,sp_pred_vs_true_mag,sp_pred_vs_n_metals,sp_true_vs_n_metals,pred_mag_sd
A,CB_CURV,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,CB_DIR,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,CB_DIR209,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,CB_DIR_ES,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,CB_MAG,1445,-0.10034595450435775,-0.12203816298477756,0.48789297040073404,0.0819393821923784
A,CB_MAG_LEVEL,1445,-0.2563245353176946,-0.12118451905205718,0.48789297040073404,0.02573902852757765
A,CB_MAG_RANK,1445,-0.09034272260959358,-0.11960422885365883,0.48789297040073404,0.11028019308780825
A,CB_MAG_SHUF,1445,-0.1768248186918371,-0.08473004131243365,0.48789297040073404,0.07358458034848733
A,FLAT,1445,,,0.48789297040073404,0.0
A,G14,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,GAM_DIR,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,GAM_DIR_K,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,GAM_MAG,1445,-0.05427357738809488,-0.12053542122521263,0.48789297040073404,0.1954747965121938
A,ISO_PICK,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,ISO_PRIOR,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,MAG_MED,1445,-0.19966552301605184,-0.04983064847738423,0.48789297040073404,0.02969341688977657
A,SYM_DIR,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,TP_ALL,1445,-0.054717721102275144,-0.03815430185476781,0.48789297040073404,0.08665256438176037
A,TP_CURV,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,TP_DIR209,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,TP_DIR39,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,TP_MAG,1445,-0.054717721102275144,-0.03815430185476781,0.48789297040073404,0.08665256438176037
A,TP_MAG_MEAN,1445,-0.036340176779301805,0.00816028323663995,0.48789297040073404,0.04031190397275662
A,TP_MAG_SHUF,1445,-0.017999815966946563,-0.007391513744309203,0.48789297040073404,0.07824268823666226
A,XGB_FREE,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
A,XGB_MONO,1445,-0.19645183013024184,-0.09631674842681347,0.48789297040073404,0.022994951409869496
B,CB_CURV,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,CB_DIR,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,CB_DIR209,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,CB_DIR_ES,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,CB_MAG,1445,-0.043429343756873066,0.06866010038510705,0.48789297040073404,0.07293494441350351
B,CB_MAG_LEVEL,1445,-0.1329431645361041,0.08915448515682034,0.48789297040073404,0.03318036222332611
B,CB_MAG_RANK,1445,0.0060509886624762815,0.052883173532157504,0.48789297040073404,0.10516061426780993
B,CB_MAG_SHUF,1445,-0.06856425806747322,0.05869027596134732,0.48789297040073404,0.06800067311647814
B,FLAT,1445,,,0.48789297040073404,0.0
B,G14,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,GAM_DIR,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,GAM_DIR_K,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,GAM_MAG,1445,-0.028489800522377515,-0.059950901102606986,0.48789297040073404,0.09352371862045697
B,ISO_PICK,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,ISO_PRIOR,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,MAG_MED,1445,-0.1055870050180753,0.03984833338069424,0.48789297040073404,0.02269740558915413
B,SYM_DIR,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,TP_ALL,1445,-0.05357941255336853,-0.0707031717282881,0.48789297040073404,0.07424294932203676
B,TP_CURV,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,TP_DIR209,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,TP_DIR39,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,TP_MAG,1445,-0.05357941255336853,-0.0707031717282881,0.48789297040073404,0.07424294932203676
B,TP_MAG_MEAN,1445,-0.010808508768593898,-0.092657560930018,0.48789297040073404,0.032648068888940986
B,TP_MAG_SHUF,1445,-0.02081661215108837,-0.08677521648231508,0.48789297040073404,0.06501654098903223
B,XGB_FREE,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
B,XGB_MONO,1445,-0.06671673940841173,0.09251140241205418,0.48789297040073404,0.0262510895304543
BP,CB_CURV,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,CB_DIR,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,CB_DIR209,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,CB_DIR_ES,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
