design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,MAG_MED_vs_G14,mae_all,G14,MAG_MED,-0.016157354446953518,-0.046160935551864,0.026916114163516268,-0.055764412040123924,0.016860777018452587,0.5346,0.019447433305622548,0.05445281325574313,-0.0020726007133734558,90,35,0,5,-0.02052598687318379,0.005737914971908727,False,0.02,False,False
B,CB_MAG_vs_G14,mae_all,G14,CB_MAG,-0.01952762425663812,-0.04970764627569412,0.02676161957247314,-0.05627024658632626,0.018851537991789496,0.427,0.02010320909619662,0.05628898546935053,-0.0068013097436723565,90,38,0,5,-0.025351081652984307,3.4383418068758485e-05,False,0.02,False,False
B,CB_MAG_LEVEL_vs_G14,mae_all,G14,CB_MAG_LEVEL,-0.00846042467758901,-0.030343109382507765,0.021120401006218828,-0.03788809138702588,0.014397872761731649,0.676,0.01383801875389312,0.03874645251090073,0.00197183081904697,90,43,0,5,-0.011201885515755159,0.007754465072183195,False,0.02,False,False
B,CB_MAG_RANK_vs_G14,mae_all,G14,CB_MAG_RANK,-0.0039132486441515076,-0.03124526827045039,0.034647642664371175,-0.03023352021279287,0.03636971205328489,0.7986,0.016563130504881594,0.04637676541366846,-0.004666564497872631,90,31,2,5,-0.011188472077194329,0.002861289736783521,False,0.02,False,False
B,CB_MAG_vs_MAG_MED,mae_all,MAG_MED,CB_MAG,-0.0033702698096846036,-0.024188441146539248,0.019337244415939835,-0.02108218841554754,0.02480097587186334,0.6948,0.01076118802379611,0.030131326466629107,-0.004728709030298905,90,44,3,5,-0.009516624557996262,-0.0010974929841208497,True,0.02,False,False
B,CB_MAG_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG,-0.01106719957904911,-0.03069181209319239,0.016373102355432035,-0.02918499667572066,0.01901594207305007,0.353,0.011811960687041332,0.033073489923715726,-0.008773140562719325,90,27,0,5,-0.01678064255278796,-0.007720081654114434,True,0.02,False,False
B,CB_MAG_RANK_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG_RANK,0.0045471760334375045,-0.03338060426122719,0.038106538487081155,-0.028360957260358897,0.044345254362513194,0.8318,0.018021629747199314,0.050460563292158075,-0.006638395316919606,90,46,3,5,-0.004893175335399675,0.010131271813167813,False,0.02,False,False
B,CB_MAG_LEVEL_vs_MAG_MED,mae_all,MAG_MED,CB_MAG_LEVEL,0.007696929769364501,-0.006427112099202915,0.016564018913628173,-0.003755428964535777,0.018310901892219327,0.2882,0.006024124557789128,0.016867548761809556,0.004044431532420423,90,57,5,5,0.002016550100274465,0.009508893826179638,True,0.02,False,False
BR,MAG_MED_vs_G14,mae_all,G14,MAG_MED,-0.009844049399675455,-0.03489250405295424,0.027124197526983685,-0.041382346138738604,0.019368757779041075,0.6386,0.01624392053676807,0.04548297750295059,-0.00039183895707296156,90,37,1,5,-0.013554569255022414,0.007026834748309184,False,0.02,False,False
BR,CB_MAG_vs_G14,mae_all,G14,CB_MAG,-0.01846017419344955,-0.05414504581449313,0.0364509735225361,-0.0626589515197006,0.025292825358413182,0.5482,0.02394599603549879,0.0670487888993966,-0.0006146542780519638,90,39,0,5,-0.024513217752089547,0.006634058216398745,False,0.02,False,False
BR,CB_MAG_LEVEL_vs_G14,mae_all,G14,CB_MAG_LEVEL,-0.006843939916566266,-0.0272776727608259,0.020761237841821392,-0.0341043095370558,0.014642802624018951,0.7172,0.012916125488183773,0.03616515136691456,0.002562300942083243,90,45,0,5,-0.009302958846780493,0.008176685012876769,False,0.02,False,False
BR,CB_MAG_RANK_vs_G14,mae_all,G14,CB_MAG_RANK,-0.0052914707963376195,-0.035450537659275486,0.04367039829481695,-0.036565269776159114,0.040623989785781814,0.799,0.020081029553273545,0.05622688274916592,-0.0002336407746244181,90,37,1,5,-0.014409372915997394,0.007999768257704739,False,0.02,False,False
BR,CB_MAG_vs_MAG_MED,mae_all,MAG_MED,CB_MAG,-0.008616124793774098,-0.028983231678517286,0.027278703748940432,-0.028273589452187442,0.029542260735285177,0.5514,0.01445762713771125,0.040481355985591494,-0.00022281532097900045,90,26,1,5,-0.01659162030771292,-0.00039277653191043915,True,0.02,False,False
BR,CB_MAG_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG,-0.011616234276883285,-0.03432304951650188,0.026875056867465427,-0.03469389906569683,0.025774421820822017,0.4838,0.015713874800839054,0.04399884944234935,-0.003176955220135208,90,30,0,5,-0.019111513999549377,-0.001542626796478023,True,0.02,False,False
BR,CB_MAG_RANK_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG_RANK,0.00155246912022865,-0.03246292248367911,0.042135945684552305,-0.027093744001867738,0.05445253062198533,0.9724,0.018622555889591313,0.05214315649085567,-0.0027959417167076664,90,43,3,5,-0.009798264003123306,0.006876463153370799,False,0.02,False,False
BR,CB_MAG_LEVEL_vs_MAG_MED,mae_all,MAG_MED,CB_MAG_LEVEL,0.0030001094831091854,-0.007071742483639213,0.010057466635255412,-0.007369244341915415,0.009860762251081111,0.488,0.0043114443117445965,0.012072044072884869,0.0029541398991562045,90,59,3,5,0.0011498502645675846,0.004595721908349994,True,0.02,False,False
BQ,MAG_MED_vs_G14,mae_all,G14,MAG_MED,-0.017442423243860222,-0.04787757300422388,0.02606915528170244,-0.05721549819656082,0.016063737541336626,0.5046,0.019667378387959032,0.05506865948628529,-0.003861506656461074,90,36,0,5,-0.021637708805965095,0.004698716621584573,False,0.02,False,False
BQ,CB_MAG_vs_G14,mae_all,G14,CB_MAG,-0.029415505579220902,-0.06649592316740292,0.024908984471132236,-0.07837749566973272,0.013361492676375705,0.3544,0.024442804245530907,0.06843985188748654,-0.010719003451497344,90,36,0,5,-0.03550158697297941,-0.0022980905662529053,True,0.02,False,False
