design,arm,dir_macro_acc,n_units
A,FLAT,0.4414475768134305,82
A,G14,0.8346499841621794,82
A,TP_ALL,0.8117231548938866,82
A,TP_CURV,0.8346499841621794,82
A,TP_DIR209,0.8006939605110338,82
A,TP_DIR39,0.8117231548938866,82
A,TP_MAG,0.8346499841621794,82
B,FLAT,0.4414475768134305,82
B,G14,0.8400158378207159,82
B,TP_ALL,0.8048938866012038,82
B,TP_CURV,0.8400158378207159,82
B,TP_DIR209,0.7066940602306456,82
B,TP_DIR39,0.8048938866012038,82
B,TP_MAG,0.8400158378207159,82
BP,FLAT,0.4414475768134305,82
BP,G14,0.8205036426987645,82
BP,TP_ALL,0.7217981205786084,82
BP,TP_CURV,0.8205036426987645,82
BP,TP_DIR209,0.6887733314562583,82
BP,TP_DIR39,0.7217981205786084,82
BP,TP_MAG,0.8205036426987645,82
BQ,FLAT,0.4414475768134305,82
BQ,G14,0.8400158378207159,82
BQ,TP_ALL,0.8097719353816915,82
BQ,TP_CURV,0.8400158378207159,82
BQ,TP_DIR209,0.723326998205047,82
BQ,TP_DIR39,0.8097719353816915,82
BQ,TP_MAG,0.8400158378207159,82
BR,FLAT,0.4414475768134305,82
BR,G14,0.8346499841621794,82
BR,TP_ALL,0.801967057332911,82
BR,TP_CURV,0.8346499841621794,82
BR,TP_DIR209,0.7085613686223442,82
BR,TP_DIR39,0.801967057332911,82
BR,TP_MAG,0.8346499841621794,82
