design,seed,fold,block,gamma,alpha,lopo_mae
BP,104729,0,COND_MA,0.0,1.0,0.1384432593491044
BP,104729,0,COND_MA,0.1,1000.0,0.14886156319548075
BP,104729,0,COND_MA,0.25,1000.0,0.1488956169627212
BP,104729,0,COND_MA,0.5,1000.0,0.14895235748305674
BP,104729,0,COND_MA,1.0,1000.0,0.14906577942239058
BP,104729,0,COND_MA,2.0,1000.0,0.14929401589214963
BP,104729,0,COND_MA,5.0,1000.0,0.1500307301413083
BP,104729,0,COND_MA,20.0,1000.0,0.15377786633527757
BP,104729,0,COND_MA,100.0,1000.0,0.17363686539942047
BP,104729,0,COND_MA,1000.0,30.0,0.2751982263114788
BP,104729,0,TOPO39,0.0,3.0,0.14598131819778531
BP,104729,0,TOPO39,0.1,1000.0,0.1488508698471476
BP,104729,0,TOPO39,0.25,1000.0,0.14887588662832166
BP,104729,0,TOPO39,0.5,1000.0,0.1489175082773345
BP,104729,0,TOPO39,1.0,1000.0,0.1490004745513564
BP,104729,0,TOPO39,2.0,1000.0,0.14916527567887977
BP,104729,0,TOPO39,5.0,1000.0,0.14965026118652797
BP,104729,0,TOPO39,20.0,1000.0,0.15380250249613617
BP,104729,0,TOPO39,100.0,1000.0,0.16892824039657123
BP,104729,0,TOPO39,1000.0,1000.0,0.20133542806864588
BP,104729,1,COND_MA,0.0,0.3,0.333862968079155
BP,104729,1,COND_MA,0.1,0.1,0.32817368170540206
BP,104729,1,COND_MA,0.25,0.1,0.3215017674601689
BP,104729,1,COND_MA,0.5,0.3,0.3272980008973318
BP,104729,1,COND_MA,1.0,0.3,0.3398550579742531
BP,104729,1,COND_MA,2.0,1.0,0.34768494358616187
BP,104729,1,COND_MA,5.0,1000.0,0.3526716676230118
BP,104729,1,COND_MA,20.0,1000.0,0.35339538003843557
BP,104729,1,COND_MA,100.0,1000.0,0.3563749335663992
BP,104729,1,COND_MA,1000.0,1000.0,0.35819885539031115
BP,104729,1,TOPO39,0.0,0.3,0.3311809165882519
BP,104729,1,TOPO39,0.1,0.3,0.2946989725067522
