design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BP,G14_DIR_HARD,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797733,0.9026819923371647,90,83,88,86,5
BP,ASIGN_TOPO39_g1000,0.571474770814375,0.07259905358349772,0.5826038654419092,0.20016084998369293,0.7710705044625743,0.6722426808779198,0.32118839076261957,0.6089652748112139,0.1815241161342343,0.9371546827596045,0.6946730935607465,90,83,88,86,5
BP,ARIDGE_TOPO39_g1000,0.5806407998151657,0.0375475963700011,0.6363076154280367,0.19759458350595574,0.7826148598869371,0.7002039809257494,0.379550906480642,0.5873953224676919,0.17628807736470847,0.9042206151474673,0.7591645037696205,90,83,88,86,5
BP,ASIGN_TOPO39_g100,0.5847273405683762,0.07124386378118916,0.6037283005775228,0.2029781981707653,0.7931259139770139,0.6580412301298504,0.29833826865677726,0.6135995334951553,0.1820101092710134,0.9455574038105028,0.6895810159436411,90,83,88,86,5
BP,ARIDGE_TOPO39_g0.25,0.5864659901250888,0.03156855045301045,0.6314646363891947,0.19747869657597492,0.7942921328593665,0.6530106700775501,0.3213661372942319,0.6015948070035093,0.1780521342745471,0.9284319716166864,0.6987269805957237,90,83,88,86,5
BP,ARIDGE_TOPO39_g0.5,0.5902432826272919,0.028340450085880976,0.6346120818949738,0.1991311792472623,0.8025122124463209,0.6492514034114281,0.32384147635781974,0.6039341059812653,0.17848519655020026,0.9324811972810038,0.7055740946730935,90,83,88,86,5
BP,ARIDGE_TOPO39_g1,0.5906818735847328,0.0319255522498417,0.6358038878627166,0.19915697384452485,0.8029256388176653,0.6556278881261661,0.323518644946276,0.6045166327857089,0.17862169645787165,0.933475653288815,0.7047336546780373,90,83,88,86,5
BP,ARIDGE_TOPO39_g0.1,0.5915765049532233,0.025636083671769536,0.6409968248835307,0.19802394672578164,0.8015492203168592,0.6501236889734614,0.3186535283654459,0.6077374489648139,0.1785826381976444,0.9394580977267799,0.6911135829934495,90,83,88,86,5
BP,ARIDGE_TOPO39_g2,0.5920947861797546,0.03259302107666724,0.6368652334699032,0.19976463939782962,0.8060747797743575,0.6490820433252895,0.3213438193580844,0.6037561111519714,0.17864259532225782,0.9319478910718201,0.7019157088122605,90,83,88,86,5
BP,ARIDGE_TOPO39_g100,0.5977843953354229,0.03788693175145807,0.65853547915544,0.20014140554271073,0.809670441425593,0.6711580470364913,0.34388344416293837,0.596538704975817,0.17745453967906782,0.9199837863735554,0.7434433320973922,90,83,88,86,5
