model,set,target,value,rho,p,n,loco_min,loco_max,loco_sign_stable,n_loco,partial_rho_n_metals,ci95_low,ci95_high,n_boot,ci_excludes_zero,rho_chemotype_means,n_chemotypes,clears_familywise_bar
NAIVE,S8,a,slope,0.39200725239857975,0.001627107947089192,62,0.21926910299003324,0.5046957488191165,True,40,0.3847158447130995,-0.15124402531394074,0.688564916821705,2000,False,0.19113300492610832,29,False
NAIVE,S8,abs_a,slope,-0.34355720077560375,0.006259420019470485,62,-0.45755297334244704,-0.18514044095439447,True,40,-0.3239561813806777,-0.6278336286317511,0.054847476985709964,2000,False,-0.3236453201970443,29,False
NAIVE,S8,b,slope,0.48769862254790874,5.8070933113608426e-05,62,0.43663704716336293,0.5410893707033314,True,40,0.47728485658593006,0.07160257895943327,0.669627113870267,2000,True,0.31576354679802954,29,False
NAIVE,S14,a,slope,0.6439271255060729,9.745568326920046e-06,39,0.5984615384615385,0.7450486924171135,True,40,0.645329623563704,0.2772548891481048,0.8251953568998501,1895,True,0.6016511867905057,18,False
NAIVE,S14,abs_a,slope,-0.4246963562753037,0.0070423862449584245,39,-0.5630252100840336,-0.2353846153846154,True,40,-0.4088877827703608,-0.6965739995409939,0.04164996855895745,1895,False,-0.3168214654282766,18,False
NAIVE,S14,b,slope,0.640080971659919,1.144538545171916e-05,39,0.6056022408963586,0.6607692307692308,True,40,0.648045091898477,0.2938391339932903,0.7628121279086262,1895,True,0.7502579979360166,18,True
NAIVE,S3,a,slope,0.4665085817524842,1.1353583454718009e-05,81,0.3041311636777508,0.5584712755598833,True,40,0.4446307016464597,0.019234651862451775,0.6742938710869139,2000,True,0.31963562753036434,39,False
NAIVE,S3,abs_a,slope,-0.40345528455284546,0.00018791676323412507,81,-0.46153846153846156,-0.3365529545664278,True,40,-0.35404348750501113,-0.5825972950913414,-0.12179898579885962,2000,True,-0.4238866396761134,39,False
NAIVE,S3,b,slope,0.37513550135501356,0.0005591883225309026,81,0.31705066289335265,0.42339428035630566,True,40,0.34522490714435644,0.02105881887610463,0.555837609729941,2000,True,0.21113360323886643,39,False
ELEM,S8,a,slope,0.31338923723905215,0.013129495597396356,62,0.03095741467834491,0.37546138072453866,True,40,0.2989058994577892,-0.27038575393580183,0.5956972979709175,2000,False,0.14778325123152705,29,False
ELEM,S8,abs_a,slope,-0.43199617234519405,0.00045480770138694386,62,-0.501639344262295,-0.23859861069163396,True,40,-0.36610618199611183,-0.6627574487867257,0.02322590121732517,2000,False,-0.2428571428571428,29,False
ELEM,S8,b,slope,0.23895142403867947,0.0614269306552851,62,0.11839323467230443,0.33342447026657557,True,40,0.1496564774677181,-0.1113567264008952,0.46332278837038415,2000,False,0.3871921182266009,29,False
ELEM,S14,a,slope,0.39635627530364376,0.012490839172481519,39,-0.07923076923076922,0.4953496006127585,False,40,0.3963006897254866,-0.3982018038007484,0.6875431912752087,1895,False,0.04643962848297213,18,False
ELEM,S14,abs_a,slope,-0.5548582995951417,0.0002465659193245822,39,-0.6614509246088193,-0.3553846153846154,True,40,-0.5399034306219836,-0.744732682764562,-0.05836422120791848,1895,True,-0.41589267285861714,18,False
ELEM,S14,b,slope,0.18846153846153849,0.25056354350299703,39,-0.1346153846153846,0.3515406162464987,False,40,0.13762339013342773,-0.43620408294901153,0.49341851890629523,1895,False,0.05675954592363261,18,False
ELEM,S3,a,slope,0.20282294489611563,0.06937664256642796,81,0.08031622012365806,0.26779516358463723,True,40,0.18066888571922843,-0.16224285236545152,0.4364841675748202,2000,False,0.15931174089068825,39,False
ELEM,S3,abs_a,slope,-0.1936088527551942,0.08330494529897174,81,-0.24157421525842576,-0.01104309575809776,True,40,-0.14366306889495828,-0.44480413084681325,0.19886097266401567,2000,False,-0.09271255060728746,39,False
ELEM,S3,b,slope,0.21883468834688347,0.049674001053548196,81,0.10437109723461195,0.2908392603129445,True,40,0.1939751279110159,-0.09018107310082173,0.4177063465398948,2000,False,0.31417004048582997,39,False
SPECIES,S8,a,slope,-0.08367958500163683,0.5178778229378215,62,-0.12886913031397612,0.000453035336756267,False,40,-0.0808874825693345,-0.29743942863636247,0.23991455349348792,2000,False,0.027093596059113295,29,False
SPECIES,S8,abs_a,slope,0.0301427815970386,0.8160975680117113,62,-0.10676532769556026,0.07424284523478746,False,40,0.020819221467888147,-0.3182257708829399,0.29398227940941973,2000,False,-0.03645320197044334,29,False
SPECIES,S8,b,slope,-0.06625368285865378,0.6089113843790471,62,-0.11649920676890534,0.0187254605859257,False,40,-0.05889075516385781,-0.2635015299305326,0.24483920117182845,2000,False,0.07536945812807881,29,False
SPECIES,S14,a,slope,-0.04817813765182186,0.7708582247850755,39,-0.12178575336470072,0.03307692307692307,False,40,-0.04615172679370831,-0.35606646021032007,0.34477416929517424,1895,False,0.005159958720330237,18,False
SPECIES,S14,abs_a,slope,0.012348178137651822,0.9405264886869139,39,-0.14692307692307693,0.06875296348980559,False,40,-0.01113730714897492,-0.4272135954677054,0.2955094450023462,1895,False,-0.08771929824561403,18,False
SPECIES,S14,b,slope,-0.07510121457489878,0.6495479874452132,39,-0.1480468322573586,0.024615384615384615,False,40,-0.05398552583947601,-0.37427586311389344,0.3019324486730565,1895,False,0.1331269349845201,18,False
SPECIES,S3,a,slope,-0.041666666666666664,0.711880348807313,81,-0.0735349273323957,0.04475683656833492,False,40,-0.03773168993089577,-0.2232650806314305,0.2456097079981506,2000,False,0.10425101214574899,39,False
SPECIES,S3,abs_a,slope,-0.012262872628726286,0.9134765163875231,81,-0.0708419206988834,0.015869667135489922,False,40,-0.027369538750108013,-0.2539201081244768,0.17380816143242733,2000,False,-0.06396761133603239,39,False
SPECIES,S3,b,slope,-0.14130532971996387,0.20828111351125803,81,-0.17576183778715426,-0.0539235288689286,True,40,-0.13940746246381402,-0.3466331829140778,0.14784289636953946,2000,False,0.0008097165991902834,39,False
SPECIES_CONST,S8,a,slope,0.16666666666666666,0.49526609078386524,19,0.07327141382868937,0.33529411764705885,True,40,0.15606411973695308,,,0,False,0.21318681318681318,14,False
SPECIES_CONST,S8,abs_a,slope,0.02280701754385965,0.9261610601906637,19,-0.08359133126934985,0.18872549019607845,False,40,-0.034119028362820554,,,0,False,0.07692307692307693,14,False
SPECIES_CONST,S8,b,slope,-0.12105263157894736,0.6215490254755144,19,-0.24458204334365324,-0.011351909184726523,True,40,-0.05315765233906665,,,0,False,0.0945054945054945,14,False
SPECIES_CONST,S14,a,slope,0.15454545454545454,0.6500339654975799,11,0.006060606060606061,0.4047619047619048,True,40,0.16200765658429647,,,0,False,,8,False
SPECIES_CONST,S14,abs_a,slope,0.018181818181818184,0.9576852410216187,11,-0.17575757575757575,0.2833333333333333,False,40,0.02099455524325912,,,0,False,,8,False
SPECIES_CONST,S14,b,slope,-0.30000000000000004,0.37008312228206763,11,-0.5393939393939393,-0.06666666666666665,True,40,-0.32732683535398865,,,0,False,,8,False
SPECIES_CONST,S3,a,slope,0.1985294117647059,0.2680520068083982,33,0.13343108504398826,0.2562316715542522,True,40,0.2070534172235985,-0.08901219355617601,0.4958597891830009,1991,False,0.21478260869565213,24,False
SPECIES_CONST,S3,abs_a,slope,-0.012366310160427808,0.945544926243306,33,-0.09435483870967742,0.06854838709677419,False,40,0.05559284376919449,-0.38356129759786917,0.35134870759247694,1991,False,0.015652173913043476,24,False
SPECIES_CONST,S3,b,slope,0.06417112299465241,0.7227491000021532,33,-0.04233870967741936,0.16715542521994134,False,40,0.057277508720611034,-0.36125682330822106,0.4511551022053784,1991,False,0.12347826086956522,24,False
SPECIES_NFILLCOL,S8,a,slope,0.3738258920702072,0.00276312036116654,62,0.316250884370482,0.45922681969193596,True,40,0.37033996426599664,0.008124553278812466,0.6914182430576153,2000,True,0.38423645320197036,29,False
