design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,lead
BP,O_CURV,0.42721106205801906,0.01445000486953536,0.4539982565504116,0.17644247095333468,0.5715709075330967,0.8661911794273026,0.6269246860974236,0.461692015693746,0.1566268827452499,0.7014555843911886,0.9103695464095909,90,83,88,86,5,L2
BP,O_CURV_LPO,0.4713806236569845,0.01367455570637187,0.5189534778900816,0.1847438597732582,0.6130299810180604,0.8342049981572318,0.5541635481316101,0.47205240707698937,0.16180673954975186,0.7114348009199496,0.9027561488073168,90,83,88,86,5,L2
BP,G14,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797732,0.9026819923371647,90,83,88,86,5,L2
BP,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,L2
B,O_CURV,0.4215775121790396,0.008520265191852222,0.4554398610447949,0.17575557934277858,0.5576771660102848,0.8753080686444239,0.638951794972782,0.450053751491767,0.1556700978538883,0.6803729284339394,0.917711036954641,90,83,88,86,5,L2
B,O_CURV_LPO,0.46337726431839493,0.007343262963023009,0.5158043685834549,0.18407353100622253,0.5968773725311088,0.844783518055177,0.569336033028002,0.4601225454330604,0.1609364678874652,0.6899468462357325,0.910690891113583,90,83,88,86,5,L2
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5,L2
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,L2
BR,O_CURV,0.42179053527343474,0.0058050595829371365,0.45699458337200516,0.17516383491873508,0.558572708468972,0.873609881963992,0.63583835892042,0.4466557846962456,0.15545284741398244,0.6738716568195621,0.9186503522432332,90,83,88,86,5,L2
BR,O_CURV_LPO,0.4637546571297061,0.0067705323716016255,0.5178238617071826,0.18347222719669018,0.5978453951367596,0.8423293583255489,0.5661974094257489,0.4565391101766044,0.16073475305803364,0.6831597866641116,0.9111358299344952,90,83,88,86,5,L2
BR,G14,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5,L2
BR,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,L2
BQ,O_CURV,0.42334770614709905,0.004260019880465678,0.4592154264709672,0.17505113305449654,0.5589596628699813,0.8765068472565541,0.6408711630280574,0.4504248669659806,0.1555049920817874,0.6814675378911885,0.9187739463601533,90,83,88,86,5,L2
BQ,O_CURV_LPO,0.46417236542373297,0.005107043091204955,0.517501614265728,0.18336121862915372,0.5975092233605748,0.8469313804342473,0.5715055856137661,0.4603924442390751,0.16077042444919118,0.6908817779225226,0.9119021134593993,90,83,88,86,5,L2
BQ,G14,0.49054320488997477,0.009134233360714113,0.5432255566743154,0.18901203506946682,0.6462779108490173,0.8101769497198481,0.5078459215681232,0.4970622073752167,0.16352458119011853,0.750815562743633,0.9065628476084538,90,83,88,86,5,L2
BQ,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,L2
A,O_CURV,0.416797083732144,0.016052303478044018,0.44607013151651353,0.17439204242513087,0.5500363705325493,0.8736172583081044,0.6366375551036321,0.4460853755486257,0.15521536401919794,0.6731793411020985,0.9225559263379063,90,83,88,86,5,L2
A,O_CURV_LPO,0.45987832433377385,0.013518990183108207,0.5094357885481237,0.1826570708675233,0.5908508701077814,0.8397035844144394,0.5676176171549502,0.45609247292410837,0.16041147442413017,0.682821961789254,0.9154121863799283,90,83,88,86,5,L2
A,G14,0.49213393784744824,0.010436668747165393,0.5444543521521373,0.1884761577560658,0.6451991179908991,0.8084723143535989,0.5111303834901167,0.4937334554735816,0.1635088768451623,0.7453321878071688,0.9130638981584477,90,83,88,86,5,L2
A,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647846,0.0,90,83,88,86,5,L2
