design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead
BP,OCURVLPO_vs_G14,mae_all,G14,O_CURV_LPO,0.028698817763384534,-0.0013004305051371229,0.053194139325093356,5.7354908521118226e-06,0.054448774643867,0.0608,0.013802775245158367,0.03864777068644343,0.030185501476974987,90,61,5,5,0.022253288825730407,0.033821836845562836,True,0.02,False,False,registered,L2
BP,OCURV_vs_G14,mae_all,G14,O_CURV,0.07286837936235006,0.03037371030819788,0.13337725960864424,0.03912571113552154,0.16241924987255343,0.0006,0.025753523981000802,0.07210986714680225,0.09514072281664493,90,65,5,5,0.05355014076434002,0.07839181650317559,True,0.02,True,True,exploratory,L2
BP,OCURVLPO_vs_FLAT,mae_all,FLAT,O_CURV_LPO,0.11712562923319975,0.01494163916123321,0.18598486321336574,0.03858273421540669,0.20414754978442856,0.019,0.044839166359549106,0.1255496658067375,0.0902470997158395,90,57,5,5,0.06906913019776782,0.12775123046850187,True,0.02,True,True,exploratory,L2
BP,OCURV_vs_OCURVLPO,mae_all,O_CURV_LPO,O_CURV,0.04416956159896552,0.015845803231668846,0.10267082993757254,0.019164816244836288,0.13414221565385406,0.0,0.022723654670015428,0.06362623307604319,0.06495522133966997,90,70,5,5,0.02521137650637562,0.05255341996410049,True,0.02,True,True,exploratory,L2
B,OCURVLPO_vs_G14,mae_all,G14,O_CURV_LPO,0.029830692731039714,-0.0019985302810378407,0.056298497993539996,-0.0017620585345148104,0.05648199667606228,0.065,0.014734054561637028,0.04125535277258368,0.03201526998964241,90,63,5,5,0.023565243298249227,0.03509016982774049,True,0.02,False,False,registered,L2
B,OCURV_vs_G14,mae_all,G14,O_CURV,0.07163044487039495,0.036893815125585185,0.11667599214438579,0.04161296341712428,0.12659445358748722,0.0,0.01985069557904056,0.05558194762131356,0.09237977752830254,90,62,5,5,0.05959627903299432,0.07718602117465147,True,0.02,True,True,exploratory,L2
B,OCURVLPO_vs_FLAT,mae_all,FLAT,O_CURV_LPO,0.12512898857178942,0.017628319481761277,0.19782017886737382,0.043258729499901914,0.2187100123398576,0.0148,0.04731073209352253,0.1324700498618631,0.09339620902246604,90,57,5,5,0.07287472331616945,0.1358707662183438,True,0.02,True,True,exploratory,L2
B,OCURV_vs_OCURVLPO,mae_all,O_CURV_LPO,O_CURV,0.04179975213935524,0.01578288323117201,0.0938307486700464,0.019007046054153088,0.12013457482356966,0.0,0.020348258506837958,0.05697512381914628,0.06036450753866011,90,68,5,5,0.025159395327921292,0.0496245228751281,True,0.02,True,True,exploratory,L2
BR,OCURVLPO_vs_G14,mae_all,G14,O_CURV_LPO,0.026837394599494073,-0.006198237695155309,0.05287258728718164,-0.004669097709341478,0.05392823527651415,0.104,0.01497302757416991,0.041924477207675746,0.02563697781168179,90,61,5,5,0.019327577190145485,0.03194241524183691,True,0.02,False,False,registered,L2
BR,OCURV_vs_G14,mae_all,G14,O_CURV,0.06880151645576543,0.03329335703242178,0.11267673918958397,0.038902869949065055,0.12396522469624698,0.0002,0.019721418631759902,0.055219972168927725,0.08646625614685932,90,63,5,5,0.05674605175357255,0.07421406857574231,True,0.02,True,True,exploratory,L2
BR,OCURVLPO_vs_FLAT,mae_all,FLAT,O_CURV_LPO,0.12475159576047824,0.01593732373201085,0.1990088280089504,0.042073690467936076,0.21992974877015564,0.0168,0.04809024936507179,0.134652698222201,0.09137671589873825,90,57,5,5,0.07131026036981226,0.13548784879382758,True,0.02,True,True,exploratory,L2
BR,OCURV_vs_OCURVLPO,mae_all,O_CURV_LPO,O_CURV,0.041964121856271366,0.015888355994572535,0.0941558919291633,0.019122824537601054,0.11933116876079845,0.0,0.02040646420879078,0.05713809978461418,0.060829278335177525,90,68,5,5,0.025320518617649623,0.050043405543692666,True,0.02,True,True,exploratory,L2
BQ,OCURVLPO_vs_G14,mae_all,G14,O_CURV_LPO,0.026370839466241743,-0.008738338943914748,0.05384555842954917,-0.009272578440508253,0.0534851079728986,0.129,0.015887524341011556,0.04448506815483235,0.02572394240858736,90,62,5,5,0.019140656446890076,0.033044127104953816,True,0.02,False,False,registered,L2
BQ,OCURV_vs_G14,mae_all,G14,O_CURV,0.06719549874287564,0.03424605245171765,0.10561842374628318,0.038426252639556874,0.11183440218266374,0.0002,0.017695511042236375,0.049547430918261845,0.0840101302033483,90,62,5,5,0.05828928271464117,0.07252837051108874,True,0.02,True,True,exploratory,L2
BQ,OCURVLPO_vs_FLAT,mae_all,FLAT,O_CURV_LPO,0.12433388746645134,0.01621339345724603,0.1973232147780656,0.0424520941092834,0.21804461161367833,0.016,0.047475774929837074,0.1329321698035438,0.09169896334019294,90,57,5,5,0.07180472359385616,0.13482490695502689,True,0.02,True,True,exploratory,L2
BQ,OCURV_vs_OCURVLPO,mae_all,O_CURV_LPO,O_CURV,0.04082465927663389,0.015739196139730675,0.09011085727185211,0.018961658210106955,0.11331093049626575,0.0,0.019283545425085827,0.053993927190240314,0.05828618779476092,90,68,5,5,0.02524515560968735,0.048353394796858684,True,0.02,True,True,exploratory,L2
A,OCURVLPO_vs_G14,mae_all,G14,O_CURV_LPO,0.032255613513674376,0.003224749686657169,0.05810876628699869,0.004515193096999589,0.05964045280451223,0.0306,0.013833912310859725,0.03873495447040723,0.03501856360401371,90,65,5,5,0.026028900994701575,0.03754658020081108,True,0.02,True,True,registered,L2
A,OCURV_vs_G14,mae_all,G14,O_CURV,0.07533685411530429,0.03785771171902139,0.12920615377590622,0.044413629911145315,0.14888563068954982,0.0,0.02285875144893504,0.0640045040570181,0.0983842206356238,90,67,5,5,0.05961818704379673,0.08099064634413833,True,0.02,True,True,exploratory,L2
A,OCURVLPO_vs_FLAT,mae_all,FLAT,O_CURV_LPO,0.12862792855641042,0.021562403728267312,0.2027222825820837,0.045992990893617546,0.2236235603586436,0.0108,0.0478411661741829,0.13395526528771212,0.09976478905779733,90,58,5,5,0.07563301504697582,0.1393101677688363,True,0.02,True,True,exploratory,L2
A,OCURV_vs_OCURVLPO,mae_all,O_CURV_LPO,O_CURV,0.04308124060162992,0.01594157086316206,0.0986983948626433,0.01904495888147612,0.12611588556180783,0.0,0.021650399561604288,0.060621118772492,0.06336565703161011,90,68,5,5,0.02525730886111373,0.05165870296387431,True,0.02,True,True,exploratory,L2
