design,order,position,chemotype,lead
A,AOPT,0,sc061,L4
A,AOPT,1,sc030,L4
A,AOPT,2,sc036,L4
A,AOPT,3,sc019,L4
A,AOPT,4,sc055,L4
A,AOPT,5,sc009,L4
A,MAXMIN,0,sc085,L4
A,MAXMIN,1,sc000,L4
A,MAXMIN,2,sc012,L4
A,MAXMIN,3,sc092,L4
A,MAXMIN,4,sc085,L4
A,MAXMIN,5,sc086,L4
A,UNCERT,0,sc061,L4
A,UNCERT,1,sc030,L4
A,UNCERT,2,sc036,L4
A,UNCERT,3,sc059,L4
A,UNCERT,4,sc007,L4
A,UNCERT,5,sc016,L4
B,AOPT,0,sc061,L4
B,AOPT,1,sc030,L4
B,AOPT,2,sc036,L4
B,AOPT,3,sc036,L4
B,AOPT,4,sc055,L4
B,AOPT,5,sc058,L4
B,MAXMIN,0,sc085,L4
B,MAXMIN,1,sc000,L4
B,MAXMIN,2,sc092,L4
B,MAXMIN,3,sc092,L4
B,MAXMIN,4,sc086,L4
B,MAXMIN,5,sc086,L4
B,UNCERT,0,sc061,L4
B,UNCERT,1,sc030,L4
B,UNCERT,2,sc036,L4
B,UNCERT,3,sc059,L4
B,UNCERT,4,sc001,L4
B,UNCERT,5,sc000,L4
BP,AOPT,0,sc061,L4
BP,AOPT,1,sc009,L4
BP,AOPT,2,sc009,L4
BP,AOPT,3,sc055,L4
BP,AOPT,4,sc055,L4
BP,AOPT,5,sc058,L4
BP,MAXMIN,0,sc092,L4
BP,MAXMIN,1,sc015,L4
BP,MAXMIN,2,sc092,L4
BP,MAXMIN,3,sc092,L4
BP,MAXMIN,4,sc086,L4
BP,MAXMIN,5,sc060,L4
BP,UNCERT,0,sc061,L4
BP,UNCERT,1,sc009,L4
BP,UNCERT,2,sc009,L4
BP,UNCERT,3,sc068,L4
BP,UNCERT,4,sc007,L4
BP,UNCERT,5,sc001,L4
BQ,AOPT,0,sc061,L4
BQ,AOPT,1,sc030,L4
BQ,AOPT,2,sc009,L4
BQ,AOPT,3,sc036,L4
BQ,AOPT,4,sc055,L4
BQ,AOPT,5,sc055,L4
BQ,MAXMIN,0,sc085,L4
BQ,MAXMIN,1,sc000,L4
BQ,MAXMIN,2,sc012,L4
BQ,MAXMIN,3,sc092,L4
BQ,MAXMIN,4,sc086,L4
BQ,MAXMIN,5,sc086,L4
BQ,UNCERT,0,sc061,L4
BQ,UNCERT,1,sc030,L4
BQ,UNCERT,2,sc009,L4
BQ,UNCERT,3,sc059,L4
BQ,UNCERT,4,sc000,L4
BQ,UNCERT,5,sc000,L4
BR,AOPT,0,sc061,L4
BR,AOPT,1,sc030,L4
BR,AOPT,2,sc078,L4
BR,AOPT,3,sc009,L4
BR,AOPT,4,sc078,L4
BR,AOPT,5,sc055,L4
BR,MAXMIN,0,sc086,L4
BR,MAXMIN,1,sc000,L4
BR,MAXMIN,2,sc092,L4
BR,MAXMIN,3,sc092,L4
BR,MAXMIN,4,sc086,L4
BR,MAXMIN,5,sc084,L4
BR,UNCERT,0,sc061,L4
BR,UNCERT,1,sc030,L4
BR,UNCERT,2,sc078,L4
BR,UNCERT,3,sc059,L4
BR,UNCERT,4,sc000,L4
BR,UNCERT,5,sc000,L4
