set,descriptor,n,n_chemotypes,rho,p
S8,slope_n_ligs_vs_r,62,29,-0.45993729356766083,0.00016928184848430383
S8,range_n_ligs,62,29,-0.49953320242673555,3.576021475067841e-05
S8,mean_n_ligs,62,29,-0.24502311575903507,0.05493111596031678
S8,steppos_n_ligs,31,15,0.05728597946246329,0.7595292213777597
S8,slope_n_NO3_vs_r,62,29,-0.01696270183930811,0.8958895025138484
S8,range_n_NO3,62,29,-0.017724860039567795,0.8912394094485385
S8,mean_n_NO3,62,29,0.0821428345692455,0.5256212073833116
S8,steppos_n_NO3,21,11,-0.509974329511542,0.018186540687673176
S8,slope_n_H2O_vs_r,62,29,0.6753668845756498,1.7322123090518807e-09
S8,range_n_H2O,62,29,-0.17088107833793198,0.18420214415325298
S8,mean_n_H2O,62,29,-0.17547727015566458,0.17250397548622712
S8,steppos_n_H2O,29,13,0.7795548852141913,6.236465035691968e-07
S8,slope_n_fill_vs_r,62,29,0.5473750119188058,4.146631739463363e-06
S8,range_n_fill,62,29,-0.376352517538579,0.0025716379621702513
S8,mean_n_fill,62,29,-0.15273691803778383,0.23596000383278865
S8,steppos_n_fill,50,21,0.47686310227475803,0.0004632531774601121
S8,slope_coreCN_vs_r,62,29,0.18573185898654973,0.14837339926931037
S8,range_coreCN,62,29,0.1506067363456596,0.24263591840514742
S8,mean_coreCN,62,29,-0.22103960869538034,0.08426228718797159
S8,steppos_coreCN,44,21,-0.007559622204785162,0.9611568431207228
S8,n_compositions,62,29,0.1270594845620844,0.3250649972376066
S8,is_nitrate,62,29,0.45116109824253886,0.0002330326057096101
S14,slope_n_ligs_vs_r,39,18,-0.6705078505666339,3.0101528537949353e-06
S14,range_n_ligs,39,18,-0.6379167649804026,1.2517006028957494e-05
S14,mean_n_ligs,39,18,-0.5641927067270064,0.0001834262484960628
S14,steppos_n_ligs,26,12,,
S14,slope_n_NO3_vs_r,39,18,-0.112315564160699,0.49603056349870256
S14,range_n_NO3,39,18,0.0455654832128859,0.7829772910545245
S14,mean_n_NO3,39,18,0.16268128799957748,0.3224176038732128
S14,steppos_n_NO3,11,7,,
S14,slope_n_H2O_vs_r,39,18,0.7579430936752503,2.303686717994711e-08
S14,range_n_H2O,39,18,-0.39368256141197855,0.013152870740176566
S14,mean_n_H2O,39,18,-0.5167551016417204,0.0007568754546622611
S14,steppos_n_H2O,27,12,0.8325454150566612,7.215180754807674e-08
S14,slope_n_fill_vs_r,39,18,0.6686970102881677,3.27315402327156e-06
S14,range_n_fill,39,18,-0.5178296286477938,0.0007346156965107531
S14,mean_n_fill,39,18,-0.5214926536087544,0.0006630457625451685
S14,steppos_n_fill,38,17,0.6763187941002861,3.151208221879615e-06
S14,slope_coreCN_vs_r,39,18,-0.27386127875258304,0.0915949596780691
S14,range_coreCN,39,18,-0.27386127875258304,0.0915949596780691
S14,mean_coreCN,39,18,-0.27386127875258304,0.0915949596780691
S14,steppos_coreCN,38,17,,
S14,n_compositions,39,18,-0.004162333158820582,0.9799368182366073
S14,is_nitrate,39,18,0.620250033564972,2.5349635426431674e-05
