design,comparison,point,ci95_low,ci95_high,p_two_sided,seeds_positive,n_seeds,loco_stable,loco_min,loco_max,passes_P1,family,lead,model,set,target,value,stage,n_units,partial_rho_n_metals,ci_excludes_zero,rho_chemotype_means,clears_familywise_bar,passes_L1_rule,p_bh_within_family,_src,reference,candidate,bca_low,bca_high,bootstrap_se,mde_80,block_macro,units_improved,loco_sign_stable,margin,passes_intervals,p_perm,p_registered,ci_task_low,ci_task_high,p_task_boot,ci_block_low,ci_block_high,p_block_boot,conservative_interval,n_extractants,n_blocks,passes_registered,rule,replicates,permutations,bootstrap_seed,endpoint,p_bh_within_lead_family,budget,p_bh_lead,praw,q_bh940
corpus,stage1:NAIVE_slope_vs_a@S8,0.3920072523985797,-0.1512440253139407,0.688564916821705,0.0016271079470891,,0,True,0.2192691029900332,0.5046957488191165,False,exploratory,L1,NAIVE,S8,a,slope,stage1,62,0.3847158447130995,False,0.1911330049261083,False,False,0.0079547499635471,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016271079470891,0.005541599529941138
corpus,stage1:NAIVE_slope_vs_abs_a@S8,-0.3435572007756037,-0.6278336286317511,0.0548474769857099,0.0062594200194704,,0,True,-0.457552973342447,-0.1851404409543944,False,exploratory,L1,NAIVE,S8,abs_a,slope,stage1,62,-0.3239561813806777,False,-0.3236453201970443,False,False,0.026229950557781,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062594200194704,0.018272841050627875
corpus,stage1:NAIVE_slope_vs_b@S8,0.4876986225479087,0.0716025789594332,0.669627113870267,5.8070933113608426e-05,,0,True,0.4366370471633629,0.5410893707033314,False,exploratory,L1,NAIVE,S8,b,slope,stage1,62,0.47728485658593,True,0.3157635467980295,False,False,0.0006387802642496,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8070933113608426e-05,0.00026758175062152904
corpus,stage1:NAIVE_slope_vs_a@S14,0.6439271255060729,0.2772548891481048,0.8251953568998501,9.745568326920046e-06,,0,True,0.5984615384615385,0.7450486924171135,False,exploratory,L1,NAIVE,S14,a,slope,stage1,39,0.645329623563704,True,0.6016511867905057,False,True,0.0001950892097561,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.745568326920046e-06,4.626683953184264e-05
corpus,stage1:NAIVE_slope_vs_abs_a@S14,-0.4246963562753037,-0.6965739995409939,0.0416499685589574,0.0070423862449584,,0,True,-0.5630252100840336,-0.2353846153846154,False,exploratory,L1,NAIVE,S14,abs_a,slope,stage1,39,-0.4088877827703608,False,-0.3168214654282766,False,False,0.0281695449798337,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0070423862449584,0.020182448384941758
corpus,stage1:NAIVE_slope_vs_b@S14,0.640080971659919,0.2938391339932903,0.7628121279086262,1.144538545171916e-05,,0,True,0.6056022408963586,0.6607692307692308,False,exploratory,L1,NAIVE,S14,b,slope,stage1,39,0.648045091898477,True,0.7502579979360166,True,False,0.0001950892097561,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.144538545171916e-05,5.379331162308005e-05
corpus,stage1:NAIVE_slope_vs_a@S3,0.4665085817524842,0.0192346518624517,0.6742938710869139,1.1353583454718007e-05,,0,True,0.3041311636777508,0.5584712755598833,False,exploratory,L1,NAIVE,S3,a,slope,stage1,81,0.4446307016464597,True,0.3196356275303643,False,True,0.0001950892097561,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1353583454718007e-05,5.362999219816546e-05
corpus,stage1:NAIVE_slope_vs_abs_a@S3,-0.4034552845528454,-0.5825972950913414,-0.1217989857988596,0.0001879167632341,,0,True,-0.4615384615384615,-0.3365529545664278,False,exploratory,L1,NAIVE,S3,abs_a,slope,stage1,81,-0.3540434875050111,True,-0.4238866396761134,False,False,0.0016536675164603,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001879167632341,0.000828193832599119
corpus,stage1:NAIVE_slope_vs_b@S3,0.3751355013550135,0.0210588188761046,0.555837609729941,0.0005591883225309,,0,True,0.3170506628933526,0.4233942803563056,False,exploratory,L1,NAIVE,S3,b,slope,stage1,81,0.3452249071443564,True,0.2111336032388664,False,False,0.0035148980273371,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005591883225309,0.002199318088615255
corpus,stage1:ELEM_slope_vs_a@S8,0.3133892372390521,-0.2703857539358018,0.5956972979709175,0.0131294955973963,,0,True,0.0309574146783449,0.3754613807245386,False,exploratory,L1,ELEM,S8,a,slope,stage1,62,0.2989058994577892,False,0.147783251231527,False,False,0.0424152860677671,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0131294955973963,0.034863632377267015
