k,model,n,retained_fraction
0.05,NAIVE,62,0.9978449914942498
0.05,ELEM,62,0.8345100856442202
0.05,SPECIES,62,0.41628780721924163
0.05,SPECIES_NFILLCOL,62,0.42004385465489125
0.05,SPECIES_CONST,19,0.8970890263924536
0.05,CYCLE_ADD,62,0.980714270394309
0.05,CYCLE_CONSTGAMMA,62,0.5771447157695363
0.05,SPECIES_NODELTA,62,0.7412051111086556
0.1,NAIVE,62,0.997844991490728
0.1,ELEM,62,0.8345100855091414
0.1,SPECIES,62,0.4162878072930969
0.1,SPECIES_NFILLCOL,62,0.42004385468738265
0.1,SPECIES_CONST,19,0.8970890263934227
0.1,CYCLE_ADD,62,0.9807142704034683
0.1,CYCLE_CONSTGAMMA,62,0.5771447158237717
0.1,SPECIES_NODELTA,62,0.7412051111260457
0.25,NAIVE,62,0.9978449914923284
0.25,ELEM,62,0.8345100858545318
0.25,SPECIES,62,0.41628780725150305
0.25,SPECIES_NFILLCOL,62,0.420043854701478
0.25,SPECIES_CONST,19,0.8970890263983496
0.25,CYCLE_ADD,62,0.9807142704005861
0.25,CYCLE_CONSTGAMMA,62,0.5771447158401379
0.25,SPECIES_NODELTA,62,0.7412051111486404
0.5,NAIVE,62,0.9978449914932795
0.5,ELEM,62,0.8345100859571903
0.5,SPECIES,62,0.4162878072291656
0.5,SPECIES_NFILLCOL,62,0.4200438547062713
0.5,SPECIES_CONST,19,0.8970890263915222
0.5,CYCLE_ADD,62,0.9807142704018812
0.5,CYCLE_CONSTGAMMA,62,0.5771447158235864
0.5,SPECIES_NODELTA,62,0.7412051111554901
1.0,NAIVE,62,0.9978449914936502
1.0,ELEM,62,0.8345100860622717
1.0,SPECIES,62,0.416287807225039
1.0,SPECIES_NFILLCOL,62,0.42004385470948075
1.0,SPECIES_CONST,19,0.8970890263958639
1.0,CYCLE_ADD,62,0.980714270401529
1.0,CYCLE_CONSTGAMMA,62,0.5771447158358243
1.0,SPECIES_NODELTA,62,0.7412051111596033
2.0,NAIVE,62,0.9978449914932422
2.0,ELEM,62,0.8345100860383821
2.0,SPECIES,62,0.4162878072288884
2.0,SPECIES_NFILLCOL,62,0.42004385470879013
2.0,SPECIES_CONST,19,0.8970890263957815
2.0,CYCLE_ADD,62,0.9807142704008314
2.0,CYCLE_CONSTGAMMA,62,0.5771447158359613
2.0,SPECIES_NODELTA,62,0.7412051111584465
