inject_mult,model,set,n,rho,p
0.0,NAIVE,S8,62,0.39200725239857975,0.001627107947089192
0.0,ELEM,S8,62,0.31338923723905215,0.013129495597396356
0.0,SPECIES,S8,62,-0.08367958500163683,0.5178778229378215
0.0,SPECIES_CONST,S8,19,0.16666666666666666,0.49526609078386524
0.0,CYCLEHAT,S8,62,0.2906247639193171,0.0219336391080249
0.0,CYCLE_EXT,S8,62,0.2906247639193171,0.0219336391080249
0.0,NAIVE,const19,19,-0.02631578947368421,0.9148378965354743
0.0,NAIVE,varying43,43,0.18755662941709453,0.22844544385510496
0.0,ELEM,const19,19,0.2789473684210526,0.24747875892631568
0.0,ELEM,varying43,43,0.4477499244941105,0.002606347585494775
0.0,SPECIES,const19,19,0.1649122807017544,0.49988058994796
0.0,SPECIES,varying43,43,-0.08773784355179705,0.5758459070363362
0.0,CYCLEHAT,const19,19,0.04912280701754386,0.8417115685641903
0.0,CYCLEHAT,varying43,43,0.4761401389308366,0.0012492071056488046
0.0,CYCLE_EXT,const19,19,0.04912280701754386,0.8417115685641903
0.0,CYCLE_EXT,varying43,43,0.4761401389308366,0.0012492071056488046
0.25,NAIVE,S8,62,0.3959859988416308,0.0014432419794468392
0.25,ELEM,S8,62,0.3878774143184508,0.0018399182081192881
0.25,SPECIES,S8,62,0.19790486263251994,0.12310136158399272
0.25,SPECIES_CONST,S8,19,0.487719298245614,0.034150563202960824
0.25,CYCLEHAT,S8,62,0.4079222381707839,0.0009982027832092278
0.25,CYCLE_EXT,S8,62,0.40978570169474454,0.0009412081607532244
0.25,NAIVE,const19,19,0.031578947368421054,0.8978832031610189
0.25,NAIVE,varying43,43,0.19012382965871336,0.22202406019366724
0.25,ELEM,const19,19,0.4280701754385965,0.0674881686246779
0.25,ELEM,varying43,43,0.5144971307762006,0.000416185164731054
0.25,SPECIES,const19,19,0.45789473684210524,0.048674125792005335
0.25,SPECIES,varying43,43,0.18000604047115676,0.24806541432422116
0.25,CYCLEHAT,const19,19,0.4789473684210526,0.038017137699796845
0.25,CYCLEHAT,varying43,43,0.6010268800966476,2.028357479333464e-05
0.25,CYCLE_EXT,const19,19,0.4789473684210526,0.038017137699796845
0.25,CYCLE_EXT,varying43,43,0.6058592570220477,1.6687156205580424e-05
0.5,NAIVE,S8,62,0.3989574677041625,0.0013183382793029211
0.5,ELEM,S8,62,0.44433532270655485,0.00029704001826663597
0.5,SPECIES,S8,62,0.40122384226033087,0.0012297019605081506
