model,set,n,split_half_rho,spearman_brown,slope_sd,jack_se_mean,reliability_jack,max_rho_jack,rho_obs
NAIVE,S8,62,0.9295409332426783,0.9634840258926707,664.5574969646016,147.78530118211256,0.950546462989292,0.9749597237780092,0.36843695701442924
NAIVE,S14,39,0.9846153846153848,0.992248062015504,665.8726597491128,125.31722156207773,0.964580767350081,0.9821307282383954,0.6461538461538462
ELEM,S8,62,0.8084661680642644,0.8940904533808622,1.3060596258737522,0.6177287124795235,0.7762981541909082,0.8810778366244995,0.33454206642995643
ELEM,S14,39,0.817408906882591,0.8995321897972821,1.1678063997966375,0.40894297186384126,0.8773736516760439,0.9366822575858069,0.3941295546558705
SPECIES,S8,62,-0.2723426758328927,-0.748546511627907,0.2030323770432755,0.32937318133350446,0.0,0.0,0.04656140615950241
SPECIES,S14,39,-0.22955465587044535,-0.5959012086179716,0.2206901792384972,0.3386040430092361,0.0,0.0,0.018421052631578946
SPECIES_CONST,S8,19,0.45964912280701753,0.6298076923076923,0.24013761177131002,0.21018765130943615,0.23388490353404756,0.48361648393540885,0.1789473684210526
SPECIES_CONST,S14,11,0.6272727272727273,0.770949720670391,0.26022494168439597,0.20708325551806903,0.3667253145215975,0.6055784957555853,0.19090909090909092
SPECIES_NFILLCOL,S8,62,0.4891591750396615,0.6569602272727272,1.0298617880960779,0.39469488012832826,0.8531191771224715,0.9236445079804629,0.4245926821283775
SPECIES_NFILLCOL,S14,39,0.44190283400809716,0.6129439842762882,0.7969761401340985,0.37265389680979705,0.7813644926857252,0.8839482409540307,0.3532388663967611
