design,unit,comparison,point,ci_low,ci_high,p,seeds_positive,n_units,passes_P1
B,chemotype,AOPT_vs_RANDOM,0.019057102309605205,-0.0003196850696112254,0.03774157330227116,0.0532,5,45,False
B,chemotype,AOPT_vs_MAXMIN,0.023312540660891567,-0.0006045705873419381,0.049194282077513786,0.0558,4,45,False
BR,chemotype,AOPT_vs_RANDOM,0.023764682250427546,0.009316580191265246,0.03826686110972708,0.0006,5,45,True
BR,chemotype,AOPT_vs_MAXMIN,0.034462308624065144,0.013589457132149008,0.05654775415773136,0.0006,5,45,True
BQ,chemotype,AOPT_vs_RANDOM,0.01848796968760776,-0.0011800271790675637,0.03758756331334274,0.0674,5,45,False
BQ,chemotype,AOPT_vs_MAXMIN,0.02466749815002462,0.003308333597945298,0.0473172005077384,0.0244,5,45,True
A,chemotype,AOPT_vs_RANDOM,0.035151044823534594,0.014067066520614449,0.056098491843041595,0.0006,5,45,True
A,chemotype,AOPT_vs_MAXMIN,0.04097301823601036,0.015096044608193075,0.06753830267187962,0.0014,5,45,True
BP,chemotype,AOPT_vs_RANDOM,0.03932145106448544,0.02213324209092462,0.055671050486584966,0.0002,5,45,True
BP,chemotype,AOPT_vs_MAXMIN,0.042079152959157116,0.02264661804357902,0.06244282671053826,0.0,5,45,True
