comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,design,endpoint
AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,-0.010205815608446214,-0.05203294347306902,0.03649679270560595,-0.07093522804960867,0.03005225883415034,0.7956,0.02618473091685438,0.07331724656719225,0.018697098438628126,90,50,2,5,-0.014411169832331277,0.024802811285858956,False,0.02,False,False,B,ABC_mae_all
AOPTALL_vs_RANDOM,mae_all,RANDOM,AOPT_ALL,-0.018516271615959805,-0.05683502540590648,0.02681359160986492,-0.07390897415684418,0.019394528276100425,0.7088,0.02425053725810102,0.06790150432268285,0.009378323115135936,90,44,2,5,-0.023340691131754906,0.013475638339780301,False,0.02,False,False,B,ABC_mae_all
BIGGEST_vs_RANDOM,mae_all,RANDOM,BIGGEST,0.030428630761554665,0.013450977895859424,0.04663316904753447,0.012545246742470225,0.04579295641823988,0.0018,0.00823595534437252,0.023060674964243053,0.03176231687564071,90,74,5,5,0.02731885847984656,0.034290313744234004,True,0.02,True,True,B,ABC_mae_all
DGAFIRST_vs_RANDOM,mae_all,RANDOM,DGAFIRST,0.01126616527666658,0.0006566231245902427,0.018069661986276332,0.003068114840164493,0.01997766171588205,0.0368,0.004583041882896984,0.012832517272111555,0.006007640864254825,90,54,4,5,0.006556403655041034,0.012350501002665541,True,0.02,True,False,B,ABC_mae_all
AOPTR_vs_BIGGEST,mae_all,BIGGEST,AOPT_R,-0.040634446370000875,-0.08272455578294612,0.012915893893565978,-0.09996208209212948,0.0017809132198991174,0.2122,0.026509241358340697,0.07422587580335395,-0.013065218437012582,90,30,1,5,-0.04831154568568346,-0.006738285972132141,True,0.02,False,False,B,ABC_mae_all
AOPTR_vs_DGAFIRST,mae_all,DGAFIRST,AOPT_R,-0.021471980885112797,-0.06877397515207553,0.030999638008407042,-0.08995156709824391,0.023541315050143095,0.7384,0.02954195473083377,0.08271747324633455,0.0126894575743733,90,49,1,5,-0.02540066573270375,0.018246407630817925,False,0.02,False,False,B,ABC_mae_all
AOPTR_vs_RANDCM,mae_all,RANDCM,AOPT_R,-0.03682611614224114,-0.07165229219761078,0.004406656228765893,-0.08713254394615572,-0.00245138910693297,0.1354,0.021936641608507744,0.06142259650382168,-0.008973599857621277,90,30,1,5,-0.03994407856422708,-0.007953894445850741,True,0.02,False,False,B,ABC_mae_all
BIGGEST_vs_RANDCM,mae_all,RANDCM,BIGGEST,0.003808330227759729,-0.01738525417961116,0.017696078190428306,-0.018659316033482743,0.017262621219608455,0.6478,0.00899473094009188,0.025185246632257265,0.004091618579391309,90,54,3,5,-0.001215608473718599,0.009161778808677258,False,0.02,False,False,B,ABC_mae_all
RANDCM_vs_RANDOM,mae_all,RANDOM,RANDCM,0.02662030053379493,0.015374691005738229,0.04235229822893425,0.014380099572881562,0.04103905083868635,0.0,0.007065454668131595,0.019783273070768465,0.0276706982962494,90,74,5,5,0.022759845717615336,0.03275670573170968,True,0.02,True,True,B,ABC_mae_all
AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,0.024802811285858956,0.008657043926864182,0.0414131109943156,0.009814469647045056,0.04269197402838623,0.0032,0.008334195899028524,0.023335748517279868,0.02167174767281899,67,48,5,5,0.020714513077925493,0.02721187335233002,True,0.02,True,True,B,ABC_mae_all_noDGAscored
