design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,loco_stable,p_bh_within_lead_family,src,budget,p_bh_all_L4
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.0119072716955267,-0.0552383170471835,0.0367435104663295,-0.0743304473486864,0.0296426830538107,0.7826,0.0269606096945582,0.075489707144763,0.0190571023096052,90,45,2,5,-0.0170843056328692,0.0241434464909485,False,0.02,False,False,registered,ABC_mae_all,L4,False,0.942888888888889,contrasts_abc.csv,,0.8706675191815856
B,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,-0.0038508153863838,-0.0407213934975922,0.045262812020316,-0.0530974499747367,0.0343280294806189,0.9852,0.0232976074412211,0.0652333008354193,0.0233125406608915,90,38,3,5,-0.0132742947549126,0.0247201513426865,False,0.02,False,False,registered,ABC_mae_all,L4,False,0.9852,contrasts_abc.csv,,0.9884723502304147
B,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.0310417712613688,-0.0671844441347917,0.0189621445273578,-0.0758432524796289,0.0092837907270796,0.2816,0.0229645045597206,0.0643006127672176,-0.0087319893774791,90,25,2,5,-0.0411254787569137,-0.0057240902191007,True,0.02,False,False,registered,ABC_mae_all,L4,True,0.7040000000000001,contrasts_abc.csv,,0.464
B,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,-0.0229853149522259,-0.0559426983150677,0.0222159611633916,-0.0612662145477475,0.0155204778335118,0.3386,0.0202599904419055,0.0567279732373354,-0.0044765510261928,90,29,2,5,-0.0313980385473532,-0.0051473853673627,True,0.02,False,False,registered,ABC_mae_all,L4,True,0.7204,contrasts_abc.csv,,0.5317364620938628
B,MAXMIN_vs_RANDOM,mae_all,RANDOM,MAXMIN,-0.0080564563091428,-0.0230672334279048,0.013721180535323,-0.0256915463746914,0.0104331258071001,0.4656,0.0094925103817851,0.0265790290689984,-0.0042554383512863,90,43,1,5,-0.0105619494731169,-0.000576704851738,True,0.02,False,False,exploratory,ABC_mae_all,L4,True,0.6534736842105264,contrasts_abc.csv,,0.6640524590163934
B,AOPT_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.0097567845312631,-0.0538395418715656,0.091475808578297,-0.0780221286276155,0.075852683842706,0.7066,0.0408883828565815,0.1144874719984283,0.0579363471549004,86,50,3,5,-0.0017028984470599,0.0627059009906741,False,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,False,0.8511044776119403,contrasts_abc.csv,,0.8421123287671233
B,AOPT_vs_MAXMIN_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.10905080555835,0.0477437365408959,0.2015634486451341,0.0357560112432233,0.1832927706008687,0.0,0.0406998642319986,0.1139596198495963,0.1470683153582517,86,56,5,5,0.0853943654215164,0.153876725680173,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,True,0.0,contrasts_abc.csv,,0.0
B,UNCERT_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.0074184895938366,-0.067206797435565,0.1033304652586465,-0.0983620852169071,0.0842671825650821,0.781,0.047408235193956,0.1327430585430768,0.0603468764198703,86,40,2,5,-0.0072535996385276,0.0672482845141278,False,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,False,0.8684444444444445,contrasts_abc.csv,,0.8706675191815856
B,UNCERT_vs_MAXMIN_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.1067125106209235,0.0377745240683969,0.1999950974726377,0.0138296067699655,0.1809338291081134,0.001,0.0440848288192698,0.1234375206939554,0.1494788446232215,86,58,4,5,0.0929154205860051,0.1584191092036267,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,True,0.0033333333333333,contrasts_abc.csv,,0.004484536082474227
B,MAXMIN_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.0992940210270868,-0.1304490726299273,-0.0601652077192185,-0.1392363306057155,-0.067114994082459,0.0,0.0175699583008041,0.0491958832422517,-0.0891319682033512,86,12,0,5,-0.1034494071412517,-0.0870972638685763,True,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,True,0.0,contrasts_abc.csv,,0.0
B,AOPT_vs_RANDOM_mae_far,mae_far,RANDOM,AOPT,-0.0196458017085138,-0.089229897892338,0.0601924430595905,-0.1198344590508142,0.0483268053332009,0.7816,0.0439242218529603,0.122987821188289,0.030741469050858,88,45,2,5,-0.0283639571529824,0.0394045784298913,False,0.02,False,False,exploratory,ABC_mae_far,L4,False,0.8684444444444445,contrasts_abc.csv,,0.8706675191815856
B,AOPT_vs_MAXMIN_mae_far,mae_far,MAXMIN,AOPT,-0.0034498935488465,-0.0635223822417859,0.0770922286184733,-0.0848943275246607,0.0589933806955427,0.961,0.0382796016620044,0.1071828846536125,0.042737343538579,88,38,3,5,-0.0188167318457374,0.0440546161884701,False,0.02,False,False,exploratory,ABC_mae_far,L4,False,0.961,contrasts_abc.csv,,0.972174418604651
B,UNCERT_vs_RANDOM_mae_far,mae_far,RANDOM,UNCERT,-0.0551981535025101,-0.1078322383458573,0.0171744873110081,-0.1241221122722469,0.0029951093624637,0.1856,0.0338267077603139,0.094714781728879,-0.0204954980492888,88,26,2,5,-0.0687728033633756,-0.0164867456766404,True,0.02,False,False,exploratory,ABC_mae_far,L4,True,0.3453023255813953,contrasts_abc.csv,,0.3350041493775933
B,UNCERT_vs_MAXMIN_mae_far,mae_far,MAXMIN,UNCERT,-0.0390022453428429,-0.087615976365545,0.0295070498880856,-0.0977083316466024,0.018075577839633,0.2842,0.0304911304448376,0.0853751652455452,-0.0084996235615678,88,30,2,5,-0.0501749451617128,-0.0118367079180617,True,0.02,False,False,exploratory,ABC_mae_far,L4,True,0.45472,contrasts_abc.csv,,0.4665169811320755
B,MAXMIN_vs_RANDOM_mae_far,mae_far,RANDOM,MAXMIN,-0.0161959081596672,-0.0402233590865453,0.0192088549570209,-0.0444435275670753,0.0138795233300895,0.3544,0.0151987073483754,0.0425563805754512,-0.0119958744877209,88,42,1,5,-0.0203766872224327,-0.0046500377585787,True,0.02,False,False,exploratory,ABC_mae_far,L4,True,0.5250370370370371,contrasts_abc.csv,,0.5505857142857142
B,AOPT_vs_RANDOM_pair_spearman,pair_spearman,RANDOM,AOPT,-0.0449236397438501,-0.1543749870081296,0.0900574341675077,-0.1974833869008218,0.0675974487628449,0.7354,0.0708031093953164,0.1982487063068859,0.0435263368836744,84,43,2,5,-0.0597558908081201,0.0505789945955755,False,0.02,False,False,exploratory,ABC_pair_spearman,L4,False,0.8619130434782608,contrasts_abc.csv,,0.853064
B,AOPT_vs_MAXMIN_pair_spearman,pair_spearman,MAXMIN,AOPT,-0.0039569826076409,-0.1013958316834654,0.1360670383871899,-0.1273631483907538,0.1040265126428376,0.947,0.0637786916086599,0.1785803365042478,0.0679970552944079,84,34,3,5,-0.0341578453503716,0.0730950595665464,False,0.02,False,False,exploratory,ABC_pair_spearman,L4,False,0.9593924050632912,contrasts_abc.csv,,0.9674154929577465
B,UNCERT_vs_RANDOM_pair_spearman,pair_spearman,RANDOM,UNCERT,-0.0731796748438525,-0.192513023870948,0.0807407432617505,-0.2438986620098574,0.051869064221296,0.5718,0.0769142973627345,0.2153600326156566,0.0152572196488364,84,39,2,5,-0.0951746461928427,0.0263302464671461,False,0.02,False,False,exploratory,ABC_pair_spearman,L4,False,0.72075,contrasts_abc.csv,,0.7560273556231002
