design,split_seed,comparison,abc,n_units
B,104729,AOPT_vs_RANDOM,-0.0011327856097426087,90
B,104729,AOPT_vs_MAXMIN,0.01850279955696231,90
B,104729,UNCERT_vs_RANDOM,-0.048094982496960974,90
B,104729,UNCERT_vs_MAXMIN,-0.028459397330256042,90
B,130363,AOPT_vs_RANDOM,-0.07459532330421251,90
B,130363,AOPT_vs_MAXMIN,-0.06696905301676706,90
B,130363,UNCERT_vs_RANDOM,-0.0791874507186216,90
B,130363,UNCERT_vs_MAXMIN,-0.07156118043117615,90
B,155921,AOPT_vs_RANDOM,0.044619272988722584,90
B,155921,AOPT_vs_MAXMIN,0.03504849712592591,90
B,155921,UNCERT_vs_RANDOM,0.02948001048842078,90
B,155921,UNCERT_vs_MAXMIN,0.019909234625624102,90
B,196613,AOPT_vs_RANDOM,0.008425110609177363,90
B,196613,AOPT_vs_MAXMIN,0.019027843872421877,90
B,196613,UNCERT_vs_RANDOM,0.021110912285001518,90
B,196613,UNCERT_vs_MAXMIN,0.03171364554824603,90
B,262147,AOPT_vs_RANDOM,-0.03685263316157872,90
B,262147,AOPT_vs_MAXMIN,-0.02486416447046253,90
B,262147,UNCERT_vs_RANDOM,-0.07851734586468383,90
B,262147,UNCERT_vs_MAXMIN,-0.06652887717356763,90
BR,104729,AOPT_vs_RANDOM,0.02565263356180777,90
BR,104729,AOPT_vs_MAXMIN,0.04099555051313503,90
BR,104729,UNCERT_vs_RANDOM,-0.03309679547286017,90
BR,104729,UNCERT_vs_MAXMIN,-0.017753878521532904,90
BR,130363,AOPT_vs_RANDOM,0.016928413935120994,90
BR,130363,AOPT_vs_MAXMIN,0.02062895878936894,90
BR,130363,UNCERT_vs_RANDOM,-0.06963141637210477,90
BR,130363,UNCERT_vs_MAXMIN,-0.0659308715178568,90
BR,155921,AOPT_vs_RANDOM,0.030941470117227983,90
BR,155921,AOPT_vs_MAXMIN,0.07369330950386555,90
BR,155921,UNCERT_vs_RANDOM,0.0223988506892707,90
BR,155921,UNCERT_vs_MAXMIN,0.06515069007590828,90
BR,196613,AOPT_vs_RANDOM,0.03839375172646101,90
BR,196613,AOPT_vs_MAXMIN,0.051162816829351934,90
BR,196613,UNCERT_vs_RANDOM,0.04665862084123749,90
BR,196613,UNCERT_vs_MAXMIN,0.059427685944128394,90
BR,262147,AOPT_vs_RANDOM,0.0053445203707340625,90
BR,262147,AOPT_vs_MAXMIN,0.022127659685429544,90
BR,262147,UNCERT_vs_RANDOM,0.013266380763692291,90
BR,262147,UNCERT_vs_MAXMIN,0.030049520078387765,90
BQ,104729,AOPT_vs_RANDOM,0.01261329627686029,90
BQ,104729,AOPT_vs_MAXMIN,0.04322756540458002,90
BQ,104729,UNCERT_vs_RANDOM,-0.057398333330901566,90
BQ,104729,UNCERT_vs_MAXMIN,-0.026784064203181846,90
BQ,130363,AOPT_vs_RANDOM,-0.05877224042665848,90
BQ,130363,AOPT_vs_MAXMIN,-0.05462407606016774,90
BQ,130363,UNCERT_vs_RANDOM,0.011643600830339967,90
BQ,130363,UNCERT_vs_MAXMIN,0.015791765196830725,90
BQ,155921,AOPT_vs_RANDOM,0.012523963834057837,90
BQ,155921,AOPT_vs_MAXMIN,0.018940133871628323,90
BQ,155921,UNCERT_vs_RANDOM,0.020992115646120652,90
BQ,155921,UNCERT_vs_MAXMIN,0.027408285683691132,90
BQ,196613,AOPT_vs_RANDOM,-0.0008062030749312687,90
BQ,196613,AOPT_vs_MAXMIN,0.006996667840206092,90
BQ,196613,UNCERT_vs_RANDOM,0.0401851881495074,90
BQ,196613,UNCERT_vs_MAXMIN,0.04798805906464476,90
BQ,262147,AOPT_vs_RANDOM,0.017582582786325095,90
BQ,262147,AOPT_vs_MAXMIN,0.036824654683095336,90
BQ,262147,UNCERT_vs_RANDOM,0.001879836816044033,90
BQ,262147,UNCERT_vs_MAXMIN,0.021121908712814268,90
A,104729,AOPT_vs_RANDOM,0.038200740781359474,90
A,104729,AOPT_vs_MAXMIN,0.05526189433729928,90
A,104729,UNCERT_vs_RANDOM,-0.0026818545519112186,90
A,104729,UNCERT_vs_MAXMIN,0.014379299004028585,90
A,130363,AOPT_vs_RANDOM,0.033097185448390735,90
A,130363,AOPT_vs_MAXMIN,0.05317343311523355,90
A,130363,UNCERT_vs_RANDOM,-0.023059761481561556,90
A,130363,UNCERT_vs_MAXMIN,-0.0029835138147187414,90
A,155921,AOPT_vs_RANDOM,0.04005665628812497,90
A,155921,AOPT_vs_MAXMIN,0.053734688807360306,90
A,155921,UNCERT_vs_RANDOM,-0.006876802585864484,90
A,155921,UNCERT_vs_MAXMIN,0.006801229933370846,90
A,196613,AOPT_vs_RANDOM,0.02747540622557193,90
A,196613,AOPT_vs_MAXMIN,0.040704643282536195,90
A,196613,UNCERT_vs_RANDOM,-0.01457282775491193,90
A,196613,UNCERT_vs_MAXMIN,-0.001343590697947658,90
A,262147,AOPT_vs_RANDOM,0.04490248254532162,90
A,262147,AOPT_vs_MAXMIN,0.0622565758081763,90
A,262147,UNCERT_vs_RANDOM,-0.04289306191186866,90
A,262147,UNCERT_vs_MAXMIN,-0.02553896864901398,90
BP,104729,AOPT_vs_RANDOM,0.06395498796285863,90
BP,104729,AOPT_vs_MAXMIN,0.05943559612213847,90
BP,104729,UNCERT_vs_RANDOM,0.025690083629552045,90
BP,104729,UNCERT_vs_MAXMIN,0.02117069178883187,90
BP,130363,AOPT_vs_RANDOM,0.04007360846128275,90
