design,comparison,point_mine,p_two_sided_mine,point_lead,ci95_low,ci95_high,p_two_sided_lead,seeds_positive,loco_sign_stable,passes_P1,p_bh_within_lead_family,abs_diff_point
B,AOPT_vs_RANDOM,-0.011907271695526769,0.7826,-0.0119072716955267,-0.0552383170471835,0.0367435104663295,0.7826,2,False,False,0.942888888888889,6.938893903907228e-17
B,AOPT_vs_MAXMIN,-0.0038508153863838967,0.9852,-0.0038508153863838,-0.0407213934975922,0.045262812020316,0.9852,3,False,False,0.9852,9.6710833785707e-17
B,UNCERT_vs_RANDOM,-0.03104177126136881,0.2816,-0.0310417712613688,-0.0671844441347917,0.0189621445273578,0.2816,2,True,False,0.7040000000000001,1.0408340855860843e-17
B,UNCERT_vs_MAXMIN,-0.022985314952225944,0.3386,-0.0229853149522259,-0.0559426983150677,0.0222159611633916,0.3386,2,True,False,0.7204,4.5102810375396984e-17
BR,AOPT_vs_RANDOM,0.023452157942270364,0.0,0.0234521579422703,0.0135497401462173,0.0359322916159785,0.0,5,True,True,0.0,6.245004513516506e-17
BR,AOPT_vs_MAXMIN,0.0417216590642302,0.0014,0.0417216590642302,0.0148296614655136,0.0600755213841255,0.0014,5,True,True,0.0046666666666666,0.0
BR,UNCERT_vs_RANDOM,-0.004080871910152892,0.711,-0.0040808719101528,-0.0240360150799938,0.0224625711126687,0.711,3,False,False,0.942888888888889,9.194034422677078e-17
BR,UNCERT_vs_MAXMIN,0.014188629211806941,0.3602,0.0141886292118069,-0.01949629734542,0.0389241722265443,0.3602,3,True,False,0.7204,4.163336342344337e-17
BQ,AOPT_vs_RANDOM,-0.003371720120869312,0.9738,-0.0033717201208693,-0.0374693531359781,0.0355452101732191,0.9738,3,False,False,0.9852,1.1709383462843448e-17
BQ,AOPT_vs_MAXMIN,0.010272989147868412,0.4342,0.0102729891478684,-0.0136473858038728,0.0439321703477767,0.4342,4,True,False,0.7636666666666666,1.214306433183765e-17
BQ,UNCERT_vs_RANDOM,0.0034604816222220964,0.8032,0.003460481622222,-0.0297813607059143,0.0275366836322493,0.8032,4,False,False,0.942888888888889,9.627715291671279e-17
BQ,UNCERT_vs_MAXMIN,0.017105190890959816,0.4582,0.0171051908909598,-0.0316807541353728,0.0469683025057793,0.4582,4,False,False,0.7636666666666666,1.734723475976807e-17
A,AOPT_vs_RANDOM,0.03674649425775374,0.0,0.0367464942577537,0.020355966225097,0.0503655965693927,0.0,5,True,True,0.0,4.163336342344337e-17
A,AOPT_vs_MAXMIN,0.05302624707012112,0.0008,0.0530262470701211,0.018826055618105,0.0769539507619964,0.0008,5,True,True,0.0032,2.0816681711721685e-17
A,UNCERT_vs_RANDOM,-0.018016861657223583,0.0358,-0.0180168616572235,-0.0367463579629918,-0.0013559279123193,0.0358,0,True,False,0.1022857142857142,8.326672684688674e-17
A,UNCERT_vs_MAXMIN,-0.0017371088448561943,0.837,-0.0017371088448561,-0.038501884376995,0.0217253576202585,0.837,2,False,False,0.942888888888889,9.432558900623889e-17
BP,AOPT_vs_RANDOM,0.05006531841752166,0.0,0.0500653184175216,0.0271535949536361,0.0662252339898734,0.0,5,True,True,0.0,6.245004513516506e-17
BP,AOPT_vs_MAXMIN,0.058208610152098945,0.0002,0.0582086101520989,0.0151201422531502,0.0919924836408498,0.0002,5,True,True,0.001,4.85722573273506e-17
BP,UNCERT_vs_RANDOM,-0.010893824373663525,0.6496,-0.0108938243736635,-0.0408059490681353,0.0318217812106469,0.6496,2,False,False,0.942888888888889,2.6020852139652106e-17
BP,UNCERT_vs_MAXMIN,-0.002750532639086241,0.8486,-0.0027505326390862,-0.0279160051354693,0.0247548085332936,0.8486,3,False,False,0.942888888888889,4.0766001685454967e-17
