design,n_folds,n_test_cells,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BP,25,2605,O_AMP,0.3222102993909807,0.004160360021964848,0.3849471562386336,0.17174768724617767,0.3640502529638073,0.8406081147720667,0.5432067020830306,0.25865220206716677,0.1484474554672481,0.3078379423943112,0.9159312816709925,90,83,88,86,5
BP,25,2605,G14,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797732,0.9026819923371647,90,83,88,86,5
BP,25,2605,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BP,25,2605,MEAN_CURVE,0.6217330292820759,0.011436410641341679,0.6416951823369196,0.20771349630614133,0.855764037026175,0.5117685801091951,0.17095014672657893,0.6657650872886433,0.18796843242466912,1.0347955766847072,0.5011247064639723,90,83,88,86,5
BP@S,25,1220,O_AMP,0.25225626669450574,0.004282386308473836,0.27716333668421506,0.1482513888139707,0.3271888319681495,0.8824995167182994,0.5459908933937896,0.25869591977363093,0.14046779485569189,0.31261503986061223,0.9168465816159633,42,42,42,40,5
BP@S,25,1220,G14,0.3998331813729045,0.009686391026411932,0.4440461138145763,0.16314146987908362,0.5753342947367985,0.8657691843097964,0.5041201179585912,0.49552177012415766,0.1562240404569142,0.7514368345601908,0.9207392868825646,42,42,42,40,5
BP@S,25,1220,FLAT,0.5088384669118533,0.0,0.5244548645168523,0.18309677711804978,0.755762889851788,0.0,,0.6427559904680713,0.1803469888556754,1.0054214221589657,0.0,42,42,42,40,5
BP@S,25,1220,MEAN_CURVE,0.5135557249293621,0.016154215599204234,0.5404119978803777,0.1785891720324951,0.7566556832725552,0.580039757431963,0.1855521855825856,0.656963256798409,0.17891773185261275,1.024816929279052,0.4991494929669611,42,42,42,40,5
BP1,25,1197,O_AMP,0.24434702725185523,0.004160196230901471,0.26943977417451836,0.1485847858958628,0.31810485428311785,0.8925528216273149,0.5719921553132314,0.25278143067819564,0.13922530639109743,0.3037049275477283,0.9229466553767993,42,42,42,40,5
BP1,25,1197,G14,0.4021821588436957,0.015468501712201215,0.4633072208153738,0.1659823804052325,0.5898035005682261,0.8443043377851993,0.512241039213664,0.47653432949843494,0.15307783115494747,0.7232880676962046,0.928467400508044,42,42,42,40,5
BP1,25,1197,MEAN_CURVE,0.48056910488461774,0.023050030230290872,0.5162973871015216,0.17597303723581414,0.7095807733414145,0.7081501826175187,0.337230342366064,0.596957570769143,0.1690493726281569,0.9303117302446112,0.7358509737510585,42,42,42,40,5
BP1,25,1197,FLAT,0.5105194825638195,0.01596127542989319,0.5233731847993084,0.18518307672642922,0.7617922247244332,0.0,,0.6469513537683689,0.18062609257411189,1.0166446952465815,0.0,42,42,42,40,5
BP@SX,23,1090,O_AMP,0.2676759173136598,0.005036229099617335,0.2947299762350332,0.15296927639720267,0.3746546377382082,0.815824926668135,0.4962977469820533,0.26732804778716523,0.14293106362608096,0.3270499600873785,0.9100557585079793,21,21,21,21,5
BP@SX,23,1090,G14,0.41691520280894484,0.013216119011600191,0.45711015900866164,0.17203083878037234,0.634396233014594,0.7950618947180275,0.4292886135918438,0.5111527667670376,0.15835103959782806,0.7898797807108056,0.9150932512978274,21,21,21,21,5
BP@SX,23,1090,FLAT,0.5043393974452213,0.0,0.5028037117156531,0.1917145281234929,0.7819323929769578,0.0,,0.6623388131359788,0.1833410302126956,1.0562567272701116,0.0,21,21,21,21,5
BP@SX,23,1090,MEAN_CURVE,0.5234550128269574,0.020337750435882478,0.5337149794255218,0.18556512124895969,0.8080176202456973,0.5153561593426723,0.10109475866523432,0.6788821179522089,0.18180678651997315,1.080060045216181,0.4782926360315324,21,21,21,21,5
BP1X,25,1077,O_AMP,0.2597891645442011,0.010673153006817955,0.28291451000978485,0.15784492620650464,0.3612030793269921,0.8401353915987884,0.5219562310811787,0.261239648905938,0.14144356132275476,0.3176410302349707,0.9165850025479205,22,22,22,22,5
BP1X,25,1077,G14,0.3846315493812619,0.025014037167302033,0.4154914597752607,0.17008344748873977,0.5820235405414632,0.8419744546819012,0.508982716494194,0.48519810136359526,0.15382115459890303,0.747912483765207,0.9304221708282702,22,22,22,22,5
BP1X,25,1077,MEAN_CURVE,0.46530555723815004,0.03161012601273521,0.4751881881397619,0.18142878406480017,0.7151302217546561,0.6647375080068738,0.2828148664752233,0.6078970348166647,0.17039233098602227,0.9624263190500804,0.7319195641095998,22,22,22,22,5
BP1X,25,1077,FLAT,0.4969484546963022,0.018472526323995795,0.487122381899728,0.19353828606153578,0.7695968453452762,0.0,,0.6619587403257435,0.18290241683348707,1.0574347898050014,0.0,22,22,22,22,5
