system_id,ligand,name,n_groups,publications,max_publications,n_records,metals
sys_07ee9637c98c1e20,TODGA,"TODGA in other, nitrate medium, no additive",13,7,5,249,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm
sys_120bb57e9148dd0d,TEHDGA,"TEHDGA in aliphatic hydrocarbon, nitrate medium, with 1_octanol (modifier)",1,2,2,31,Nd
sys_1419f400c83e9ad8,DMDODGA,"DMDODGA in aliphatic hydrocarbon, nitrate medium, no additive",1,2,2,239,Eu
sys_267144068d8e09d2,DMDODGA,"DMDODGA in aliphatic hydrocarbon, nitrate medium, with 1_octanol (modifier)",1,2,2,102,Nd
sys_5cb78e5000d40860,TODGA,"TODGA in aliphatic hydrocarbon, nitrate medium, no additive",14,27,18,514,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb
sys_81bcc3c06cbf0b4c,D3DODGA,"D3DODGA in aliphatic hydrocarbon, nitrate medium, no additive",1,3,3,35,Nd
sys_81e3169a7f85c2b9,TBDGA,"TBDGA in aromatic, nitrate medium, no additive",7,4,4,198,Dy;Er;Eu;Gd;La;Nd;Sm
sys_95746e54b97ae741,NTAamide(C8),"NTAamide(C8) in aliphatic hydrocarbon, nitrate medium, no additive",1,2,2,20,Eu
sys_a2a472b5124b09c6,TODGA,"TODGA in aromatic, nitrate medium, no additive",14,8,7,294,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb
sys_a7195d8a9d8696e0,TEHDGA,"TEHDGA in aliphatic hydrocarbon, nitrate medium, no additive",2,8,5,71,Eu;Nd
sys_a9fea6791c7a14d6,DMDOHEMA,"DMDOHEMA in aliphatic hydrocarbon, nitrate medium, no additive",1,2,2,52,Eu
sys_b06c95ac0efc3d4e,C5BTBP,"C5BTBP in other, nitrate medium, no additive",1,2,2,45,Eu
sys_be340fe5092ae17a,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,"2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide in aliphatic hydrocarbon, nitrate medium, no additive",1,3,3,40,Eu
sys_ebce91a448faa5c3,TODGA,"TODGA in alcohol modifier, nitrate medium, no additive",1,5,5,39,Eu
