# regime: cohort=Pr/Nd case: literature placeholder entries PC88A and Cyanex 272 (no corpus rows), feed_status assumed (U1); holdout=none (computed regimes, consistency checks are not validation); averaging_unit=draw (parameter draw, seed 18); status_of_parameters=PLACEHOLDER_PARAMETERS (assumed with ranges, --allow-placeholders), feed_status assumed, spec_status assumed
draw,log_k_Nd,sf_nd_pr,sf_mode,log_k_Pr,log_k_Pr_clipped,a_dimer,b_proton
0,-2.1413190384866114,1.4434829358576433,uniform in the placeholder range,-2.3007306927188216,False,2.2808233280360035,2.0827249179981164
1,-1.0574344933435664,1.4127853490735904,uniform in the placeholder range,-1.2075106758613985,False,2.6443209621512462,2.5768714635026093
2,-1.9968141575131215,1.3244803979695714,uniform in the placeholder range,-2.118859692727236,False,2.313596121223218,2.7362085826849922
3,-1.1759608372081698,1.4777203890352775,uniform in the placeholder range,-1.3455531028048506,False,2.948320881869942,2.0254039213716437
4,-1.49772668812167,1.4345200153136977,uniform in the placeholder range,-1.6544333002921503,False,2.6251876404890218,2.6376241879130657
5,-2.660085306089452,1.4252332222032886,uniform in the placeholder range,-2.8139712432959367,False,2.7870918106860967,2.00740103932456
6,-1.1500167282926879,1.3261262354826124,uniform in the placeholder range,-1.2726015953207832,False,2.3757060727228545,2.550698546884907
7,-1.7443146567385395,1.4098857217686245,uniform in the placeholder range,-1.8934985690984378,False,2.387719876612287,2.8803162171689394
8,-2.14641705880136,1.4747031316476795,uniform in the placeholder range,-2.315121661309786,False,2.329883372394726,2.625719523368554
9,-1.285346138315544,1.3239655258012315,uniform in the placeholder range,-1.4072228151494246,False,2.170897997484897,2.7282635027404525
10,-2.6612056736601737,1.3034061359174647,uniform in the placeholder range,-2.776285434810182,False,2.1906581544036507,2.3947450036018294
11,-1.564960757664118,1.4400464113420572,uniform in the placeholder range,-1.7233372468877997,False,2.214242164829413,2.2245050194569247
12,-2.8014231560471994,1.304500455682868,uniform in the placeholder range,-2.9168673911894722,False,2.1347939213021148,2.7518887981315343
13,-2.253405749924542,1.3696206288612651,uniform in the placeholder range,-2.3900060385347417,False,2.345365277925336,2.240648152081251
14,-1.1112737868823601,1.488214390541547,uniform in the placeholder range,-1.283939286588376,False,2.9324555355719037,2.7200590122145583
15,-1.662041054132687,1.4148549152582133,uniform in the placeholder range,-1.8127529620260165,False,2.409380720007129,2.6969956254960645
16,-1.888542922035897,1.4505252129738464,uniform in the placeholder range,-2.050068204130284,False,2.733992162743865,2.6182246440119123
17,-1.9743437491825429,1.4451900033575895,uniform in the placeholder range,-2.1342686979949046,False,2.7535909427646037,2.7103439013951713
18,-2.6046042305265096,1.3504696190269048,uniform in the placeholder range,-2.735089049011192,False,2.671911672795634,2.6853419042580433
19,-1.77543456590815,1.4326479280643027,uniform in the placeholder range,-1.9315740419403569,False,2.923068056407414,2.071758637714317
20,-1.9301131185802103,1.3664152441018529,uniform in the placeholder range,-2.0656958170600834,False,2.019791839608263,2.6799237796337048
21,-2.808414254459963,1.3078536404385797,uniform in the placeholder range,-2.924973400048834,False,2.260458263223,2.082753531138534
22,-1.5115956876355505,1.3010506670399224,uniform in the placeholder range,-1.6258898973311768,False,2.648546038736357,2.335881795024125
23,-1.0343893815864098,1.4154418445987726,uniform in the placeholder range,-1.1852814120599162,False,2.6679320379514433,2.8595881219350545
