# regime: cohort=E1 records of sys_5cb78e5000d40860, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_04794d6d09,pub_0d412f4721,pub_2c76a46f18,pub_328cdbeabc,pub_457a2adba4,pub_5472c4b438,pub_5a68dc5665,pub_86cd2c5ec0,pub_cd72e4a7bb,pub_d3c970567f,pub_e4bbba9576,pub_f59e3c846a,pub_f5d1922154","pub_09a5fc4a7d,pub_1605e436d7,pub_227fd56641,pub_2e9f2dbea9,pub_51c0693f9c,pub_58e30f4932,pub_890299c726,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_d68ed8c8cf",1.7167763117050472,3.3855768821246968,2.069313613892973,2.176233398623024,True,True,True,True,14,0.9315584253097989
1,"pub_09a5fc4a7d,pub_1605e436d7,pub_227fd56641,pub_328cdbeabc,pub_86cd2c5ec0,pub_890299c726,pub_ad5a7268e5,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_d3c970567f,pub_d68ed8c8cf,pub_f59e3c846a","pub_04794d6d09,pub_0d412f4721,pub_2c76a46f18,pub_2e9f2dbea9,pub_457a2adba4,pub_51c0693f9c,pub_5472c4b438,pub_58e30f4932,pub_5a68dc5665,pub_a9266a9412,pub_af0c74798c,pub_cd72e4a7bb,pub_e4bbba9576,pub_f5d1922154",2.49190381081771,2.526635742247682,2.1377004613020363,2.2943151683010914,True,True,True,True,14,0.9116347324039931
2,"pub_0d412f4721,pub_227fd56641,pub_2c76a46f18,pub_2e9f2dbea9,pub_328cdbeabc,pub_890299c726,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_b4273fb42a,pub_bef16e560c,pub_cd72e4a7bb,pub_f5d1922154","pub_04794d6d09,pub_09a5fc4a7d,pub_1605e436d7,pub_457a2adba4,pub_51c0693f9c,pub_5472c4b438,pub_58e30f4932,pub_5a68dc5665,pub_86cd2c5ec0,pub_be51bfd47a,pub_d3c970567f,pub_d68ed8c8cf,pub_e4bbba9576,pub_f59e3c846a",3.2883711335517436,1.8732848168391207,2.742171198265908,1.8509352937709775,True,True,True,True,14,0.9085112884233785
3,"pub_09a5fc4a7d,pub_0d412f4721,pub_1605e436d7,pub_2c76a46f18,pub_2e9f2dbea9,pub_457a2adba4,pub_51c0693f9c,pub_58e30f4932,pub_86cd2c5ec0,pub_af0c74798c,pub_cd72e4a7bb,pub_e4bbba9576,pub_f5d1922154","pub_04794d6d09,pub_227fd56641,pub_328cdbeabc,pub_5472c4b438,pub_5a68dc5665,pub_890299c726,pub_a9266a9412,pub_ad5a7268e5,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_d3c970567f,pub_d68ed8c8cf,pub_f59e3c846a",2.200755541476738,3.3055251040705413,2.234498209031079,1.3781776736553977,True,True,True,True,14,0.9112153515912474
4,"pub_1605e436d7,pub_2c76a46f18,pub_2e9f2dbea9,pub_328cdbeabc,pub_457a2adba4,pub_58e30f4932,pub_86cd2c5ec0,pub_890299c726,pub_bef16e560c,pub_cd72e4a7bb,pub_d3c970567f,pub_d68ed8c8cf,pub_f5d1922154","pub_04794d6d09,pub_09a5fc4a7d,pub_0d412f4721,pub_227fd56641,pub_51c0693f9c,pub_5472c4b438,pub_5a68dc5665,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_b4273fb42a,pub_be51bfd47a,pub_e4bbba9576,pub_f59e3c846a",2.4295411469003643,2.9048681689271416,2.2702184063082096,1.8417866205042517,True,True,True,True,14,0.9111430586021295
5,"pub_09a5fc4a7d,pub_0d412f4721,pub_1605e436d7,pub_2e9f2dbea9,pub_457a2adba4,pub_5472c4b438,pub_86cd2c5ec0,pub_890299c726,pub_ad5a7268e5,pub_af0c74798c,pub_be51bfd47a,pub_cd72e4a7bb,pub_d68ed8c8cf","pub_04794d6d09,pub_227fd56641,pub_2c76a46f18,pub_328cdbeabc,pub_51c0693f9c,pub_58e30f4932,pub_5a68dc5665,pub_a9266a9412,pub_b4273fb42a,pub_bef16e560c,pub_d3c970567f,pub_e4bbba9576,pub_f59e3c846a,pub_f5d1922154",2.5494367260711805,2.559404924864061,2.184916792103169,2.3103220773215387,True,True,True,True,14,0.9063327196195564
6,"pub_04794d6d09,pub_1605e436d7,pub_227fd56641,pub_457a2adba4,pub_51c0693f9c,pub_86cd2c5ec0,pub_890299c726,pub_ad5a7268e5,pub_af0c74798c,pub_b4273fb42a,pub_be51bfd47a,pub_d3c970567f,pub_d68ed8c8cf","pub_09a5fc4a7d,pub_0d412f4721,pub_2c76a46f18,pub_2e9f2dbea9,pub_328cdbeabc,pub_5472c4b438,pub_58e30f4932,pub_5a68dc5665,pub_a9266a9412,pub_bef16e560c,pub_cd72e4a7bb,pub_e4bbba9576,pub_f59e3c846a,pub_f5d1922154",2.4078495746573285,2.6593234668054535,2.1011923292734473,2.281088359989592,True,True,True,True,14,0.9455631322371084
7,"pub_227fd56641,pub_2c76a46f18,pub_51c0693f9c,pub_58e30f4932,pub_5a68dc5665,pub_890299c726,pub_ad5a7268e5,pub_af0c74798c,pub_b4273fb42a,pub_cd72e4a7bb,pub_d68ed8c8cf,pub_e4bbba9576,pub_f5d1922154","pub_04794d6d09,pub_09a5fc4a7d,pub_0d412f4721,pub_1605e436d7,pub_2e9f2dbea9,pub_328cdbeabc,pub_457a2adba4,pub_5472c4b438,pub_86cd2c5ec0,pub_a9266a9412,pub_be51bfd47a,pub_bef16e560c,pub_d3c970567f,pub_f59e3c846a",3.1205243553263133,1.9761345298754562,2.771789251503761,1.8312234794731208,True,True,True,True,14,0.891175570188543
8,"pub_04794d6d09,pub_09a5fc4a7d,pub_328cdbeabc,pub_457a2adba4,pub_51c0693f9c,pub_5472c4b438,pub_86cd2c5ec0,pub_890299c726,pub_a9266a9412,pub_b4273fb42a,pub_cd72e4a7bb,pub_d3c970567f,pub_e4bbba9576","pub_0d412f4721,pub_1605e436d7,pub_227fd56641,pub_2c76a46f18,pub_2e9f2dbea9,pub_58e30f4932,pub_5a68dc5665,pub_ad5a7268e5,pub_af0c74798c,pub_be51bfd47a,pub_bef16e560c,pub_d68ed8c8cf,pub_f59e3c846a,pub_f5d1922154",2.5187752345920607,2.319420373196031,2.2654029517519154,2.0322922160658563,True,True,True,True,12,0.9610227573958305
9,"pub_04794d6d09,pub_09a5fc4a7d,pub_227fd56641,pub_457a2adba4,pub_5472c4b438,pub_58e30f4932,pub_86cd2c5ec0,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_cd72e4a7bb,pub_d3c970567f,pub_d68ed8c8cf","pub_0d412f4721,pub_1605e436d7,pub_2c76a46f18,pub_2e9f2dbea9,pub_328cdbeabc,pub_51c0693f9c,pub_5a68dc5665,pub_890299c726,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_e4bbba9576,pub_f59e3c846a,pub_f5d1922154",1.503714954780672,2.974786660113058,1.787110501040557,2.1072577602997367,True,True,True,True,14,0.961863962950851
