# regime: cohort=E1 records of sys_81e3169a7f85c2b9, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_0a8da089ad,pub_af0c74798c","pub_51c0693f9c,pub_b9dfc468cd",2.445058002393699,3.0,3.1830511006763937,2.0,True,True,False,False,7,0.9427625277245881
1,"pub_af0c74798c,pub_b9dfc468cd","pub_0a8da089ad,pub_51c0693f9c",3.0,2.443909442648465,2.0,3.1824787052195287,True,True,False,False,7,0.7986628934980914
2,"pub_51c0693f9c,pub_b9dfc468cd","pub_0a8da089ad,pub_af0c74798c",3.0,2.445058002393699,2.0,3.1830511006763937,True,True,False,False,7,0.942762527724588
3,"pub_51c0693f9c,pub_af0c74798c","pub_0a8da089ad,pub_b9dfc468cd",3.0,2.4232353817347074,2.0,3.154258482329306,True,True,False,False,3,0.999820947400073
4,"pub_0a8da089ad,pub_b9dfc468cd","pub_51c0693f9c,pub_af0c74798c",2.4232353817347074,3.0,3.154258482329306,2.0,True,True,False,False,3,0.9998209474000731
5,"pub_51c0693f9c,pub_b9dfc468cd","pub_0a8da089ad,pub_af0c74798c",3.0,2.445058002393699,2.0,3.1830511006763937,True,True,False,False,7,0.942762527724588
6,"pub_0a8da089ad,pub_af0c74798c","pub_51c0693f9c,pub_b9dfc468cd",2.445058002393699,3.0,3.1830511006763937,2.0,True,True,False,False,7,0.9427625277245881
7,"pub_0a8da089ad,pub_b9dfc468cd","pub_51c0693f9c,pub_af0c74798c",2.4232353817347074,3.0,3.154258482329306,2.0,True,True,False,False,3,0.9998209474000731
8,"pub_0a8da089ad,pub_b9dfc468cd","pub_51c0693f9c,pub_af0c74798c",2.4232353817347074,3.0,3.154258482329306,2.0,True,True,False,False,3,0.9998209474000731
9,"pub_0a8da089ad,pub_b9dfc468cd","pub_51c0693f9c,pub_af0c74798c",2.4232353817347074,3.0,3.154258482329306,2.0,True,True,False,False,3,0.9998209474000731
10,"pub_51c0693f9c,pub_b9dfc468cd","pub_0a8da089ad,pub_af0c74798c",3.0,2.445058002393699,2.0,3.1830511006763937,True,True,False,False,7,0.942762527724588
11,"pub_51c0693f9c,pub_b9dfc468cd","pub_0a8da089ad,pub_af0c74798c",3.0,2.445058002393699,2.0,3.1830511006763937,True,True,False,False,7,0.942762527724588
12,"pub_0a8da089ad,pub_b9dfc468cd","pub_51c0693f9c,pub_af0c74798c",2.4232353817347074,3.0,3.154258482329306,2.0,True,True,False,False,3,0.9998209474000731
13,"pub_0a8da089ad,pub_af0c74798c","pub_51c0693f9c,pub_b9dfc468cd",2.445058002393699,3.0,3.1830511006763937,2.0,True,True,False,False,7,0.9427625277245881
14,"pub_0a8da089ad,pub_af0c74798c","pub_51c0693f9c,pub_b9dfc468cd",2.445058002393699,3.0,3.1830511006763937,2.0,True,True,False,False,7,0.9427625277245881
15,"pub_0a8da089ad,pub_51c0693f9c","pub_af0c74798c,pub_b9dfc468cd",2.443909442648465,3.0,3.1824787052195287,2.0,True,True,False,False,7,0.7986628934980915
16,"pub_0a8da089ad,pub_51c0693f9c","pub_af0c74798c,pub_b9dfc468cd",2.443909442648465,3.0,3.1824787052195287,2.0,True,True,False,False,7,0.7986628934980915
17,"pub_0a8da089ad,pub_51c0693f9c","pub_af0c74798c,pub_b9dfc468cd",2.443909442648465,3.0,3.1824787052195287,2.0,True,True,False,False,7,0.7986628934980915
18,"pub_51c0693f9c,pub_b9dfc468cd","pub_0a8da089ad,pub_af0c74798c",3.0,2.445058002393699,2.0,3.1830511006763937,True,True,False,False,7,0.942762527724588
19,"pub_51c0693f9c,pub_b9dfc468cd","pub_0a8da089ad,pub_af0c74798c",3.0,2.445058002393699,2.0,3.1830511006763937,True,True,False,False,7,0.942762527724588
