# regime: cohort=database systems with medium.anion == nitrate; holdout=none; averaging_unit=system x consistency cell; status_of_parameters=see systems_summary.csv
family,system_id,subset,purity_min,recovery_min,reachable,n_feasible,n_stages_total,consumption_index,regime_status,flags
diglycolamide,sys_07ee9637c98c1e20,all,0.97,0.85,False,0,,,,
diglycolamide,sys_07ee9637c98c1e20,in_domain_only,0.97,0.85,False,0,,,,
diglycolamide,sys_1419f400c83e9ad8,all,0.97,0.85,False,0,,,,
diglycolamide,sys_1419f400c83e9ad8,in_domain_only,0.97,0.85,False,0,,,,
other,sys_50088af14793f41f,all,0.97,0.85,False,0,,,,
other,sys_50088af14793f41f,in_domain_only,0.97,0.85,False,0,,,,
diglycolamide,sys_5cb78e5000d40860,all,0.97,0.85,False,0,,,,
diglycolamide,sys_5cb78e5000d40860,in_domain_only,0.97,0.85,False,0,,,,
diglycolamide,sys_a2a472b5124b09c6,all,0.97,0.85,True,1,21.0,263.0709799609268,IN_DOMAIN_WITH_CAVEATS,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|PHASE_BEHAVIOUR_UNKNOWN
diglycolamide,sys_a2a472b5124b09c6,in_domain_only,0.97,0.85,True,1,21.0,263.0709799609268,IN_DOMAIN_WITH_CAVEATS,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|PHASE_BEHAVIOUR_UNKNOWN
other,sys_a6ca4cd427ac7fcd,all,0.97,0.85,False,0,,,,
other,sys_a6ca4cd427ac7fcd,in_domain_only,0.97,0.85,False,0,,,,
other,sys_d93f24ac2fbe9b76,all,0.97,0.85,False,0,,,,
other,sys_d93f24ac2fbe9b76,in_domain_only,0.97,0.85,False,0,,,,
other,sys_edd93a49877e0b03,all,0.97,0.85,False,0,,,,
other,sys_edd93a49877e0b03,in_domain_only,0.97,0.85,False,0,,,,
diglycolamide,sys_f58e3a596f8d50f9,all,0.97,0.85,True,1,26.0,309.30187052082,OUT_OF_DOMAIN,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN
diglycolamide,sys_f58e3a596f8d50f9,in_domain_only,0.97,0.85,False,0,,,,
n_donor,sys_fbff75db47e9b852,all,0.97,0.85,False,0,,,,
n_donor,sys_fbff75db47e9b852,in_domain_only,0.97,0.85,False,0,,,,
