column,source,schema_section,schema_role,schema_role_basis,in_PROVENANCE_COLUMNS,dtype,list_valued,non_null,non_empty_lists,n_empty_string,n_filled_all,n_filled_model,fill_fraction_all,fill_fraction_model,n_unique,schema_md_dtype,schema_md_nonnull,nonnull_matches_schema_md
canonical_measurement_id,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,16770,str,16770,True
source_record_id,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,16770,str,16770,True
raw_row_ids,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,16770,0,16770,12411,1,1,16770,object,16770,True
export_source_files,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,16770,0,16770,12411,1,1,967,object,16770,True
export_metals_queried,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,16770,0,16770,12411,1,1,967,object,16770,True
export_fanout_size,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,int64,False,16770,,0,16770,12411,1,1,12,int64,16770,True
representative_raw_row_id,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,16770,str,16770,True
source_file,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,32,str,16770,True
source_line_number,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,int64,False,16770,,0,16770,12411,1,1,5811,int64,16770,True
doi_primary,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,134,str,15615,True
doi_source_all,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,15615,0,15615,11289,0.931127,0.909596,166,object,16770,True
doi_all,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,16719,0,16719,12385,0.996959,0.997905,173,object,16770,True
archive_citation_doi,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,9446,,0,9446,7819,0.563268,0.630006,1,str,9446,True
has_source_reference,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,bool,False,16770,,0,16770,12411,1,1,1,bool,16770,True
reference_other,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,1240,0,1240,1207,0.0739416,0.0972524,4,object,16770,True
entry_author,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,4,str,16770,True
addition_date,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,1139,str,16770,True
publication_year,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,5738,,0,5738,5494,0.342159,0.442672,19,str,5738,True
publication_title,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,5738,,0,5738,5494,0.342159,0.442672,35,str,5738,True
publication_authors,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,5738,,0,5738,5494,0.342159,0.442672,35,str,5738,True
data_location,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,5738,,0,5738,5494,0.342159,0.442672,42,str,5738,True
sub_source_file,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,1104,,0,1104,1096,0.0658318,0.0883088,95,str,1104,True
comments_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15710,,0,15710,11507,0.936792,0.927161,1143,str,15710,True
ini_comp_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,2749,str,16770,True
reference_title,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,132,str,15615,True
reference_year,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,float64,False,15615,,0,15615,11289,0.931127,0.909596,29,float64,15615,True
reference_journal,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,42,str,15615,True
reference_authors,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,126,str,15615,True
reference_publisher,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,14,str,15615,True
reference_url,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,132,str,15615,True
reference_metadata_source,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,1,str,15615,True
doi_primary_corrected,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15615,,0,15615,11289,0.931127,0.909596,132,str,15615,True
doi_correction_rule,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,2690,,0,2690,1883,0.160405,0.15172,2,str,2690,True
doi_correction_evidence,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,2690,,0,2690,1883,0.160405,0.15172,2,str,2690,True
aqueous_phase_metals_declared,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,1082,,0,1082,864,0.06452,0.0696157,23,str,1082,True
n_metals_declared,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,5738,,0,5738,5494,0.342159,0.442672,11,str,5738,True
n_extractants_declared,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,5738,,0,5738,5494,0.342159,0.442672,2,str,5738,True
extractant_name_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16544,,0,16544,12411,0.986524,1,323,str,16544,True
extractant_smiles_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15067,,0,15067,11941,0.89845,0.96213,264,str,15067,True
solvent_name_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,96,str,16770,True
acid_name_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16769,,0,16769,12411,0.99994,1,9,str,16769,True
modifier_name_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,797,,0,797,616,0.0475253,0.0496334,11,str,797,True
modifier_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,792,,0,792,611,0.0472272,0.0492305,49,str,792,True
acid_concentration_organic_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,1962,,0,1962,76,0.116995,0.0061236,1547,str,1962,True
phase_ratio_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,8153,,0,8153,7303,0.486166,0.58843,4,str,8153,True
complexant_name_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,991,,0,991,807,0.0590936,0.065023,15,str,991,True
complexant_smiles_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,991,,0,991,807,0.0590936,0.065023,16,str,991,True
complexant_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,991,,0,991,807,0.0590936,0.065023,90,str,991,True
holdback_smiles_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,327,,0,327,322,0.0194991,0.0259447,17,str,327,True
holdback_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,1072,,0,1072,1065,0.0639237,0.085811,12,str,1072,True
nitrate_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,1104,,0,1104,1096,0.0658318,0.0883088,119,str,1104,True
extractant_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16536,,0,16536,12411,0.986047,1,1691,str,16536,True
acid_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16592,,0,16592,12411,0.989386,1,3186,str,16592,True
metal_concentration_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,7412,,0,7412,6913,0.44198,0.557006,353,str,7412,True
temperature_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,15641,,0,15641,11663,0.932677,0.939731,28,str,15641,True
contact_time_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,9488,,0,9488,8446,0.565772,0.680525,98,str,9488,True
shaking_time_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,2883,,0,2883,2264,0.171914,0.182419,14,str,2883,True
metal_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,14852,,0,14852,12411,0.885629,1,41,str,14852,True
metal_oxidation_state_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,13468,,0,13468,11033,0.803101,0.888969,6,str,13468,True
D_raw,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,14622,,0,14622,12411,0.871914,1,9947,str,14622,True
duplicate_group_id,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,13828,str,16770,True
duplicate_class,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,6,str,16770,True
duplicate_class_reason,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,304,str,16770,True
duplicate_group_size,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,int64,False,16770,,0,16770,12411,1,1,18,int64,16770,True
group_representative_id,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,13828,str,16770,True
is_canonical_row,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,bool,False,16770,,0,16770,12411,1,1,2,bool,16770,True
identity_hash,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,str,False,16770,,0,16770,12411,1,1,13828,str,16770,True
flags,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,6036,0,6036,3073,0.359928,0.247603,13,object,16770,True
rdkit_parse_failures,archive,Provenance (never a feature),provenance,schema.md section: Provenance (never a feature),True,object,True,16770,0,0,0,0,0,0,0,object,16770,True
components,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16544,0,16544,12411,0.986524,1,2851,object,16770,True
system_component_class,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16770,,0,16770,12411,1,1,5,str,16770,True
n_chemically_active_components,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,int64,False,16770,,0,16770,12411,1,1,4,int64,16770,True
n_organic_extractants,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,int64,False,16770,,0,16770,12411,1,1,3,int64,16770,True
extractant_system_key,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16544,,0,16544,12411,0.986524,1,262,str,16544,True
extractant_names,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16544,0,16544,12411,0.986524,1,322,object,16770,True
extractant_smiles_canonical,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16544,0,16544,12411,0.986524,1,264,object,16770,True
extractant_concentrations_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16544,0,16544,12411,0.986524,1,1692,object,16770,True
extractant_primary_smiles,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16544,,0,16544,12411,0.986524,1,246,str,16544,True
extractant_primary_name,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16544,,0,16544,12411,0.986524,1,284,str,16544,True
