design,unit,weight,half
V1,REMAINDER,309,S
V1,pub_007f4c9de0,35,C
V1,pub_04794d6d09,824,C
V1,pub_0884e38fbe,155,S
V1,pub_0a8da089ad,186,S
V1,pub_0af6736cb1,262,S
V1,pub_0c3788daa5,33,C
V1,pub_0d412f4721,20,S
V1,pub_0ddbd861aa,91,S
V1,pub_0e7f3e0563,34,S
V1,pub_0fd6ab4e40,29,C
V1,pub_10aec04d23,67,C
V1,pub_1605e436d7,180,C
V1,pub_1927dff570,20,C
V1,pub_19783c039b,280,S
V1,pub_1b7737c507,261,C
V1,pub_1bd76c48d9,54,S
V1,pub_1c1b558856,82,C
V1,pub_1d18e32c4e,121,C
V1,pub_1e6fec5c25,22,C
V1,pub_227fd56641,21,S
V1,pub_22a136e9b9,24,S
V1,pub_2319535dff,141,S
V1,pub_23f10a0918,269,C
V1,pub_2c76a46f18,71,S
V1,pub_2e9f2dbea9,76,S
V1,pub_328cdbeabc,24,S
V1,pub_357f5739d1,35,S
V1,pub_37086f6378,570,S
V1,pub_3e0f6bb1b5,28,C
V1,pub_3f3b6220e0,56,S
V1,pub_3f5f7ed71e,24,S
V1,pub_40c355ae86,24,C
V1,pub_44555064e1,55,S
V1,pub_457a2adba4,32,C
V1,pub_45b8fb22e7,152,S
V1,pub_4829d176ba,20,C
V1,pub_4a1871d85d,114,S
V1,pub_4cba27f5f3,234,S
V1,pub_4f42448406,81,C
V1,pub_515c63b970,90,C
V1,pub_51c0693f9c,153,C
V1,pub_51ddfefa0c,96,C
V1,pub_5472c4b438,192,S
V1,pub_56338b6e47,192,C
V1,pub_58ab6ca575,55,C
V1,pub_5a68dc5665,983,C
V1,pub_63013e43b6,48,C
V1,pub_691fc07992,75,C
V1,pub_6a0ef8528c,194,C
V1,pub_6b0ea2ccc9,87,S
V1,pub_6c8ed9481c,40,S
V1,pub_74428aeab2,28,S
V1,pub_7730cdd232,59,C
V1,pub_7bbf4ac140,82,S
V1,pub_7ea442645f,22,C
V1,pub_82ea565ea6,20,S
V1,pub_8415538291,140,S
V1,pub_86cd2c5ec0,36,C
V1,pub_890299c726,95,S
V1,pub_8a081dc888,47,S
V1,pub_8dafaf94bc,63,S
V1,pub_917a4583d4,27,S
V1,pub_92d20246e9,26,C
V1,pub_92fd5bea1e,108,S
V1,pub_97510df3a0,21,S
V1,pub_9a3afbee00,39,C
V1,pub_9a95bb9836,110,C
V1,pub_9aa4ce6c0c,60,C
V1,pub_a470dfb784,40,S
V1,pub_a49146c8fd,51,C
V1,pub_a6126dc686,60,S
V1,pub_a671b3a07d,140,C
V1,pub_a9266a9412,50,S
V1,pub_ab5ae597b9,37,S
V1,pub_ad5a7268e5,133,S
V1,pub_aed382b25f,36,C
V1,pub_b048b54fa9,93,C
V1,pub_b0b3296ec5,253,S
V1,pub_b155314682,35,S
V1,pub_b4273fb42a,60,S
V1,pub_b5aedd0cc1,37,S
V1,pub_b62729e38f,53,C
V1,pub_b92b9c1ebe,208,S
V1,pub_b9dfc468cd,237,C
V1,pub_bdb1564c49,134,C
V1,pub_bef16e560c,50,C
V1,pub_c8195b4ca7,216,C
V1,pub_c929bc0daa,31,S
V1,pub_ca616a18dd,28,C
V1,pub_ca7dd9b99d,303,C
V1,pub_cd72e4a7bb,147,C
V1,pub_cdc2243314,94,S
V1,pub_d3c970567f,31,S
V1,pub_d59c40b453,37,C
V1,pub_dfa96a5118,42,C
V1,pub_e287124c22,1096,S
V1,pub_e4bbba9576,95,C
V1,pub_e4dd361427,20,C
V1,pub_e9799b75f3,56,C
V1,pub_f59e3c846a,40,C
V1,pub_f5d1922154,50,S
V1,pub_f8a621ede4,61,C
V1,pub_fdc02269b7,53,S
V5_system,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0,S
V5_system,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,3,S
V5_system,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0,S
