extractant_system_key,system_label,system_family,mechanism,brief_expert,n_organic_extractants,n_model_rows,n_model_rows_known_state,n_metal_states,n_metal_states_ge5_rows,n_elements_any_state,n_ln_iii_states,n_actinide_rows,n_lanthanide_rows,n_publications,n_publication_groups_primary_source_doi,n_acids,acids,measured_in_one_publication_only,metal_states,has_name_structure_conflict,n_model_rows_acidic_coextractant_modifier,n_rows_other_systems_sharing_a_component,n_rows_other_systems_sharing_a_parent_structure,v3_eligible__rows20_states3_members1,v3_eligible__rows20_states3_members2,v3_eligible__rows20_states3_members3,v3_eligible__rows20_states5_members1,v3_eligible__rows20_states5_members2,v3_eligible__rows20_states5_members3,v3_eligible__rows50_states3_members1,v3_eligible__rows50_states3_members2,v3_eligible__rows50_states3_members3,v3_eligible__rows50_states5_members1,v3_eligible__rows50_states5_members2,v3_eligible__rows50_states5_members3,v3_eligible__rows100_states3_members1,v3_eligible__rows100_states3_members2,v3_eligible__rows100_states3_members3,v3_eligible__rows100_states5_members1,v3_eligible__rows100_states5_members2,v3_eligible__rows100_states5_members3,n_rows_known_state,n_condition_keys,n_condition_keys_with_ge2_metal_states,fraction_rows_in_shared_condition_groups,n_state_condition_keys_with_ge2_publications,n_condition_keys_nm,n_condition_keys_with_ge2_metal_states_nm,fraction_rows_in_shared_condition_groups_nm,n_state_condition_keys_with_ge2_publications_nm
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,TODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,3066,2491,37,34,34,14,945,1758,53,53,8,H2SO4|HCl|HClO4|HNO3|citric_acid|lactic_acid|malonic_acid|tartaric_acid,False,Ca(II)|Sr(II)|Sr(III)|Y(III)|Zr(IV)|Tc(VII)|Pd(II)|Pd(IV)|Cd(II)|In(III)|Ba(II)|La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Hf(IV)|Pb(II)|Bi(III)|Th(IV)|U(IV)|U(VI)|Np(V)|Pu(IV)|Pu(VI)|Am(III)|Cm(III)|Cf(III),False,4,358,358,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2491,1289,370,0.621437,0,1125,382,0.689281,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,TEHDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,520,216,21,7,25,14,254,184,22,22,3,H2SO4|HCl|HNO3,False,Sr(II)|Ba(II)|La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Th(IV)|U(VI)|Np(V)|Pu(IV)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,216,166,7,0.263889,0,165,7,0.268519,0
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,462,299,15,14,15,14,1,461,7,7,2,HCl|HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,299,49,43,0.979933,0,49,43,0.979933,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,DEHiBA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,451,451,11,11,6,0,451,0,16,16,1,HNO3,False,Th(IV)|Pa(V)|U(VI)|Np(IV)|Np(V)|Np(VI)|Pu(III)|Pu(IV)|Pu(VI)|Am(III)|Am(VI),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,451,364,34,0.172949,1,268,57,0.399113,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,DEHBA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,447,447,10,10,5,0,447,0,8,7,1,HNO3,False,Th(IV)|U(VI)|Np(IV)|Np(V)|Np(VI)|Pu(III)|Pu(IV)|Pu(VI)|Am(III)|Am(VI),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,447,424,15,0.0693512,0,291,27,0.178971,0
CCCCCCCC(=O)N(CCCCCC)CCCCCC,DHOA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,446,446,10,10,5,0,446,0,10,9,1,HNO3,False,Th(IV)|U(VI)|Np(IV)|Np(V)|Np(VI)|Pu(III)|Pu(IV)|Pu(VI)|Am(III)|Am(VI),False,0,77,77,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,446,381,27,0.174888,0,242,51,0.473094,1
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,381,287,18,15,18,10,139,240,9,9,2,HCl|HNO3,False,Sr(II)|Ba(II)|La(III)|Ce(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Er(III)|Lu(III)|Th(IV)|U(VI)|Np(IV)|Np(V)|Pu(IV)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,287,192,44,0.480836,0,183,46,0.519164,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,368,367,20,18,20,14,101,267,6,6,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Th(IV)|U(VI)|Np(V)|Pu(IV)|Am(III)|Cm(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,367,176,43,0.632153,0,160,29,0.637602,0
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,348,348,13,13,13,13,0,348,3,3,2,HClO4|HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Yb(III)|Lu(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,348,48,16,0.594828,0,48,16,0.594828,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,216,216,15,6,15,15,0,216,1,1,3,H2SO4|HCl|HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Pm(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,216,95,20,0.652778,0,95,20,0.652778,0
