unit,region_fraction_of_log_range,min_rows_inside_and_outside,variable,n_units_top,n_units_bottom,n_units_either,n_distinct_systems_either
system,0.1,5,acid_M,61,31,64,64
system,0.1,5,extractant_M,38,27,49,49
system,0.1,5,metal_M,26,29,32,32
system,0.1,10,acid_M,32,17,35,35
system,0.1,10,extractant_M,20,14,26,26
system,0.1,10,metal_M,12,22,26,26
system,0.1,20,acid_M,13,8,16,16
system,0.1,20,extractant_M,10,6,13,13
system,0.1,20,metal_M,7,11,12,12
system,0.2,5,acid_M,85,34,88,88
system,0.2,5,extractant_M,50,33,56,56
system,0.2,5,metal_M,30,31,34,34
system,0.2,10,acid_M,54,21,56,56
system,0.2,10,extractant_M,27,19,33,33
system,0.2,10,metal_M,17,23,27,27
system,0.2,20,acid_M,25,9,27,27
system,0.2,20,extractant_M,16,12,22,22
system,0.2,20,metal_M,11,11,14,14
system,0.3,5,acid_M,84,37,85,85
system,0.3,5,extractant_M,53,41,59,59
system,0.3,5,metal_M,31,31,34,34
system,0.3,10,acid_M,51,26,53,53
system,0.3,10,extractant_M,30,22,33,33
system,0.3,10,metal_M,20,22,28,28
system,0.3,20,acid_M,25,11,26,26
system,0.3,20,extractant_M,21,11,23,23
system,0.3,20,metal_M,11,10,12,12
system_x_acid,0.1,5,acid_M,70,37,73,64
system_x_acid,0.1,5,extractant_M,37,28,49,48
system_x_acid,0.1,5,metal_M,27,30,33,32
system_x_acid,0.1,10,acid_M,39,19,43,35
system_x_acid,0.1,10,extractant_M,19,14,26,25
system_x_acid,0.1,10,metal_M,13,23,27,26
system_x_acid,0.1,20,acid_M,14,8,17,17
system_x_acid,0.1,20,extractant_M,9,6,13,13
system_x_acid,0.1,20,metal_M,8,12,13,13
system_x_acid,0.2,5,acid_M,93,41,97,87
system_x_acid,0.2,5,extractant_M,51,34,57,55
system_x_acid,0.2,5,metal_M,31,32,35,34
system_x_acid,0.2,10,acid_M,61,24,65,55
system_x_acid,0.2,10,extractant_M,26,19,33,31
system_x_acid,0.2,10,metal_M,18,24,28,27
system_x_acid,0.2,20,acid_M,25,10,29,27
system_x_acid,0.2,20,extractant_M,16,12,23,22
system_x_acid,0.2,20,metal_M,12,12,15,14
system_x_acid,0.3,5,acid_M,92,43,94,84
system_x_acid,0.3,5,extractant_M,55,42,61,58
system_x_acid,0.3,5,metal_M,32,32,35,34
system_x_acid,0.3,10,acid_M,58,29,61,52
system_x_acid,0.3,10,extractant_M,30,21,33,31
system_x_acid,0.3,10,metal_M,21,23,29,28
system_x_acid,0.3,20,acid_M,25,12,27,26
system_x_acid,0.3,20,extractant_M,20,11,23,22
system_x_acid,0.3,20,metal_M,12,11,13,12
