sig_figs,key_type,key_id,id_a,id_b,pub_a,pub_b,log_D_a,log_D_b,tier_a,tier_b,duplicate_class_a,duplicate_class_b,same_publication,abs_delta_log_D,same_duplicate_group,both_ab_group,strict_key_equal,location_a,location_b,location_relation,digitiser_a,digitiser_b,both_canonical,both_model
3,base,k_eb2aabf95ecf,SAE:10297,SAE:10301,pub_6b0ea2ccc9,pub_6b0ea2ccc9,2.36912,2.36912,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,figs2,figs2,SAME_LOCATION,,,True,True
3,base,k_654dd8f2cd59,SAE:10464,SAE:10466,pub_ad5a7268e5,pub_ad5a7268e5,0.0559796,0.0559796,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,figs1,figs1,SAME_LOCATION,,,True,True
3,base,k_626dbf317574,SAE:10472,SAE:10473,pub_ad5a7268e5,pub_ad5a7268e5,-0.0381679,-0.0381679,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,figs1,figs1,SAME_LOCATION,,,True,True
3,base,k_cb060614eadc,SAE:10501,SAE:10515,pub_4cba27f5f3,pub_4cba27f5f3,-0.82,-0.82,MODEL,MODEL,E_VALUE_CONFLICT,E_VALUE_CONFLICT,True,0,True,False,True,tables15,tables15,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11108,SAE:11109,pub_5472c4b438,pub_5472c4b438,2.7215,2.7215,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11108,SAE:11110,pub_5472c4b438,pub_5472c4b438,2.7215,2.7215,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11108,SAE:11112,pub_5472c4b438,pub_5472c4b438,2.7215,2.7215,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11109,SAE:11110,pub_5472c4b438,pub_5472c4b438,2.7215,2.7215,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11109,SAE:11112,pub_5472c4b438,pub_5472c4b438,2.7215,2.7215,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11110,SAE:11112,pub_5472c4b438,pub_5472c4b438,2.7215,2.7215,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_d359bdf9eab6,SAE:11113,SAE:11114,pub_5472c4b438,pub_5472c4b438,2.71028,2.71028,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_11f82eb6c2b6,SAE:11115,SAE:11118,pub_5472c4b438,pub_5472c4b438,2.97944,2.97944,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
3,base,k_11f82eb6c2b6,SAE:11115,SAE:11122,pub_5472c4b438,pub_5472c4b438,2.97944,2.97944,MODEL,MODEL,UNIQUE,UNIQUE,True,0,False,False,True,fig2,fig2,SAME_LOCATION,,,True,True
