g19_publication_id,n_rows,n_model_rows,g19_publication_status,g19_publication_refs,corrected_publication_id,group_corrected_doi,n_publications_in_group_corrected_doi,n_model_rows_in_group_corrected_doi,n_edges_corrected_doi,group_primary_source_doi,n_publications_in_group_primary_source_doi,n_model_rows_in_group_primary_source_doi,n_edges_primary_source_doi,group_archive_duplicate_group,n_publications_in_group_archive_duplicate_group,n_model_rows_in_group_archive_duplicate_group,n_edges_archive_duplicate_group,group_cross_publication_copy,n_publications_in_group_cross_publication_copy,n_model_rows_in_group_cross_publication_copy,n_edges_cross_publication_copy,group_near_duplicate_key,n_publications_in_group_near_duplicate_key,n_model_rows_in_group_near_duplicate_key,n_edges_near_duplicate_key,group_compilation_doi,n_publications_in_group_compilation_doi,n_model_rows_in_group_compilation_doi,n_edges_compilation_doi
pub_007f4c9de0,70,35,DOI,10.1021/acssuschemeng.4c06166x | 10.1080/07366299.2023.2215833,pub_db0b60deca,pub_007f4c9de0,1,35,86,pub_007f4c9de0,1,35,168,pub_007f4c9de0,1,35,7,pub_007f4c9de0,1,35,93,pub_007f4c9de0,1,35,926,pub_007f4c9de0,36,2134,3028
pub_04794d6d09,34,34,DOI,10.1524/ract.2006.94.6.307,pub_04794d6d09,pub_04794d6d09,1,34,86,pub_04794d6d09,1,34,168,pub_04794d6d09,2,209,7,pub_04794d6d09,4,824,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_0773be699f,199,175,DOI,10.1081/sei-200066296,pub_0773be699f,pub_0773be699f,1,175,86,pub_0773be699f,1,175,168,pub_04794d6d09,2,209,7,pub_04794d6d09,4,824,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_07cea54708,12,12,REPORT,http://www.theses.fr/2019monts019,pub_07cea54708,pub_07cea54708,1,12,86,pub_07cea54708,1,12,168,pub_07cea54708,1,12,7,pub_07cea54708,1,12,93,pub_07cea54708,1,12,926,pub_07cea54708,1,12,3028
pub_0884e38fbe,155,155,DOI,10.1007/s10967-017-5248-4,pub_0884e38fbe,pub_0884e38fbe,1,155,86,pub_0884e38fbe,1,155,168,pub_0884e38fbe,1,155,7,pub_0884e38fbe,1,155,93,pub_0884e38fbe,1,155,926,pub_0884e38fbe,1,155,3028
pub_0971c140ff,26,0,DOI,10.1080/07366299.2011.539421,pub_0971c140ff,pub_0971c140ff,1,0,86,pub_0971c140ff,1,0,168,pub_0971c140ff,1,0,7,pub_0971c140ff,1,0,93,pub_0971c140ff,1,0,926,pub_0971c140ff,1,0,3028
pub_09a5fc4a7d,12,12,DOI,10.1016/j.hydromet.2017.03.005,pub_09a5fc4a7d,pub_09a5fc4a7d,1,12,86,pub_09a5fc4a7d,1,12,168,pub_09a5fc4a7d,1,12,7,pub_09a5fc4a7d,1,12,93,pub_09a5fc4a7d,1,12,926,pub_09a5fc4a7d,1,12,3028
pub_0a8da089ad,191,186,DOI,10.1007/s41365-017-0229-4,pub_0a8da089ad,pub_0a8da089ad,1,186,86,pub_0a8da089ad,1,186,168,pub_0a8da089ad,1,186,7,pub_0a8da089ad,1,186,93,pub_0a8da089ad,1,186,926,pub_0a8da089ad,1,186,3028
pub_0af6736cb1,59,59,DOI,10.1002/chem.201806161,pub_0af6736cb1,pub_0af6736cb1,1,59,86,pub_0af6736cb1,1,59,168,pub_0af6736cb1,2,262,7,pub_0af6736cb1,2,262,93,pub_0af6736cb1,2,262,926,pub_0af6736cb1,2,262,3028
pub_0b1c3d9401,44,0,DOI,10.1080/07366299.2019.1695560,pub_0b1c3d9401,pub_0b1c3d9401,1,0,86,pub_0b1c3d9401,1,0,168,pub_0b1c3d9401,1,0,7,pub_0b1c3d9401,1,0,93,pub_0b1c3d9401,1,0,926,pub_0b1c3d9401,1,0,3028
pub_0c3788daa5,38,33,DOI,10.1080/07366291003685383,pub_0c3788daa5,pub_0c3788daa5,1,33,86,pub_0c3788daa5,1,33,168,pub_0c3788daa5,1,33,7,pub_0c3788daa5,1,33,93,pub_0c3788daa5,1,33,926,pub_0c3788daa5,1,33,3028
pub_0d412f4721,20,20,DOI,10.1021/acs.jpcb.6b11222,pub_0d412f4721,pub_0d412f4721,1,20,86,pub_0d412f4721,1,20,168,pub_0d412f4721,1,20,7,pub_0d412f4721,1,20,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_0ddbd861aa,72,67,DOI,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,pub_376f57cafc,pub_0ddbd861aa,1,67,86,pub_0ddbd861aa,1,67,168,pub_0ddbd861aa,1,67,7,pub_0ddbd861aa,2,91,93,pub_0ddbd861aa,2,91,926,pub_007f4c9de0,36,2134,3028
pub_0e366d9257,3,3,DOI,10.1039/c4dt01489h,pub_0e366d9257,pub_0e366d9257,1,3,86,pub_0e366d9257,1,3,168,pub_0e366d9257,1,3,7,pub_0e366d9257,1,3,93,pub_0e366d9257,1,3,926,pub_0e366d9257,1,3,3028
pub_0e7f3e0563,64,33,DOI,10.1002/slct.202202610,pub_0e7f3e0563,pub_0e7f3e0563,2,34,86,pub_0e7f3e0563,2,34,168,pub_0e7f3e0563,2,34,7,pub_0e7f3e0563,2,34,93,pub_0e7f3e0563,2,34,926,pub_0e7f3e0563,2,34,3028
pub_0f30549d71,42,7,DOI,10.1021/ic3000526,pub_0f30549d71,pub_0f30549d71,1,7,86,pub_0f30549d71,1,7,168,pub_0f30549d71,1,7,7,pub_0f30549d71,1,7,93,pub_0f30549d71,1,7,926,pub_0f30549d71,1,7,3028
pub_0fd6ab4e40,29,29,DOI,10.1039/d0ra05182a,pub_0fd6ab4e40,pub_0fd6ab4e40,1,29,86,pub_0fd6ab4e40,1,29,168,pub_0fd6ab4e40,1,29,7,pub_0fd6ab4e40,1,29,93,pub_0fd6ab4e40,1,29,926,pub_0fd6ab4e40,1,29,3028
pub_10aec04d23,73,66,DOI,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100103812,pub_4ae24aeb54,pub_10aec04d23,1,66,86,pub_10aec04d23,2,67,168,pub_10aec04d23,2,67,7,pub_10aec04d23,2,67,93,pub_10aec04d23,2,67,926,pub_007f4c9de0,36,2134,3028
pub_126bbe7976,204,203,DOI,10.1021/acs.inorgchem.0c02861,pub_126bbe7976,pub_126bbe7976,1,203,86,pub_126bbe7976,1,203,168,pub_0af6736cb1,2,262,7,pub_0af6736cb1,2,262,93,pub_0af6736cb1,2,262,926,pub_0af6736cb1,2,262,3028
pub_13adc25944,13,4,DOI,10.1021/acssuschemeng.4c06166x | 10.1080/00268976.2014.902139,pub_06e87fd748,pub_13adc25944,1,4,86,pub_13adc25944,1,4,168,pub_13adc25944,1,4,7,pub_13adc25944,1,4,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_15b174237f,12,3,DOI,10.1039/c8nj01074a,pub_15b174237f,pub_15b174237f,1,3,86,pub_15b174237f,1,3,168,pub_15b174237f,1,3,7,pub_15b174237f,1,3,93,pub_15b174237f,1,3,926,pub_15b174237f,1,3,3028
pub_1605e436d7,180,180,DOI,10.1081/sei-200037727,pub_1605e436d7,pub_1605e436d7,1,180,86,pub_1605e436d7,1,180,168,pub_1605e436d7,1,180,7,pub_1605e436d7,1,180,93,pub_1605e436d7,1,180,926,pub_1605e436d7,1,180,3028
pub_1739bfaf95,16,16,DOI,10.1007/s10967-015-4101-x,pub_1739bfaf95,pub_1739bfaf95,1,16,86,pub_1739bfaf95,1,16,168,pub_1739bfaf95,1,16,7,pub_1739bfaf95,1,16,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_1845fd6492,14,14,DOI,10.1080/07366299.2011.539129,pub_1845fd6492,pub_1845fd6492,1,14,86,pub_1845fd6492,1,14,168,pub_1845fd6492,1,14,7,pub_1845fd6492,1,14,93,pub_1845fd6492,1,14,926,pub_1845fd6492,1,14,3028
pub_1927dff570,20,20,DOI,10.3923/jas.2010.1781.1786,pub_1927dff570,pub_1927dff570,1,20,86,pub_1927dff570,1,20,168,pub_1927dff570,1,20,7,pub_1927dff570,1,20,93,pub_1927dff570,1,20,926,pub_1927dff570,1,20,3028
pub_19783c039b,280,280,DOI,10.1007/s10967-020-07242-1,pub_19783c039b,pub_19783c039b,1,280,86,pub_19783c039b,1,280,168,pub_19783c039b,1,280,7,pub_19783c039b,1,280,93,pub_19783c039b,2,340,926,pub_19783c039b,2,340,3028
pub_1b7737c507,34,34,DOI,10.1021/acssuschemeng.4c06166x | 10.1524/ract.2001.89.7.447,pub_2a23858f76,pub_1b7737c507,1,34,86,pub_1b7737c507,1,34,168,pub_1b7737c507,1,34,7,pub_1b7737c507,7,261,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_1bd76c48d9,54,54,DOI,10.1080/07366290600762322,pub_1bd76c48d9,pub_1bd76c48d9,1,54,86,pub_1bd76c48d9,1,54,168,pub_1bd76c48d9,1,54,7,pub_1bd76c48d9,1,54,93,pub_1bd76c48d9,1,54,926,pub_1bd76c48d9,1,54,3028
pub_1c1b558856,88,82,DOI,10.1007/s10967-017-5614-2,pub_1c1b558856,pub_1c1b558856,1,82,86,pub_1c1b558856,1,82,168,pub_1c1b558856,1,82,7,pub_1c1b558856,1,82,93,pub_1c1b558856,1,82,926,pub_1c1b558856,1,82,3028
pub_1d18e32c4e,130,121,DOI,10.1016/j.hydromet.2014.12.019,pub_1d18e32c4e,pub_1d18e32c4e,1,121,86,pub_1d18e32c4e,1,121,168,pub_1d18e32c4e,1,121,7,pub_1d18e32c4e,1,121,93,pub_1d18e32c4e,1,121,926,pub_1d18e32c4e,1,121,3028
pub_1e6fec5c25,66,22,DOI,10.1007/bf02060871 | 10.1021/acssuschemeng.4c06166x,pub_9fb51e6c65,pub_1e6fec5c25,1,22,86,pub_1e6fec5c25,1,22,168,pub_1e6fec5c25,1,22,7,pub_1e6fec5c25,1,22,93,pub_1e6fec5c25,1,22,926,pub_007f4c9de0,36,2134,3028
pub_1fbf4eed87,1,1,DOI,09.12.20222237- | 10.1002/slct.202202610chemistryselect2022 | 7 | e202202610(1of11)©2022wiley-vchgmbhwileyvchfreitag,pub_0e7f3e0563,pub_0e7f3e0563,2,34,86,pub_0e7f3e0563,2,34,168,pub_0e7f3e0563,2,34,7,pub_0e7f3e0563,2,34,93,pub_0e7f3e0563,2,34,926,pub_0e7f3e0563,2,34,3028
pub_227fd56641,18,13,DOI,10.1007/s10967-012-1905-9,pub_227fd56641,pub_227fd56641,1,13,86,pub_227fd56641,1,13,168,pub_227fd56641,2,21,7,pub_227fd56641,2,21,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_22a136e9b9,54,24,DOI,10.1016/j.ica.2017.07.048,pub_22a136e9b9,pub_22a136e9b9,1,24,86,pub_22a136e9b9,1,24,168,pub_22a136e9b9,1,24,7,pub_22a136e9b9,1,24,93,pub_22a136e9b9,1,24,926,pub_22a136e9b9,1,24,3028
pub_2319535dff,276,141,DOI,10.1080/07366290701416000,pub_2319535dff,pub_2319535dff,1,141,86,pub_2319535dff,1,141,168,pub_2319535dff,1,141,7,pub_2319535dff,1,141,93,pub_2319535dff,1,141,926,pub_2319535dff,1,141,3028
pub_23f10a0918,184,184,DOI,10.1021/acssuschemeng.4c06166,pub_23f10a0918,pub_23f10a0918,2,269,86,pub_23f10a0918,2,269,168,pub_23f10a0918,2,269,7,pub_23f10a0918,2,269,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_286445e212,23,23,DOI,10.1021/acssuschemeng.4c06166x | 10.1081/sei-120004806,pub_4f8429f4d9,pub_286445e212,1,23,86,pub_286445e212,1,23,168,pub_286445e212,1,23,7,pub_1b7737c507,7,261,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_2bad7139d7,24,24,DOI,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,pub_690608a675,pub_2bad7139d7,1,24,86,pub_2bad7139d7,1,24,168,pub_2bad7139d7,1,24,7,pub_0ddbd861aa,2,91,93,pub_0ddbd861aa,2,91,926,pub_007f4c9de0,36,2134,3028
pub_2c5fe777f0,9,0,DOI,10.1016/j.jcis.2010.12.039,pub_2c5fe777f0,pub_2c5fe777f0,1,0,86,pub_2c5fe777f0,1,0,168,pub_2c5fe777f0,1,0,7,pub_2c5fe777f0,1,0,93,pub_2c5fe777f0,1,0,926,pub_2c5fe777f0,1,0,3028
pub_2c76a46f18,71,71,DOI,10.1080/18811248.2007.9711301,pub_2c76a46f18,pub_2c76a46f18,1,71,86,pub_2c76a46f18,1,71,168,pub_2c76a46f18,1,71,7,pub_2c76a46f18,1,71,93,pub_2c76a46f18,2,164,926,pub_2c76a46f18,2,164,3028
pub_2e9f2dbea9,155,70,DOI,10.1080/07366299.2012.700591,pub_2e9f2dbea9,pub_2e9f2dbea9,1,70,86,pub_2e9f2dbea9,1,70,168,pub_2e9f2dbea9,1,70,7,pub_2e9f2dbea9,2,76,93,pub_2e9f2dbea9,2,76,926,pub_2e9f2dbea9,2,76,3028
pub_30a5286662,3,3,DOI,10.1021/acs.inorgchem.0c03727,pub_30a5286662,pub_30a5286662,1,3,86,pub_30a5286662,1,3,168,pub_30a5286662,1,3,7,pub_30a5286662,1,3,93,pub_30a5286662,1,3,926,pub_30a5286662,1,3,3028
pub_328cdbeabc,24,24,DOI,10.1021/jacs.7b07318,pub_328cdbeabc,pub_328cdbeabc,1,24,86,pub_328cdbeabc,1,24,168,pub_328cdbeabc,1,24,7,pub_328cdbeabc,1,24,93,pub_328cdbeabc,1,24,926,pub_328cdbeabc,1,24,3028
pub_35772c50af,228,0,DOI,10.1016/j.proche.2012.10.026,pub_35772c50af,pub_35772c50af,1,0,86,pub_35772c50af,1,0,168,pub_35772c50af,1,0,7,pub_35772c50af,1,0,93,pub_35772c50af,1,0,926,pub_35772c50af,1,0,3028
pub_357f5739d1,127,35,DOI,10.1021/acs.inorgchem.9b03612,pub_357f5739d1,pub_357f5739d1,1,35,86,pub_357f5739d1,1,35,168,pub_357f5739d1,1,35,7,pub_357f5739d1,1,35,93,pub_357f5739d1,1,35,926,pub_357f5739d1,1,35,3028
pub_37086f6378,597,570,DOI,10.1016/j.hydromet.2020.105248,pub_37086f6378,pub_37086f6378,1,570,86,pub_37086f6378,1,570,168,pub_37086f6378,1,570,7,pub_37086f6378,1,570,93,pub_37086f6378,1,570,926,pub_37086f6378,1,570,3028
pub_392f966ef2,13,13,DOI,10.1557/proc-353-1293,pub_392f966ef2,pub_392f966ef2,1,13,86,pub_392f966ef2,1,13,168,pub_392f966ef2,1,13,7,pub_392f966ef2,1,13,93,pub_392f966ef2,1,13,926,pub_392f966ef2,1,13,3028
pub_3e0f6bb1b5,28,28,DOI,10.1039/c6ra08946a,pub_3e0f6bb1b5,pub_3e0f6bb1b5,1,28,86,pub_3e0f6bb1b5,1,28,168,pub_3e0f6bb1b5,1,28,7,pub_3e0f6bb1b5,1,28,93,pub_3e0f6bb1b5,1,28,926,pub_3e0f6bb1b5,1,28,3028
pub_3f3b6220e0,56,56,DOI,10.1039/c8dt03734e,pub_3f3b6220e0,pub_3f3b6220e0,1,56,86,pub_3f3b6220e0,1,56,168,pub_3f3b6220e0,1,56,7,pub_3f3b6220e0,1,56,93,pub_3f3b6220e0,1,56,926,pub_3f3b6220e0,1,56,3028
pub_3f5f7ed71e,29,24,DOI,10.1007/s10967-007-7238-4,pub_3f5f7ed71e,pub_3f5f7ed71e,1,24,86,pub_3f5f7ed71e,1,24,168,pub_3f5f7ed71e,1,24,7,pub_3f5f7ed71e,1,24,93,pub_3f5f7ed71e,1,24,926,pub_3f5f7ed71e,1,24,3028
pub_401a06b4b7,14,14,DOI,10.1080/07366290600761936,pub_401a06b4b7,pub_401a06b4b7,1,14,86,pub_401a06b4b7,1,14,168,pub_401a06b4b7,1,14,7,pub_401a06b4b7,1,14,93,pub_401a06b4b7,1,14,926,pub_401a06b4b7,1,14,3028
pub_40c355ae86,24,24,DOI,10.1080/07366290701285512,pub_40c355ae86,pub_40c355ae86,1,24,86,pub_40c355ae86,1,24,168,pub_40c355ae86,1,24,7,pub_40c355ae86,1,24,93,pub_40c355ae86,1,24,926,pub_40c355ae86,1,24,3028
pub_44555064e1,62,55,DOI,10.1021/acssuschemeng.4c06166x | 10.1080/01496398808075626,pub_d23326d46d,pub_44555064e1,1,55,86,pub_44555064e1,1,55,168,pub_44555064e1,1,55,7,pub_44555064e1,1,55,93,pub_44555064e1,1,55,926,pub_007f4c9de0,36,2134,3028
pub_457a2adba4,32,32,DOI,10.1080/07366299.2012.757160,pub_457a2adba4,pub_457a2adba4,1,32,86,pub_457a2adba4,1,32,168,pub_457a2adba4,1,32,7,pub_457a2adba4,1,32,93,pub_457a2adba4,1,32,926,pub_457a2adba4,1,32,3028
pub_45b8fb22e7,42,42,DOI,10.1021/acssuschemeng.4c06166x | 10.1080/01496390903183147,pub_fe06c4fbb6,pub_45b8fb22e7,1,42,86,pub_45b8fb22e7,1,42,168,pub_45b8fb22e7,1,42,7,pub_45b8fb22e7,2,152,93,pub_45b8fb22e7,2,152,926,pub_007f4c9de0,36,2134,3028
pub_4829d176ba,20,20,DOI,10.1016/j.hydromet.2018.07.005,pub_4829d176ba,pub_4829d176ba,1,20,86,pub_4829d176ba,1,20,168,pub_4829d176ba,1,20,7,pub_4829d176ba,1,20,93,pub_4829d176ba,1,20,926,pub_4829d176ba,1,20,3028
pub_4951086aba,1,1,DOI,10.1081/sei-100103812,pub_4951086aba,pub_4951086aba,1,1,86,pub_10aec04d23,2,67,168,pub_10aec04d23,2,67,7,pub_10aec04d23,2,67,93,pub_10aec04d23,2,67,926,pub_007f4c9de0,36,2134,3028
pub_4a1871d85d,94,47,DOI,10.1021/acssuschemeng.4c06166x | 10.13182/nt01-a3198,pub_f6be4ab7da,pub_4a1871d85d,1,47,86,pub_4a1871d85d,2,114,168,pub_4a1871d85d,2,114,7,pub_4a1871d85d,2,114,93,pub_4a1871d85d,2,114,926,pub_007f4c9de0,36,2134,3028
pub_4cba27f5f3,238,234,DOI,10.1039/d4gc01146e,pub_4cba27f5f3,pub_4cba27f5f3,1,234,86,pub_4cba27f5f3,1,234,168,pub_4cba27f5f3,1,234,7,pub_4cba27f5f3,1,234,93,pub_4cba27f5f3,1,234,926,pub_4cba27f5f3,1,234,3028
pub_4f42448406,81,81,DOI,10.1007/bf02038228 | 10.1021/acssuschemeng.4c06166x,pub_39a9dfe366,pub_4f42448406,1,81,86,pub_4f42448406,1,81,168,pub_4f42448406,1,81,7,pub_4f42448406,1,81,93,pub_4f42448406,1,81,926,pub_007f4c9de0,36,2134,3028
pub_4fb6e0c041,13,13,DOI,10.1080/01496395.2021.1970767,pub_4fb6e0c041,pub_4fb6e0c041,1,13,86,pub_4fb6e0c041,1,13,168,pub_4fb6e0c041,1,13,7,pub_4fb6e0c041,1,13,93,pub_4fb6e0c041,1,13,926,pub_4fb6e0c041,1,13,3028
pub_515c63b970,180,90,DOI,10.1039/c6nj02696f,pub_515c63b970,pub_515c63b970,1,90,86,pub_515c63b970,1,90,168,pub_515c63b970,1,90,7,pub_515c63b970,1,90,93,pub_515c63b970,1,90,926,pub_515c63b970,1,90,3028
pub_51c0693f9c,153,153,DOI,10.1080/07366290601169352,pub_51c0693f9c,pub_51c0693f9c,1,153,86,pub_51c0693f9c,1,153,168,pub_51c0693f9c,1,153,7,pub_51c0693f9c,1,153,93,pub_51c0693f9c,1,153,926,pub_51c0693f9c,1,153,3028
pub_51ddfefa0c,98,96,DOI,10.2298/jsc171109043h,pub_51ddfefa0c,pub_51ddfefa0c,1,96,86,pub_51ddfefa0c,1,96,168,pub_51ddfefa0c,1,96,7,pub_51ddfefa0c,1,96,93,pub_51ddfefa0c,1,96,926,pub_51ddfefa0c,1,96,3028
pub_5472c4b438,192,192,DOI,10.1080/07366290802672212,pub_5472c4b438,pub_5472c4b438,1,192,86,pub_5472c4b438,1,192,168,pub_5472c4b438,1,192,7,pub_5472c4b438,1,192,93,pub_5472c4b438,1,192,926,pub_5472c4b438,1,192,3028
pub_56338b6e47,192,192,DOI,10.1039/d2nj05663a,pub_56338b6e47,pub_56338b6e47,1,192,86,pub_56338b6e47,1,192,168,pub_56338b6e47,1,192,7,pub_56338b6e47,1,192,93,pub_56338b6e47,1,192,926,pub_56338b6e47,1,192,3028
pub_57ce0f7961,3,3,DOI,10.1080/01496395.2016.1165252,pub_57ce0f7961,pub_57ce0f7961,1,3,86,pub_57ce0f7961,1,3,168,pub_57ce0f7961,1,3,7,pub_57ce0f7961,1,3,93,pub_57ce0f7961,1,3,926,pub_57ce0f7961,1,3,3028
