extractant_system_key,system_id,system_label,pr_rows,pr_iii_rows,pr_unknown_ox_rows,nd_rows,nd_iii_rows,nd_unknown_ox_rows,publications_with_pr,publications_with_nd,publications_with_both,shared_condition_keys_same_publication,pr_rows_in_shared_keys,nd_rows_in_shared_keys,shared_condition_keys_same_publication_excl_metal_conc,n_other_ln,other_ln_present
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_a9ed8f70c7,TODGA,87,66,21,153,93,60,13,24,13,36,42,42,47,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sys_a13e6546cf,DMDODGA,21,21,0,94,22,72,3,6,3,17,19,19,17,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,sys_5a76327cbd,C5BTBP,16,16,0,16,16,0,2,2,2,16,16,16,16,11,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Yb|Lu
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sys_f419fc8708,DOODA (C12),14,14,0,14,14,0,1,1,1,13,14,14,13,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sys_1d7ecf493c,TDdDGA,12,12,0,38,37,1,1,3,1,12,12,12,12,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,sys_78a9063324,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,10,10,0,10,10,0,1,1,1,10,10,10,10,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_a87852c407,DMDOHEMA + TODGA,10,10,0,10,10,0,1,1,1,6,6,6,6,7,La|Ce|Sm|Eu|Gd|Tb|Dy
CCN(CC)C(=O)COCC(=O)N(CC)CC,sys_c24272fe7f,TEDGA,6,6,0,6,6,0,1,1,1,6,6,6,6,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,sys_24e3308d46,DMDPDGA,5,5,0,6,6,0,2,3,2,5,5,5,5,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,sys_99c16cf2fe,DOODA (C8),6,6,0,6,6,0,1,1,1,5,6,6,5,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
