symbol,oxidation_state,metal_state_label,category_state_key,row_origin,in_archive,state_plausible,hsab_class_basis,Z,Z_source,name,name_source,period,period_source,group,group_source,block,block_source,category,category_source,series,series_source,series_index,series_index_source,oxidation_state_source,formal_charge,formal_charge_source,species_form,species_form_source,species_charge,species_charge_source,effective_charge,effective_charge_source,f_electron_count,f_electron_count_source,d_electron_count,d_electron_count_source,electron_configuration,electron_configuration_source,radius_cn6_A,radius_cn6_A_source,radius_cn8_A,radius_cn8_A_source,radius_cn9_A,radius_cn9_A_source,electronegativity_pauling,electronegativity_pauling_source,hsab_class,hsab_class_source,polarizability_atom_au,polarizability_atom_au_source
Ca,,,,archive,True,,,20,definition: IUPAC atomic number,calcium,definition: IUPAC English element name,4,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Ca,2,Ca(II),alkaline_earth(II),archive,True,True,recalled,20,definition: IUPAC atomic number,calcium,definition: IUPAC English element name,4,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,2,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),2,definition: charge of the bare cation = oxidation state,2,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Ar],"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",1,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",1.12,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",1.18,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=IX",1,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",hard,"Pearson, J. Am. Chem. Soc. 85 (1963) 3533, Table I (standard textbook list; not re-checked against the printed table in this build)",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Sc,,,,archive,True,,,21,definition: IUPAC atomic number,scandium,definition: IUPAC English element name,4,definition: IUPAC periodic table row,3,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),rare_earth_non_lanthanide,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1.36,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Cr,,,,archive,True,,,24,definition: IUPAC atomic number,chromium,definition: IUPAC English element name,4,definition: IUPAC periodic table row,6,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1.66,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14; NOTE: the source does not state the oxidation state of this value (INFERRED, not verified: Allred's M(II) value); extraction chemistry is Cr(III) -- state-independent use is not justified",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Fe,,,,archive,True,,,26,definition: IUPAC atomic number,iron,definition: IUPAC English element name,4,definition: IUPAC periodic table row,8,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1.83,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14; NOTE: the source does not state the oxidation state of this value (INFERRED, not verified: Allred's M(II) value); extraction chemistry is Fe(III) -- state-independent use is not justified",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Sr,,,,archive,True,,,38,definition: IUPAC atomic number,strontium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,0.95,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Sr,2,Sr(II),alkaline_earth(II),archive,True,True,recalled,38,definition: IUPAC atomic number,strontium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,2,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),2,definition: charge of the bare cation = oxidation state,2,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr],"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",1.18,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",1.26,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",1.31,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=IX",0.95,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",hard,"Pearson, J. Am. Chem. Soc. 85 (1963) 3533, Table I (standard textbook list; not re-checked against the printed table in this build)",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Sr,3,Sr(III),alkaline_earth(III),archive,True,False,,38,definition: IUPAC atomic number,strontium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),implausible_state,gen19 metals.default_species_form: state outside ACCESSIBLE_STATES (= archive PLAUSIBLE_OX),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),0.95,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: recorded oxidation state is not chemically accessible (archive flag),,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Y,,,,archive,True,,,39,definition: IUPAC atomic number,yttrium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,3,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),rare_earth_non_lanthanide,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1.22,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Y,3,Y(III),rare_earth_non_lanthanide(III),archive,True,True,analogy,39,definition: IUPAC atomic number,yttrium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,3,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),rare_earth_non_lanthanide,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,3,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),3,definition: charge of the bare cation = oxidation state,3,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr],"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.9,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",1.019,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",1.075,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=IX",1.22,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",hard,"INFERRED by analogy within Pearson (1963) classes: group-3 M3+ like Sc3+, La3+",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
