g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.080436,-0.241747,-0.15369,1.09461,0.139034,0.553766,0.300944,0.725752,0.181309,1.24076,-0.0927671,0.761747,0.0245197,-0.830053,-0.735779,0.451203,1719,s104729_S_b011,11
Am(VI),2.31061,0.38056,-2.35188,-0.157428,1.25163,-0.111045,0.26142,0.339504,-2.23858,1.06072,0.0164801,-0.156398,0.783924,-0.955661,0.0894521,3.10663,27,s104729_S_b011,11
Ba(II),0.954983,-1.24766,-1.02549,1.46497,-2.33759,1.74738,3.04096,-0.828738,2.07691,3.53723,-2.13562,-3.84412,0.992154,-2.57313,1.76615,-1.87707,25,s104729_S_b011,11
Bi(III),1.69008,1.40719,4.82143,0.373122,0.48355,-1.18286,-0.348675,-0.886519,1.84071,0.47553,0.0385528,0.25517,-1.45976,1.11195,2.4235,-1.40711,17,s104729_S_b011,11
Ca(II),-0.661842,-0.286013,1.54665,-1.13224,-1.77828,0.769864,2.13812,-0.744404,1.60418,1.89833,-1.06105,-0.400853,-0.933008,-0.905345,0.295804,-1.522,22,s104729_S_b011,11
Cd(II),6.78472,0.655232,1.76678,-6.20011,0.338679,-6.38035,4.13501,-7.49262,-0.898383,-0.452588,0.333587,-4.60435,2.48318,-2.1206,0.877386,-3.71147,4,s104729_S_b011,11
Ce(III),-0.460702,-1.48341,-0.600052,0.31443,-1.02525,0.680993,1.12234,0.523738,-0.315088,-0.627692,-0.282501,-1.86564,0.93354,-2.28883,1.66077,-1.20841,293,s104729_S_b011,11
Cf(III),0.690446,-0.672398,-0.179231,0.586089,1.17457,0.730898,-0.0859283,0.340823,-0.0140403,1.10716,-0.0711509,1.16954,-0.175561,-0.26087,0.0720457,1.42438,9,s104729_S_b011,11
Cm(III),0.117431,-0.276753,-0.511069,0.773063,1.54863,1.39298,0.245832,0.140306,0.394782,1.14719,-0.439318,0.724391,-0.170284,-0.667998,-0.702998,0.678078,135,s104729_S_b011,11
Dy(III),0.180935,-1.10603,1.39043,0.0069626,0.21762,0.000145465,0.429446,-0.601088,0.597395,-0.243877,0.245063,-0.347439,-0.123099,0.69256,0.348925,-0.785276,361,s104729_S_b011,11
Er(III),0.357481,-1.11876,1.40075,-0.233545,0.481922,0.0748189,0.22722,-0.340128,0.498631,-0.37713,0.300506,-0.302858,-0.397606,0.763319,-0.310865,-0.495832,300,s104729_S_b011,11
Eu(III),-0.0742027,-0.461578,0.703327,0.127078,-1.04893,0.0997467,-0.0702011,0.114814,0.880151,0.0501868,0.571348,-0.326945,0.678464,-0.278652,0.305596,-1.47976,1692,s104729_S_b011,11
Gd(III),0.0531003,-0.977327,0.905043,0.286688,0.226552,0.385939,0.447297,-0.336506,0.474361,-0.436658,0.194917,-0.660515,0.15804,-0.205765,0.322039,-1.5219,353,s104729_S_b011,11
Hf(IV),0.875678,-2.11412,1.68215,0.159,-0.175397,-1.28989,-0.792762,1.82493,0.647577,-0.143579,-1.96587,0.270413,-0.850391,1.67249,-1.17488,2.28207,5,s104729_S_b011,11
Ho(III),0.377319,-1.19059,1.20249,0.0531873,0.387407,0.0356766,0.1662,-0.464213,0.43334,-0.257798,0.499188,-0.301969,-0.325269,0.715037,-0.260056,-0.743869,264,s104729_S_b011,11
In(III),0.341817,3.4161,2.41888,-1.67616,-0.840061,-3.81345,2.61022,-3.20756,-0.0639433,1.23397,-4.43466,-1.95655,-0.979156,-1.32794,0.418707,-2.34712,5,s104729_S_b011,11
La(III),-0.35955,-1.50539,-1.05107,0.586763,-1.07167,0.614928,1.25434,0.49763,-0.196011,-0.504836,-0.459406,-2.38829,1.12615,-2.43901,1.73468,-1.16295,344,s104729_S_b011,11
Lu(III),0.779714,-1.39428,1.14029,-0.515531,0.658399,0.26166,0.193001,-0.489814,0.605042,-0.564886,0.506041,-0.441193,-0.562984,0.7582,-0.845513,-0.165086,247,s104729_S_b011,11
Nd(III),-0.554071,-1.24092,-0.248379,0.486414,0.389184,0.499838,1.00486,-0.0504218,-0.664256,-0.577434,-0.15109,-1.43598,0.777247,-1.08536,0.763928,-1.34008,433,s104729_S_b011,11
Np(IV),-0.0439123,1.23877,-0.144912,-0.15038,0.0175951,-1.16584,-0.987654,0.507107,-1.22998,0.65103,-0.284504,1.719,-0.699847,-0.630502,0.613722,1.86943,216,s104729_S_b011,11
Np(V),-0.845072,2.29791,-2.16135,0.663181,0.874758,0.0163766,1.15101,0.814389,-2.79768,1.06498,-1.43513,1.05268,0.670746,-0.865027,-0.437068,3.29754,187,s104729_S_b011,11
Np(VI),1.49862,1.49482,-2.21893,-0.757395,1.48759,-1.27084,0.281684,-0.168772,-3.1776,-0.111618,-0.366072,1.28154,0.273522,0.00744641,0.542557,4.08625,67,s104729_S_b011,11
Pa(V),-1.1221,2.76135,-0.126744,-1.18469,-0.624402,-1.07872,0.750453,0.789494,-3.21494,-0.0186758,-0.272329,1.55371,-0.476671,0.811034,-0.16346,4.15069,43,s104729_S_b011,11
Pb(II),0.578522,2.76209,3.02866,1.2425,-1.63669,-0.291852,0.637353,-0.758473,3.14426,1.83462,-2.09593,-2.23926,-0.00960088,-2.15754,3.98717,-1.89566,10,s104729_S_b011,11
Pd(II),2.24542,-4.00149,1.64334,-2.67845,0.461378,-2.42525,-0.173266,-1.32322,-2.25234,-1.97786,0.984811,-2.24091,4.88901,-5.76753,-1.45852,1.08261,18,s104729_S_b011,11
Pd(IV),-3.41697,-0.436284,2.05407,1.74783,-0.801076,-0.816032,-0.576263,2.03065,-2.36158,-0.714598,-3.3353,0.410421,1.243,-2.53123,-1.39326,3.53848,5,s104729_S_b011,11
Pm(III),-0.203434,-1.01952,0.616919,0.424529,-0.696583,0.131673,-0.0894299,-0.105473,0.640001,-0.388359,0.697045,-0.428779,0.604106,-0.602284,0.590208,-1.61668,1,s104729_S_b011,11
Pr(III),-0.410725,-1.17616,-0.44111,0.47952,-0.702998,0.578407,0.849264,0.216053,-0.238819,-0.456762,-0.222516,-1.66249,0.768981,-1.57574,1.10856,-1.34366,348,s104729_S_b011,11
Pu(III),0.638218,-0.818052,-0.987005,0.0863379,1.13984,0.859588,0.252052,1.07838,-0.856112,1.00772,-0.138869,1.24959,-0.189018,-1.1853,1.34962,1.58098,118,s104729_S_b011,11
Pu(IV),1.10775,0.404477,-0.725933,-1.15018,-0.0788885,-1.29207,-0.367532,1.01301,-0.793421,0.159669,0.171148,1.68301,-0.903199,0.0814217,1.7288,2.03064,580,s104729_S_b011,11
Pu(VI),2.58962,0.590114,-2.81757,-1.64773,1.44117,-1.30017,0.988896,0.335864,-2.70478,-0.622856,0.100096,1.24538,0.123523,0.659679,1.64398,4.20745,107,s104729_S_b011,11
Sm(III),-0.228398,-1.06659,0.571833,0.264749,-0.399469,0.373648,0.549327,-0.631335,-0.0431711,-0.371236,-0.0623745,-0.974971,0.227109,-0.55287,0.308439,-1.47075,323,s104729_S_b011,11
Sr(II),0.749352,-1.02527,0.377158,0.119284,-2.37783,1.36178,2.50588,-0.854572,1.47578,2.60413,-1.33022,-2.32376,0.206672,-1.44067,1.46501,-1.83,34,s104729_S_b011,11
Sr(III),2.49425,1.44161,1.01917,-0.8827,-1.03643,0.320129,2.97486,-1.88678,1.94878,2.2931,-1.71602,-1.56178,-0.416923,2.54969,1.09918,0.806951,38,s104729_S_b011,11
Tb(III),-0.0402378,-0.774632,0.751499,0.32859,-0.482866,0.0903181,0.178931,-0.255909,0.724874,-0.4583,0.553,-0.2326,0.187629,0.435264,-0.0761123,-1.04137,269,s104729_S_b011,11
