extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-0.328711,0.430045,-0.241692,-1.58825,5,s104729_S_b003,3
C1COCCOCCOCCOCCOCCO1,0.242635,0.484551,-0.542603,-1.74522,5,s104729_S_b003,3
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.312714,0.720626,0.423995,-3.38871,7,s104729_S_b003,3
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-1.30847,0.883455,0.370863,-0.944085,46,s104729_S_b003,3
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-0.063309,-2.34225,0.572097,-1.65198,6,s104729_S_b003,3
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.2859,-0.943282,-1.00786,-1.0066,2,s104729_S_b003,3
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0.814092,-2.25887,0.189061,-2.3113,2,s104729_S_b003,3
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.780118,0.709347,0.239639,0.442505,14,s104729_S_b003,3
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.427411,1.38047,-0.128558,-0.63749,6,s104729_S_b003,3
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.521447,-0.0227868,0.464056,0.315824,52,s104729_S_b003,3
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.928751,0.758482,0.268625,0.401299,2,s104729_S_b003,3
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.39558,-1.72724,-1.19748,-2.22611,7,s104729_S_b003,3
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.709274,-0.0974153,0.418165,0.376612,60,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-0.891867,1.67501,2.43676,-1.66042,12,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-2.15838,0.512344,0.405796,-1.12194,22,s104729_S_b003,3
