extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-2.0194,3.73216,2.7315,-1.32724,-4.11217,2.97075,-2.37585,1.35622,5,s104729_S_b004,4
C1COCCOCCOCCOCCOCCO1,-1.34967,3.38536,2.77077,-1.66411,-4.5932,2.51635,-2.41687,2.39267,5,s104729_S_b004,4
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-1.10427,0.689969,-0.54038,-0.988235,-2.61285,-0.0994011,-3.07578,-0.202444,7,s104729_S_b004,4
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-3.40345,0.788166,0.102204,-0.378573,0.639547,-1.2534,-2.62026,-0.909164,46,s104729_S_b004,4
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,0.813205,0.0419178,2.76862,-2.00533,-0.152781,-1.7999,-1.19163,-3.32928,6,s104729_S_b004,4
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,0.696196,-1.25065,0.686577,1.02744,-0.844849,-0.361034,-1.60969,-1.0118,2,s104729_S_b004,4
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-1.77211,0.776926,4.43828,-2.03069,-1.37088,-0.587966,-0.951546,-2.66397,2,s104729_S_b004,4
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.108096,0.676484,-0.268493,-1.53184,0.272909,0.372492,0.600668,0.116488,14,s104729_S_b004,4
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.715238,-0.729939,0.645371,-1.40976,-2.17068,-1.8388,-0.0412727,1.29674,6,s104729_S_b004,4
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.0849045,-0.670497,-0.0517362,-1.47251,0.632413,0.594319,0.679498,0.0509694,52,s104729_S_b004,4
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.23716,1.07005,-0.289314,-2.12615,0.765763,-0.547566,1.52824,0.0193673,2,s104729_S_b004,4
CC(C)CN(CC(C)C)C(=O)C(C)C,2.47288,-2.44484,0.782082,0.984818,-1.03394,-1.41135,-1.16673,-1.44558,7,s104729_S_b004,4
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.0303975,-0.0808107,-0.111781,-1.21417,1.00129,0.62633,0.536927,-0.140761,60,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-5.61338,1.87649,-1.59734,-0.598087,0.509035,1.48053,-2.0313,-0.384721,12,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-4.64616,1.35911,0.763804,0.879477,-0.51169,-1.30385,-3.23795,-0.705778,22,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-5.00043,-1.40991,-0.471871,1.77896,-3.82835,1.78019,-2.00452,-1.08717,12,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-3.86357,2.33052,1.95358,1.97703,-1.39145,-2.54032,-1.9235,3.34806,24,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-2.41443,0.275097,0.697523,0.693975,-1.40325,-1.33666,-2.44152,-0.763478,4,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-4.97747,-1.38605,0.049813,2.13225,-3.79515,1.46845,-2.5197,-1.30105,12,s104729_S_b004,4
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-4.27328,2.07668,-0.0334416,0.324209,-0.260092,-0.850504,-3.01444,-0.421395,24,s104729_S_b004,4
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-3.29077,0.273098,1.24263,0.700089,-1.08411,-1.26412,-2.83163,-0.883072,10,s104729_S_b004,4
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,-4.38615,1.53005,2.86835,-1.72431,-1.93008,0.60894,-3.40566,-0.140778,22,s104729_S_b004,4
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,-4.92403,1.69586,-0.355619,-0.0539598,0.359187,-0.318672,-2.33058,-0.0826298,28,s104729_S_b004,4
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-3.75708,-0.55348,-0.0480362,0.191921,0.0729133,-0.572797,-3.01348,-0.668868,30,s104729_S_b004,4
CCCC(=O)N(CC(C)C)CC(C)C,1.71043,-2.84479,-0.0201752,0.461913,-0.629061,-0.723442,-1.28246,-0.989352,9,s104729_S_b004,4
CCCCC(CC)C(=O)N(CCCC)CCCC,1.9755,-1.97157,0.635126,1.04247,-1.48076,-1.74094,-1.36573,-1.04928,61,s104729_S_b004,4
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.0956351,-0.0880366,-0.944308,-0.843217,0.536905,0.54595,0.382871,0.27912,14,s104729_S_b004,4
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.051415,2.21137,-0.107488,1.68679,-1.14007,-1.40886,-2.523,0.919483,63,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,2.36733,-0.723032,0.684004,0.713357,-1.1954,-1.58032,-3.03448,-1.44133,90,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,2.78471,-0.110053,0.397752,0.795122,-1.99615,-1.80953,-2.59619,-1.36684,451,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,1.56353,-1.48547,0.32625,0.879915,-1.1031,-1.44145,-1.53401,-0.661931,25,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,2.81513,-0.726971,0.772851,1.15447,-1.24908,-1.55318,-0.71619,-1.24175,29,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,1.90512,-1.04419,0.0174735,1.13697,-1.27964,-1.2806,-1.8375,-0.931547,447,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.840616,0.421282,1.18043,0.847974,0.276245,-3.12012,-0.105867,-2.53412,4,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.697662,3.09092,0.119684,0.830447,-1.28397,-1.02918,-2.59122,2.07518,24,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.0422966,0.805063,-0.634369,0.0798823,0.260735,-0.600128,0.710365,-0.134474,520,s104729_S_b004,4
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,1.90743,-1.45572,0.0259015,0.514656,-0.873669,-1.18446,-1.1864,-0.382789,27,s104729_S_b004,4
