g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.127926,-0.406361,-0.898618,-0.0300137,0.0314749,0.599108,-0.345357,0.278865,1722,s104729_S_b004,4
Am(VI),-0.584199,0.278428,0.747551,-0.520228,0.249825,0.539056,-0.710587,-0.868992,27,s104729_S_b004,4
Ba(II),2.97526,-0.946288,-1.30241,-0.551157,-2.04103,4.42455,-0.976258,-2.86071,25,s104729_S_b004,4
Bi(III),1.9864,-1.43585,-4.43871,-0.403698,0.0380043,0.549201,0.68514,-4.92423,17,s104729_S_b004,4
Ca(II),0.959701,-0.521132,-1.69,-0.0526006,0.247673,2.55931,1.09811,-0.771989,22,s104729_S_b004,4
Cd(II),5.34918,-1.65554,-2.25586,-3.59881,-2.03141,2.96843,4.94349,-5.94524,4,s104729_S_b004,4
Ce(III),1.69162,0.34686,0.519839,-0.849346,-0.058237,-0.0186701,-1.2033,-0.935549,293,s104729_S_b004,4
Cf(III),-0.492401,-0.2528,-1.57918,0.565412,0.109264,0.232575,-0.242619,0.0599326,9,s104729_S_b004,4
Cm(III),0.0291361,-0.593457,-1.37907,0.491037,0.0255279,0.394531,-0.524085,0.424717,135,s104729_S_b004,4
Dy(III),0.661177,-0.083788,-0.552448,-0.137174,0.688675,-1.41207,0.401264,0.206521,377,s104729_S_b004,4
Er(III),0.43613,-0.162825,-0.854143,-0.112533,0.73273,-1.67396,0.48792,0.253111,300,s104729_S_b004,4
Eu(III),0.503341,0.0313203,-0.570267,-0.929579,0.4805,-1.11215,-0.760832,0.0228757,1692,s104729_S_b004,4
Gd(III),1.03813,-0.0144408,-0.0374321,-0.356252,0.611644,-1.27295,0.125395,-0.140211,375,s104729_S_b004,4
Hf(IV),-0.170819,0.929332,-3.0778,0.302337,1.021,2.1357,0.0322664,0.929411,5,s104729_S_b004,4
Ho(III),0.576797,-0.178604,-0.779104,-0.0958896,0.754247,-1.71636,0.528257,0.283829,264,s104729_S_b004,4
In(III),-0.288815,-2.42956,-1.52026,-2.0147,-0.842972,2.57458,0.989084,-3.14388,5,s104729_S_b004,4
La(III),2.04184,0.392111,0.639504,-0.843079,-0.345496,0.299536,-1.13809,-1.02518,344,s104729_S_b004,4
Lu(III),0.389896,-0.256621,-1.07806,-0.255733,0.731145,-2.00922,0.612702,0.285764,247,s104729_S_b004,4
Nd(III),1.65553,0.548342,0.810417,-0.979941,0.0425032,-0.492536,-0.381309,-0.40274,433,s104729_S_b004,4
Np(IV),-1.60212,0.220078,0.901595,0.424963,0.241767,1.05743,0.150612,0.393105,216,s104729_S_b004,4
Np(V),-0.502162,-1.06011,1.44612,-0.471431,-1.02014,1.31879,-1.46644,0.217981,187,s104729_S_b004,4
Np(VI),-1.54658,0.151316,1.86447,-0.725757,-0.125199,0.878774,-1.12571,-0.804358,67,s104729_S_b004,4
Pa(V),-0.855202,-0.106696,1.6236,-1.65355,-0.456079,1.39801,-0.454632,-0.274952,43,s104729_S_b004,4
Pb(II),3.41633,-1.79948,-2.91723,-0.792974,-1.2498,1.26423,0.0120694,-5.32133,10,s104729_S_b004,4
Pd(II),4.02723,0.444535,-5.54684,-0.448162,-1.28865,3.3925,2.62144,-3.545,18,s104729_S_b004,4
Pd(IV),-1.43849,-0.826685,-3.09938,-0.0743797,-1.77758,3.84327,-1.9785,-1.70944,5,s104729_S_b004,4
Pm(III),0.652901,0.244797,-0.389601,-0.672134,0.509699,-1.08884,-0.465703,-0.165732,1,s104729_S_b004,4
Pr(III),1.53596,0.322727,0.711007,-0.684724,0.0432158,-0.266484,-0.884623,-0.910393,348,s104729_S_b004,4
Pu(III),-0.122013,0.129943,-0.955189,0.58318,0.335336,0.850622,-0.0667337,-0.509957,118,s104729_S_b004,4
Pu(IV),-1.17771,0.496707,0.47377,0.832964,0.482714,1.09066,1.11495,0.346272,580,s104729_S_b004,4
Pu(VI),-1.07941,0.358989,1.39841,-0.32332,0.0773088,0.873749,-0.211714,-0.872207,107,s104729_S_b004,4
Sm(III),1.16919,0.125841,0.203466,-0.378025,0.500025,-0.964966,-0.0889219,-0.478415,323,s104729_S_b004,4
Sr(II),1.73045,-0.269914,-1.53805,-0.305576,-0.707371,3.51284,0.324528,-2.67669,94,s104729_S_b004,4
Sr(III),0.196266,-1.09241,-2.86793,0.640412,-2.23044,3.37039,1.0649,-1.78829,38,s104729_S_b004,4
Tb(III),0.691944,0.0036276,-0.504313,-0.556163,0.686027,-1.59212,0.362603,0.116119,172,s104729_S_b004,4
Tc(VII),-1.58807,2.98792,-2.46544,-0.937145,0.840164,2.47737,-1.29975,-1.01573,21,s104729_S_b004,4
Th(IV),0.0879762,-0.105121,0.261858,0.171744,0.711579,-0.029407,0.171693,0.539481,773,s104729_S_b004,4
Tm(III),0.377952,-0.20928,-1.09491,-0.146079,0.705878,-1.74797,0.404904,0.184714,201,s104729_S_b004,4
U(IV),0.202768,-0.49183,0.488636,-0.802055,0.141416,0.740686,-0.613621,0.337595,15,s104729_S_b004,4
U(VI),-1.02804,0.546513,2.14595,-1.60076,-0.154558,1.83187,-0.875576,0.115703,1023,s104729_S_b004,4
Y(III),-2.18519,0.245355,-1.76085,-0.568407,1.7553,1.71956,-1.30281,-3.46116,28,s104729_S_b004,4
Yb(III),0.221824,-0.223339,-1.12398,-0.505249,0.63713,-2.00403,0.59984,0.23325,210,s104729_S_b004,4
Zr(IV),1.33875,1.21543,-2.31352,-0.28548,2.63424,1.46418,0.105529,0.827312,13,s104729_S_b004,4
