g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.291782,-0.656065,0.195528,-0.696128,1733,s104729_S_b025,25
Am(VI),0.549719,1.17191,-0.0540084,-0.429741,27,s104729_S_b025,25
Ba(II),0.341707,0.448607,-2.6074,-3.28097,25,s104729_S_b025,25
Bi(III),-3.0674,1.052,0.674576,0.693002,17,s104729_S_b025,25
Ca(II),-1.5518,0.699018,-0.418319,-0.380223,22,s104729_S_b025,25
Cd(II),0.838811,-3.59092,-4.93799,-2.3557,4,s104729_S_b025,25
Ce(III),0.901025,-0.705603,-2.05096,-0.0352083,293,s104729_S_b025,25
Cf(III),-0.537782,-1.18038,0.839947,-0.37409,9,s104729_S_b025,25
Cm(III),-0.660001,-1.0794,0.362485,-0.836006,135,s104729_S_b025,25
Dy(III),-0.92782,-0.609172,-0.167757,1.07387,367,s104729_S_b025,25
Er(III),-1.10542,-0.732435,0.0517573,1.26101,300,s104729_S_b025,25
Eu(III),-0.546881,-0.63337,-0.727082,0.709548,1692,s104729_S_b025,25
Gd(III),-0.49584,-0.756429,-0.810064,0.846076,375,s104729_S_b025,25
Hf(IV),1.47588,2.45365,2.34964,1.77863,5,s104729_S_b025,25
Ho(III),-1.14277,-0.76958,0.0394328,1.20747,264,s104729_S_b025,25
In(III),-1.64902,1.04186,-0.123246,-2.31237,5,s104729_S_b025,25
La(III),0.840569,-0.527538,-2.40973,-0.251625,344,s104729_S_b025,25
Lu(III),-1.3316,-0.843451,0.166554,1.38597,247,s104729_S_b025,25
Nd(III),0.917977,-0.893591,-1.7782,0.142938,433,s104729_S_b025,25
Np(IV),0.377158,1.38462,1.49879,-0.193428,216,s104729_S_b025,25
Np(V),-1.11188,2.13466,-0.70782,-1.28386,168,s104729_S_b025,25
Np(VI),0.582955,2.45964,-0.251992,-0.201028,67,s104729_S_b025,25
Pa(V),0.511816,2.94355,0.370968,-0.608335,43,s104729_S_b025,25
Pb(II),-2.59153,0.310266,-1.42545,-1.3771,10,s104729_S_b025,25
Pd(II),4.91153,-1.05555,1.30611,0.600956,18,s104729_S_b025,25
Pd(IV),3.71627,5.15554,4.34896,-0.991146,5,s104729_S_b025,25
Pm(III),-0.321741,-0.873598,-0.78708,0.696304,1,s104729_S_b025,25
Pr(III),0.823072,-0.824331,-1.89566,0.106084,348,s104729_S_b025,25
Pu(III),0.337246,-0.711502,0.825906,-0.152815,118,s104729_S_b025,25
Pu(IV),0.574054,0.988461,1.87975,0.366715,580,s104729_S_b025,25
Pu(VI),0.750475,2.04826,0.0503579,0.316344,107,s104729_S_b025,25
Sm(III),0.0547146,-0.924638,-1.13931,0.633821,307,s104729_S_b025,25
Sr(II),-0.571282,0.521192,-1.22705,-1.48483,94,s104729_S_b025,25
Sr(III),-1.81998,2.44549,0.657629,-1.69773,38,s104729_S_b025,25
Tb(III),-0.8805,-0.622966,-0.376243,1.0559,269,s104729_S_b025,25
Tc(VII),2.25005,2.72895,0.609267,2.55516,21,s104729_S_b025,25
Th(IV),-0.272155,-0.166021,0.928046,-0.128734,773,s104729_S_b025,25
Tm(III),-1.24604,-0.725022,0.115091,1.32522,201,s104729_S_b025,25
U(IV),-0.132582,1.99957,0.468508,-0.506431,15,s104729_S_b025,25
U(VI),0.768201,3.35749,-0.381419,-0.250274,1036,s104729_S_b025,25
Y(III),-1.37542,0.616415,0.109592,0.802985,28,s104729_S_b025,25
Yb(III),-1.37712,-0.66345,0.0594239,1.49992,231,s104729_S_b025,25
Zr(IV),0.230918,2.59224,2.14922,2.72519,13,s104729_S_b025,25
