extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.192198,0.11865,-1.4053,-0.28426,3.80046,0.349004,-0.32563,2.83048,-2.96575,1.82483,0.667951,-1.36337,0.761377,-0.519876,0.855469,-1.43658,5,s104729_S_b015,15
C1COCCOCCOCCOCCOCCO1,-0.296292,0.33895,-1.95769,-0.777458,4.89186,0.330499,-0.55702,2.49103,-1.91518,1.43768,0.410064,-1.78442,1.30339,-0.0679328,0.657263,-1.63548,5,s104729_S_b015,15
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.179857,0.578742,-0.612304,0.297978,1.02896,-1.23751,-2.67825,0.948415,-1.37492,0.4147,-0.477672,-1.97097,-2.39988,0.1423,-0.17533,0.117363,7,s104729_S_b015,15
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.95407,0.244797,1.0866,0.0712978,-1.21789,-0.200987,-0.992103,2.4,-2.64211,-0.640418,-0.321116,-1.74327,-0.796594,-2.03044,0.975028,-0.0850132,46,s104729_S_b015,15
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-1.51995,-2.34559,1.29893,-2.69172,0.997026,1.15767,-1.30628,3.04159,-4.19481,2.18278,-3.12295,-2.23189,-2.31345,-1.6927,-1.51356,1.33493,6,s104729_S_b015,15
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-0.662601,-1.46071,-0.226886,0.0755514,1.31126,0.998901,0.118033,0.77007,-0.202714,0.155997,-0.603021,0.212872,-1.27994,-2.24673,-1.80684,0.0828095,2,s104729_S_b015,15
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-2.02135,-1.86932,0.312435,-2.83595,1.54673,1.82149,-3.67682,3.20525,-2.98785,0.440663,-2.8374,-4.63359,-2.88953,-0.243343,1.46387,0.56727,2,s104729_S_b015,15
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.329095,0.167344,-0.453318,-0.226927,-0.408211,0.359176,0.298241,-0.846255,0.573983,-0.29175,1.01726,-0.23556,0.363767,0.995852,0.662227,-0.246859,14,s104729_S_b015,15
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.46979,1.47617,-0.280929,-1.02295,1.35609,-0.406281,-0.489042,-1.46078,-1.34135,-0.106581,3.9773,-0.650522,-0.227081,-0.569639,1.0781,-0.217256,6,s104729_S_b015,15
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.33811,0.0520808,-0.391957,-0.768514,-0.378119,0.243725,0.901965,0.0188872,0.943187,-0.874897,-0.700337,-0.326043,0.6852,0.974393,0.82868,-0.766881,52,s104729_S_b015,15
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.456139,-0.0938307,0.274378,-0.855232,-1.02714,0.059733,0.108162,-0.280211,1.3102,1.01049,0.493344,-0.230986,0.131131,1.14015,1.14619,0.219866,2,s104729_S_b015,15
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.32303,-1.25613,-1.85474,0.495729,0.739643,1.1622,-0.751191,0.730776,0.962482,-0.200115,-1.56845,1.46725,-1.69343,-0.536301,-1.26953,0.821967,7,s104729_S_b015,15
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.209828,-0.185562,-0.549804,-0.682556,-0.591697,0.25333,0.98424,-0.218249,0.782527,-0.607802,-0.600704,-0.219042,0.324663,0.973487,1.09728,-0.663204,60,s104729_S_b015,15
