design,model_arm,transform,unit_key,mae_with,mae_transform,delta_mae,n_rows,system,publication_group,g19_metal_state,extractant_system_key,metal_state
V5,B5,ACT_PERMUTED,Ce(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.136902,0.144687,0.00778534,21,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Ce(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Ce(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.321505,0.332819,0.0113136,99,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_917a4583d4,Ce(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Ce(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.367149,0.390639,0.0234903,15,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Ce(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,Ce(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.144395,0.134332,-0.0100639,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Ce(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,Dy(III) x CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.314115,0.325197,0.0110822,60,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,pub_bdb1564c49,Dy(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,
V5,B5,ACT_PERMUTED,Dy(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.165627,0.177781,0.0121543,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Dy(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Dy(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.157332,0.188945,0.031613,85,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Dy(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Dy(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.0664228,0.0614784,-0.00494436,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Dy(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,Dy(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.122857,0.126774,0.00391626,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Dy(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,Er(III) x CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.164838,0.175213,0.010375,15,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,pub_bdb1564c49,Er(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,
V5,B5,ACT_PERMUTED,Er(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.192023,0.235842,0.0438184,20,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Er(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Er(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.195958,0.227133,0.0311744,77,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Er(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Er(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.0966243,0.136126,0.0395022,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Er(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,Er(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.102168,0.146299,0.0441309,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Er(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.256279,0.727457,0.471178,14,CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_04794d6d09,Eu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.150558,0.158738,0.00817947,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Eu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.539769,0.815048,0.275278,20,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,pub_86cd2c5ec0,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.380756,1.05183,0.671073,13,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,pub_cdc2243314,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.764929,0.989038,0.224109,408,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_e287124c22,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.37205,0.796282,0.424232,16,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,pub_ad5a7268e5,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.452273,0.851365,0.399092,13,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,pub_e287124c22,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,
V5,B5,ACT_PERMUTED,Eu(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.859826,0.800386,-0.0594397,157,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_2319535dff,Eu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,Eu(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.198884,0.234638,0.0357543,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Eu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,Gd(III) x CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.238122,0.270603,0.0324805,15,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,pub_bdb1564c49,Gd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,
V5,B5,ACT_PERMUTED,Gd(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.0539092,0.109219,0.0553094,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Gd(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Gd(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.220945,0.285946,0.0650011,120,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Gd(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Gd(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.373559,0.423188,0.049629,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Gd(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,Gd(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.204563,0.226294,0.0217307,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Gd(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,Ho(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.174153,0.209234,0.0350805,21,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Ho(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Ho(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.150725,0.167982,0.0172567,82,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Ho(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,Ho(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.0497324,0.072589,0.0228566,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Ho(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,Ho(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.145448,0.215582,0.0701333,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Ho(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,La(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.129699,0.118155,-0.0115437,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,La(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,La(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.37194,0.405863,0.0339228,88,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,La(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
V5,B5,ACT_PERMUTED,La(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.194741,0.322631,0.127891,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,La(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,
V5,B5,ACT_PERMUTED,La(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.207377,0.235459,0.0280818,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,La(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,
V5,B5,ACT_PERMUTED,Lu(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.156344,0.210373,0.0540291,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Lu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,
V5,B5,ACT_PERMUTED,Lu(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.273617,0.289839,0.0162222,90,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Lu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,
