g19_metal_state,extractant_system_key,nearest_radius_distance_A,n_neighbour_metals,condition_distance_system_mean,nearest_radius_metal,metal_class,mae,n_rows
Am(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.011,20,0.0277003,Sm(III),actinide,1.05698,65
Am(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.025,9,0.00183447,Pu(III),actinide,0.829547,27
Am(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.019,4,0.0347658,Nd(III),actinide,1.15842,31
Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.011,11,0,Sm(III),actinide,0.770571,14
Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.005,3,0.00058361,Cm(III),actinide,0.353073,11
Am(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.011,14,0.00527272,Sm(III),actinide,1.89387,18
Am(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.011,15,5.07155e-05,Sm(III),actinide,1.58219,22
Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.011,36,0.0504717,Sm(III),actinide,1.33454,515
Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.024,4,0.832556,Eu(III),actinide,0.741052,50
Am(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.011,14,0,Sm(III),actinide,0.787504,12
Am(III),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.011,17,0.00066697,Sm(III),actinide,0.889607,14
Ba(II),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.13,36,0.005885,Pb(II),other,2.20214,22
Ce(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.017,14,3.5195e-05,La(III),lanthanide,0.10619,21
Ce(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.017,36,0.000893136,La(III),lanthanide,0.441186,99
Ce(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.017,12,0,La(III),lanthanide,0.429834,15
