arm,half,seed,publication_group,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B0,none,104729,pub_007f4c9de0,35,1.22753,2.36197,1.53687,0.918277,0.6,2.16605,0.8,4.26609,0.914286,6.15718,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_04794d6d09,642,1.22043,2.11673,1.4549,-0.443907,0.496885,2.16713,0.817757,4.26846,0.992212,6.15982,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_07cea54708,12,1.66306,3.7744,1.94278,-1.3875,0.416667,2.16963,0.583333,4.27701,1,6.18285,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0884e38fbe,155,0.984004,1.18571,1.0889,-0.538511,0.529032,2.16776,1,4.26617,1,6.15297,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0a8da089ad,132,0.873638,1.02028,1.01009,-0.272398,0.575758,2.16647,0.992424,4.26094,1,6.14902,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0af6736cb1,258,1.21293,2.1152,1.45437,-0.878407,0.476744,2.16677,0.868217,4.26767,0.988372,6.1607,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0c3788daa5,33,1.53671,2.96653,1.72236,-0.619982,0.30303,2.16589,0.757576,4.26551,0.969697,6.15338,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0d412f4721,20,1.75184,3.56652,1.88852,-1.69952,0.2,2.16731,0.6,4.26778,1,6.15368,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0ddbd861aa,91,0.642027,0.555099,0.74505,-0.555818,0.802198,2.16624,1,4.26639,1,6.15624,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0e366d9257,3,0.854432,0.949876,0.974616,0.854432,0.333333,2.15323,1,4.24599,1,6.15541,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0f30549d71,7,1.43419,2.71448,1.64757,1.30065,0.428571,2.15853,0.714286,4.25871,1,6.15536,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0fd6ab4e40,29,1.48237,2.30434,1.51801,1.48237,0.137931,2.16477,0.965517,4.26939,1,6.15611,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_10aec04d23,67,0.933934,1.54236,1.24192,0.639175,0.61194,2.16763,0.910448,4.26921,0.940299,6.15887,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_13adc25944,4,0.63616,0.424697,0.651688,-0.63616,1,2.16352,1,4.26072,1,6.11061,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1605e436d7,154,0.975576,1.30071,1.14049,-0.0309009,0.577922,2.16836,1,4.26969,1,6.16139,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1739bfaf95,16,0.409349,0.23143,0.481071,-0.272589,1,2.16782,1,4.26825,1,6.16636,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1845fd6492,14,1.32601,3.67376,1.91671,1.32601,0.571429,2.17227,0.714286,4.27618,0.785714,6.17592,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1927dff570,20,1.09712,1.35598,1.16446,1.09712,0.4,2.16719,1,4.26785,1,6.15062,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_19783c039b,204,1.91956,4.87776,2.20857,-1.83038,0.245098,2.1675,0.578431,4.26633,0.867647,6.15394,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1b7737c507,261,1.0296,1.75787,1.32585,0.68233,0.62069,2.16624,0.869732,4.26687,0.984674,6.15774,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1bd76c48d9,54,0.364889,0.170224,0.412582,-0.257613,1,2.16878,1,4.26632,1,6.1557,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1c1b558856,72,2.2148,5.88042,2.42496,-2.2148,0.152778,2.16621,0.5,4.26668,0.777778,6.15058,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1d18e32c4e,101,1.21006,1.79328,1.33913,-0.822104,0.386139,2.16569,0.940594,4.26671,1,6.16147,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1e6fec5c25,22,1.0138,1.65606,1.28688,0.820474,0.636364,2.16527,0.909091,4.26573,1,6.13902,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_22a136e9b9,24,1.24054,2.29624,1.51534,0.426917,0.5,2.17216,0.916667,4.26804,0.916667,6.15941,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_2319535dff,141,2.2208,5.81866,2.41219,2.2089,0.035461,2.16692,0.652482,4.26422,0.893617,6.15822,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_23f10a0918,269,0.596779,0.762365,0.873135,0.207893,0.858736,2.16687,0.951673,4.26601,0.981413,6.1554,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_2c76a46f18,71,1.1138,1.74389,1.32056,0.140955,0.521127,2.16748,0.901408,4.26755,1,6.15327,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_2e9f2dbea9,76,1.93784,4.60292,2.14544,-1.51218,0.210526,2.16654,0.486842,4.26555,0.973684,6.1515,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_30a5286662,3,2.09204,4.51748,2.12544,-2.09204,0,2.16399,0.333333,4.25356,1,6.13761,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_37086f6378,532,1.45775,2.94488,1.71606,-0.755543,0.396617,2.16713,0.75,4.26889,0.958647,6.15945,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_392f966ef2,13,0.76517,0.713489,0.844683,0.581134,0.846154,2.16334,1,4.26031,1,6.15996,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_3e0f6bb1b5,28,1.11216,1.55788,1.24815,0.142378,0.357143,2.16659,0.928571,4.26635,1,6.16209,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_3f3b6220e0,56,0.226636,0.0916334,0.30271,0.0730162,1,2.17341,1,4.27463,1,6.16589,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_401a06b4b7,14,1.60401,2.78462,1.66872,1.60401,0.214286,2.17034,0.857143,4.26663,1,6.14359,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_40c355ae86,24,0.660912,0.606349,0.778684,-0.371161,0.916667,2.17278,1,4.27965,1,6.18138,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_44555064e1,55,0.747323,0.932314,0.965564,0.105443,0.745455,2.16791,0.963636,4.26447,1,6.14689,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_457a2adba4,28,1.23861,1.86366,1.36516,-1.15041,0.357143,2.16208,1,4.2592,1,6.14945,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_45b8fb22e7,152,0.860081,1.15015,1.07245,0.053487,0.75,2.16758,0.914474,4.26684,0.993421,6.15823,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4a1871d85d,114,0.46813,0.371888,0.609826,-0.395565,0.929825,2.16712,1,4.26979,1,6.15913,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4cba27f5f3,206,1.40632,2.53855,1.59328,-0.796506,0.466019,2.16733,0.800971,4.26657,0.970874,6.15723,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4f42448406,81,0.778664,1.03056,1.01517,0.544063,0.728395,2.16863,0.962963,4.26695,1,6.15679,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4fb6e0c041,13,0.417362,0.196879,0.443711,-0.417362,1,2.1679,1,4.27655,1,6.15514,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_515c63b970,90,0.474068,0.283767,0.532698,-0.245648,0.911111,2.1658,1,4.26668,1,6.15521,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_51c0693f9c,116,0.849963,1.27835,1.13064,0.0217476,0.741379,2.16725,0.913793,4.26543,1,6.15527,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_51ddfefa0c,96,1.35983,6.25454,2.50091,1.01033,0.552083,2.16761,0.947917,4.26572,0.96875,6.15129,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_5472c4b438,192,1.96671,4.6417,2.15446,-1.72531,0.213542,2.16596,0.479167,4.26632,0.994792,6.15038,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_56338b6e47,192,1.40116,3.03121,1.74104,0.978232,0.453125,2.16778,0.708333,4.26791,0.927083,6.15237,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_57ce0f7961,3,1.46656,3.25628,1.80452,-0.731204,0.333333,2.1548,0.666667,4.25337,1,6.1248,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_58ab6ca575,55,0.679565,0.665008,0.81548,-0.50182,0.745455,2.17108,1,4.27158,1,6.1605,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_5a68dc5665,874,1.16253,1.90901,1.38167,0.447389,0.508009,2.16726,0.877574,4.2675,0.995423,6.15659,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
