arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,unit_reading,unit
B0,selection,,REMAINDER,185,1.1546,2.11215,1.45332,0.424291,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_007f4c9de0,690,0.734416,0.980439,0.990171,0.0931212,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_04794d6d09,72,1.39825,2.75381,1.65946,-1.344,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0884e38fbe,155,0.987282,1.19344,1.09245,-0.546021,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0a8da089ad,132,0.875433,1.02418,1.01202,-0.278706,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0af6736cb1,258,1.2207,2.14818,1.46567,-0.896833,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_19783c039b,204,1.95436,5.04501,2.24611,-1.87581,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_1bd76c48d9,54,0.366629,0.171547,0.414183,-0.259859,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_22a136e9b9,24,1.23921,2.29097,1.51359,0.425004,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2319535dff,141,2.24472,5.92975,2.43511,2.23359,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2c76a46f18,71,1.11447,1.74718,1.32181,0.14741,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
