arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading,unit
B0,selection,,REMAINDER,232,1.01862,1.74873,1.32239,0.331458,0.62931,2.22808,0.896552,4.43035,0.982759,6.29173,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0884e38fbe,155,0.987282,1.19344,1.09245,-0.546021,0.529032,2.18712,1,4.2917,1,6.2627,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0a8da089ad,132,0.875433,1.02418,1.01202,-0.278706,0.583333,2.17952,1,4.34726,1,6.19603,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0af6736cb1,258,1.2207,2.14818,1.46567,-0.896833,0.46124,2.15972,0.860465,4.2873,0.988372,6.17725,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0d412f4721,20,1.75436,3.57526,1.89084,-1.70201,0.2,2.19939,0.6,4.3068,1,6.26873,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0ddbd861aa,91,0.644913,0.559476,0.747981,-0.559515,0.802198,2.18612,1,4.32427,1,6.16654,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_19783c039b,204,1.94691,5.00902,2.23808,-1.86619,0.235294,2.13017,0.563725,4.23931,0.803922,6.07983,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_1bd76c48d9,54,0.366629,0.171547,0.414183,-0.259859,1,2.17849,1,4.31523,1,6.17334,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_22a136e9b9,24,1.23921,2.29097,1.51359,0.425004,0.5,2.16741,0.916667,4.31914,0.916667,6.14018,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2319535dff,141,2.24472,5.92975,2.43511,2.23359,0.035461,2.13157,0.652482,4.30665,0.893617,6.17288,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2c76a46f18,71,1.11424,1.74554,1.32119,0.141743,0.521127,2.17289,0.901408,4.26501,1,6.11099,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2e9f2dbea9,76,1.94429,4.63228,2.15227,-1.52157,0.210526,2.1569,0.473684,4.24031,0.947368,6.11268,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_37086f6378,532,1.46806,2.99592,1.73087,-0.788612,0.389098,2.14745,0.74812,4.30529,0.958647,6.18425,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_3f3b6220e0,56,0.225504,0.0905229,0.30087,0.0718848,1,2.21836,1,4.29474,1,6.17544,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_44555064e1,55,0.747022,0.933163,0.966003,0.105175,0.745455,2.17101,0.963636,4.23043,0.981818,6.12427,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_45b8fb22e7,152,0.859673,1.14966,1.07222,0.0539491,0.75,2.19178,0.914474,4.24535,0.986842,6.14082,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_4a1871d85d,114,0.469806,0.373994,0.61155,-0.39836,0.929825,2.19554,1,4.25092,1,6.1118,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_4cba27f5f3,206,1.40948,2.55974,1.59992,-0.810449,0.466019,2.16311,0.781553,4.24996,0.985437,6.15822,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_5472c4b438,192,1.98736,4.73322,2.1756,-1.75184,0.208333,2.1319,0.442708,4.20273,0.994792,6.16557,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_6b0ea2ccc9,87,1.15097,1.92298,1.38672,-0.515739,0.563218,2.17138,0.804598,4.25912,1,6.07986,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_74428aeab2,26,2.08089,4.69214,2.16613,0.129275,0.0769231,2.1544,0.538462,4.26432,1,6.1544,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_8415538291,120,1.15677,2.67467,1.63544,0.572238,0.608333,2.15631,0.8,4.2685,0.9,6.11175,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_8a081dc888,47,1.0641,1.94928,1.39616,0.583721,0.595745,2.17657,0.829787,4.27171,0.978723,6.11002,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_8dafaf94bc,63,0.634815,0.574035,0.757651,0.217638,0.873016,2.17615,1,4.27511,1,6.06981,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_917a4583d4,27,0.94746,1.14201,1.06865,-0.725759,0.518519,2.15906,1,4.26919,1,6.06255,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_92fd5bea1e,108,1.00067,1.65093,1.28488,0.269666,0.638889,2.18098,0.888889,4.26319,0.972222,6.15171,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_97510df3a0,21,1.20417,1.80368,1.34301,1.19885,0.47619,2.18454,1,4.29243,1,6.18454,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_a470dfb784,40,0.322768,0.195152,0.44176,-0.0264356,0.975,2.17765,1,4.26369,1,6.23342,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_a9266a9412,50,1.07621,1.65276,1.2856,-0.115896,0.56,2.17093,0.88,4.28655,1,6.13014,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_ad5a7268e5,133,0.97063,1.50883,1.22834,-0.568435,0.691729,2.19406,0.864662,4.32397,1,6.13191,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b0b3296ec5,228,0.846418,1.08969,1.04388,0.00803988,0.631579,2.19276,0.991228,4.33536,1,6.25728,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b155314682,35,0.985274,1.49992,1.22471,0.859745,0.542857,2.18881,0.942857,4.35734,1,6.34358,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b4273fb42a,16,1.01703,1.43886,1.19952,-0.0798761,0.5,2.18455,1,4.37854,1,6.29204,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b92b9c1ebe,208,0.499474,0.447829,0.669201,0.100018,0.870192,2.25403,0.990385,4.39092,1,6.28261,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_c929bc0daa,31,0.692535,0.809422,0.899679,0.156429,0.806452,2.17361,0.967742,4.27807,1,6.17181,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_cdc2243314,94,1.74602,4.30097,2.07388,0.863129,0.329787,2.15773,0.62766,4.28825,0.840426,6.15107,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_d3c970567f,15,1.05694,1.48139,1.21712,0.216282,0.466667,2.15963,1,4.3226,1,6.14475,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_e287124c22,1096,1.956,5.00868,2.23801,0.966506,0.22719,2.01397,0.514599,4.08777,0.792883,5.85668,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_f5d1922154,36,1.62298,3.3661,1.83469,-1.59967,0.333333,2.16273,0.694444,4.26807,0.944444,6.11818,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,,12,1.65997,3.75707,1.93832,-1.37961,0.416667,2.22808,0.583333,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_07cea54708
B0,selection,,,155,0.987282,1.19344,1.09245,-0.546021,0.529032,2.18712,1,4.2917,1,6.2627,exploratory: publication group (the as-run pre-seal V1 reading),pub_0884e38fbe
B0,selection,,,132,0.875433,1.02418,1.01202,-0.278706,0.583333,2.17952,1,4.34726,1,6.19603,exploratory: publication group (the as-run pre-seal V1 reading),pub_0a8da089ad
B0,selection,,,258,1.2207,2.14818,1.46567,-0.896833,0.46124,2.15972,0.860465,4.2873,0.988372,6.17725,exploratory: publication group (the as-run pre-seal V1 reading),pub_0af6736cb1
B0,selection,,,20,1.75436,3.57526,1.89084,-1.70201,0.2,2.19939,0.6,4.3068,1,6.26873,exploratory: publication group (the as-run pre-seal V1 reading),pub_0d412f4721
B0,selection,,,91,0.644913,0.559476,0.747981,-0.559515,0.802198,2.18612,1,4.32427,1,6.16654,exploratory: publication group (the as-run pre-seal V1 reading),pub_0ddbd861aa
B0,selection,,,3,0.863526,0.963335,0.981496,0.863526,0.666667,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_0e366d9257
B0,selection,,,7,1.4412,2.73839,1.65481,1.30978,0.428571,2.22808,0.714286,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_0f30549d71
B0,selection,,,4,0.629868,0.417193,0.645905,-0.629868,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_13adc25944
B0,selection,,,16,0.40371,0.226082,0.475481,-0.265654,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_1739bfaf95
B0,selection,,,14,1.33284,3.69047,1.92106,1.33284,0.571429,2.22808,0.714286,4.43035,0.857143,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_1845fd6492
B0,selection,,,204,1.94691,5.00902,2.23808,-1.86619,0.235294,2.13017,0.563725,4.23931,0.803922,6.07983,exploratory: publication group (the as-run pre-seal V1 reading),pub_19783c039b
B0,selection,,,54,0.366629,0.171547,0.414183,-0.259859,1,2.17849,1,4.31523,1,6.17334,exploratory: publication group (the as-run pre-seal V1 reading),pub_1bd76c48d9
B0,selection,,,24,1.23921,2.29097,1.51359,0.425004,0.5,2.16741,0.916667,4.31914,0.916667,6.14018,exploratory: publication group (the as-run pre-seal V1 reading),pub_22a136e9b9
B0,selection,,,141,2.24472,5.92975,2.43511,2.23359,0.035461,2.13157,0.652482,4.30665,0.893617,6.17288,exploratory: publication group (the as-run pre-seal V1 reading),pub_2319535dff
B0,selection,,,71,1.11424,1.74554,1.32119,0.141743,0.521127,2.17289,0.901408,4.26501,1,6.11099,exploratory: publication group (the as-run pre-seal V1 reading),pub_2c76a46f18
B0,selection,,,76,1.94429,4.63228,2.15227,-1.52157,0.210526,2.1569,0.473684,4.24031,0.947368,6.11268,exploratory: publication group (the as-run pre-seal V1 reading),pub_2e9f2dbea9
B0,selection,,,3,2.08776,4.49972,2.12126,-2.08776,0,2.22808,0.666667,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_30a5286662
B0,selection,,,532,1.46806,2.99592,1.73087,-0.788612,0.389098,2.14745,0.74812,4.30529,0.958647,6.18425,exploratory: publication group (the as-run pre-seal V1 reading),pub_37086f6378
B0,selection,,,13,0.770247,0.724024,0.850896,0.588183,0.923077,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_392f966ef2
B0,selection,,,56,0.225504,0.0905229,0.30087,0.0718848,1,2.21836,1,4.29474,1,6.17544,exploratory: publication group (the as-run pre-seal V1 reading),pub_3f3b6220e0
B0,selection,,,14,1.60888,2.79999,1.67332,1.60888,0.214286,2.22808,0.857143,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_401a06b4b7
