arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,unit_reading,unit
B0,selection,,REMAINDER,232,1.01898,1.75013,1.32293,0.333569,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0884e38fbe,155,0.986347,1.19121,1.09143,-0.543979,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0a8da089ad,132,0.874997,1.02304,1.01146,-0.276653,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0af6736cb1,258,1.21982,2.14456,1.46443,-0.894811,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0d412f4721,20,1.75253,3.56835,1.88901,-1.69998,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_0ddbd861aa,91,0.643277,0.557198,0.746457,-0.557476,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_19783c039b,204,1.94538,5.00166,2.23644,-1.86421,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_1bd76c48d9,54,0.365267,0.17049,0.412904,-0.257816,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_22a136e9b9,24,1.23921,2.29271,1.51417,0.427047,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2319535dff,141,2.2468,5.93931,2.43707,2.23573,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2c76a46f18,71,1.11432,1.74612,1.32141,0.143794,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_2e9f2dbea9,76,1.94291,4.62614,2.15085,-1.51955,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_37086f6378,532,1.46729,2.99207,1.72976,-0.786167,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_3f3b6220e0,56,0.22565,0.0908214,0.301366,0.0739321,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_44555064e1,55,0.746758,0.933598,0.966228,0.107223,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_45b8fb22e7,152,0.859211,1.14988,1.07233,0.0560135,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_4a1871d85d,114,0.468838,0.372369,0.61022,-0.396315,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_4cba27f5f3,206,1.40896,2.55645,1.59889,-0.808416,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_5472c4b438,192,1.98579,4.72627,2.174,-1.74985,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_6b0ea2ccc9,87,1.15024,1.92088,1.38596,-0.513699,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_74428aeab2,26,2.08105,4.69267,2.16626,0.131317,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_8415538291,120,1.15638,2.67706,1.63617,0.574319,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_8a081dc888,47,1.06397,1.95167,1.39702,0.585773,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_8dafaf94bc,63,0.634522,0.574932,0.758243,0.219689,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_917a4583d4,27,0.946479,1.13906,1.06727,-0.723722,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_92fd5bea1e,108,1.00063,1.65204,1.28532,0.271728,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_97510df3a0,21,1.20602,1.80859,1.34484,1.20089,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_a470dfb784,40,0.322768,0.195048,0.441643,-0.0243922,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_a9266a9412,50,1.07613,1.65229,1.28541,-0.113852,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_ad5a7268e5,133,0.970093,1.50651,1.2274,-0.566395,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b0b3296ec5,228,0.846414,1.08972,1.0439,0.0101247,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b155314682,35,0.986387,1.50345,1.22615,0.861795,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b4273fb42a,16,1.01677,1.43853,1.19939,-0.077827,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_b92b9c1ebe,208,0.499494,0.448249,0.669514,0.102095,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_c929bc0daa,31,0.6926,0.810065,0.900036,0.158472,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_cdc2243314,94,1.74668,4.30455,2.07474,0.865202,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_d3c970567f,15,1.05653,1.48228,1.21749,0.218326,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_e287124c22,1096,1.95677,5.01356,2.2391,0.969028,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,pub_f5d1922154,36,1.62118,3.35963,1.83293,-1.59765,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,selection,,,12,1.65891,3.75125,1.93681,-1.37749,exploratory: publication group (the as-run pre-seal V1 reading),pub_07cea54708
B0,selection,,,155,0.986347,1.19121,1.09143,-0.543979,exploratory: publication group (the as-run pre-seal V1 reading),pub_0884e38fbe
B0,selection,,,132,0.874997,1.02304,1.01146,-0.276653,exploratory: publication group (the as-run pre-seal V1 reading),pub_0a8da089ad
B0,selection,,,258,1.21982,2.14456,1.46443,-0.894811,exploratory: publication group (the as-run pre-seal V1 reading),pub_0af6736cb1
B0,selection,,,20,1.75253,3.56835,1.88901,-1.69998,exploratory: publication group (the as-run pre-seal V1 reading),pub_0d412f4721
B0,selection,,,91,0.643277,0.557198,0.746457,-0.557476,exploratory: publication group (the as-run pre-seal V1 reading),pub_0ddbd861aa
B0,selection,,,3,0.865637,0.966985,0.983354,0.865637,exploratory: publication group (the as-run pre-seal V1 reading),pub_0e366d9257
B0,selection,,,7,1.44271,2.74392,1.65648,1.31189,exploratory: publication group (the as-run pre-seal V1 reading),pub_0f30549d71
B0,selection,,,4,0.627757,0.414538,0.643847,-0.627757,exploratory: publication group (the as-run pre-seal V1 reading),pub_13adc25944
B0,selection,,,16,0.402391,0.224965,0.474304,-0.263543,exploratory: publication group (the as-run pre-seal V1 reading),pub_1739bfaf95
B0,selection,,,14,1.33495,3.6961,1.92252,1.33495,exploratory: publication group (the as-run pre-seal V1 reading),pub_1845fd6492
B0,selection,,,204,1.94538,5.00166,2.23644,-1.86421,exploratory: publication group (the as-run pre-seal V1 reading),pub_19783c039b
B0,selection,,,54,0.365267,0.17049,0.412904,-0.257816,exploratory: publication group (the as-run pre-seal V1 reading),pub_1bd76c48d9
B0,selection,,,24,1.23921,2.29271,1.51417,0.427047,exploratory: publication group (the as-run pre-seal V1 reading),pub_22a136e9b9
B0,selection,,,141,2.2468,5.93931,2.43707,2.23573,exploratory: publication group (the as-run pre-seal V1 reading),pub_2319535dff
B0,selection,,,71,1.11432,1.74612,1.32141,0.143794,exploratory: publication group (the as-run pre-seal V1 reading),pub_2c76a46f18
B0,selection,,,76,1.94291,4.62614,2.15085,-1.51955,exploratory: publication group (the as-run pre-seal V1 reading),pub_2e9f2dbea9
B0,selection,,,3,2.08565,4.49091,2.11918,-2.08565,exploratory: publication group (the as-run pre-seal V1 reading),pub_30a5286662
B0,selection,,,532,1.46729,2.99207,1.72976,-0.786167,exploratory: publication group (the as-run pre-seal V1 reading),pub_37086f6378
B0,selection,,,13,0.771551,0.726511,0.852356,0.590294,exploratory: publication group (the as-run pre-seal V1 reading),pub_392f966ef2
B0,selection,,,56,0.22565,0.0908214,0.301366,0.0739321,exploratory: publication group (the as-run pre-seal V1 reading),pub_3f3b6220e0
B0,selection,,,14,1.61099,2.80679,1.67535,1.61099,exploratory: publication group (the as-run pre-seal V1 reading),pub_401a06b4b7
B0,selection,,,55,0.746758,0.933598,0.966228,0.107223,exploratory: publication group (the as-run pre-seal V1 reading),pub_44555064e1
B0,selection,,,152,0.859211,1.14988,1.07233,0.0560135,exploratory: publication group (the as-run pre-seal V1 reading),pub_45b8fb22e7
B0,selection,,,114,0.468838,0.372369,0.61022,-0.396315,exploratory: publication group (the as-run pre-seal V1 reading),pub_4a1871d85d
B0,selection,,,206,1.40896,2.55645,1.59889,-0.808416,exploratory: publication group (the as-run pre-seal V1 reading),pub_4cba27f5f3
B0,selection,,,13,0.405836,0.187605,0.433134,-0.405836,exploratory: publication group (the as-run pre-seal V1 reading),pub_4fb6e0c041
B0,selection,,,192,1.98579,4.72627,2.174,-1.74985,exploratory: publication group (the as-run pre-seal V1 reading),pub_5472c4b438
B0,selection,,,3,1.46337,3.23951,1.79986,-0.720017,exploratory: publication group (the as-run pre-seal V1 reading),pub_57ce0f7961
B0,selection,,,11,0.775968,0.660578,0.81276,0.0617434,exploratory: publication group (the as-run pre-seal V1 reading),pub_5df1eef2f5
B0,selection,,,16,0.328163,0.156944,0.396161,0.29077,exploratory: publication group (the as-run pre-seal V1 reading),pub_650a2d0d03
B0,selection,,,1,2.814,7.91861,2.814,2.814,exploratory: publication group (the as-run pre-seal V1 reading),pub_65c4c3411e
B0,selection,,,87,1.15024,1.92088,1.38596,-0.513699,exploratory: publication group (the as-run pre-seal V1 reading),pub_6b0ea2ccc9
B0,selection,,,2,1.89935,3.67589,1.91726,1.89935,exploratory: publication group (the as-run pre-seal V1 reading),pub_6f71d61137
B0,selection,,,11,1.05374,1.87107,1.36787,1.05374,exploratory: publication group (the as-run pre-seal V1 reading),pub_723ceb6c2c
