design,arm,category,level,coverage_unit_macro,n_units,n_rows
V5,B5,all,0.5,0.660899,105,4101
V5,B5,all,0.8,0.895426,105,4101
V5,B5,all,0.95,0.982725,105,4101
V1,B5,all,0.5,0.523246,65,5246
V1,B5,all,0.8,0.827627,65,5246
V1,B5,all,0.95,0.949537,65,5246
V2,B5,all,0.5,0.446843,12,4543
V2,B5,all,0.8,0.719117,12,4543
V2,B5,all,0.95,0.895534,12,4543
V5,B5,CROSS_METAL_LIGAND_TRANSFER,0.5,0.661178,105,4084
V5,B5,UNSUPPORTED,0.5,0.0555556,4,17
V5,B5,CROSS_METAL_LIGAND_TRANSFER,0.8,0.895006,105,4084
V5,B5,UNSUPPORTED,0.8,0.555556,4,17
V5,B5,CROSS_METAL_LIGAND_TRANSFER,0.95,0.982694,105,4084
V5,B5,UNSUPPORTED,0.95,0.625,4,17
