family,contrast,design,candidate,comparator,half,seed_set,decision_seed,margin,r19_verdict_full,verdict_stop_rule,verdict_ladder,verdict_freezing_screen,verdict_items_1_5,verdict_full,tost_verdict_eps0.05,tost_low_90,tost_high_90,tost_interval_construction,tost_cluster_unit,tost_n_clusters,label,batching_label,candidate_fold_scheme,comparator_fold_scheme,r19_item4,seeds_evaluated,sensitivity_set,sensitivities_not_run,reported_verdict,seed_deltas,sensitivities,cluster_unit,clustered,decides,point,percentile_low,percentile_high,bca_low,bca_high,p_two_sided,bootstrap_sd,mde_80,bias_z0,acceleration,loco_min,loco_max,n_units,n_clusters,n_resamples,bootstrap_seed,n_nan_draws,higher_is_better,primary_cluster_unit,cluster_equals_scoring_unit,clustering,model_arm,transform,key,direction,bh_family,bh_family_name,p_bh,p_bh_pooled_registered,p_bh_full_family,bh_m,bh_m_pooled_registered,bh_shared_computed_contrast
H3,B5:WITH vs B5:ACT_PERMUTED,V5,B5:WITH,B5:ACT_PERMUTED,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,0.0475592,0.157815,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": 0.0781523755977524}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": 0.07796196214831916, ""censoring_candidates_excluded_scoring"": 0.07554380005248279, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": 0.0891865621073556, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": 0.07846119110531533}",system,True,True,0.0781524,0.0448597,0.18486,0.0440698,0.176574,0,0.0384727,0.107724,-0.0283287,-0.00723441,0.0679296,0.091712,59,11,10000,19,0,False,True,False,clustered,B5,ACT_PERMUTED,B5:WITH vs B5:ACT_PERMUTED@V5,helps (WITH candidate),registered,H3,0,0,,20,20,False
H3,B5:WITH vs B5:ACT_PERMUTED,V5,B5:WITH,B5:ACT_PERMUTED,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,0.0475592,0.157815,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": 0.0781523755977524}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": 0.07796196214831916, ""censoring_candidates_excluded_scoring"": 0.07554380005248279, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": 0.0891865621073556, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": 0.07846119110531533}",publication_group,True,True,0.0781524,0.0427733,0.166887,0.0433277,0.16957,0,0.0329893,0.0923702,0.0253197,-0.00367971,0.0679296,0.091712,59,14,10000,19,0,False,False,False,clustered,B5,ACT_PERMUTED,B5:WITH vs B5:ACT_PERMUTED@V5,helps (WITH candidate),registered,H3,,,,,,False
H3,B5:ACT_PERMUTED vs B5:WITH,V5,B5:ACT_PERMUTED,B5:WITH,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,UNDECIDED,-0.157815,-0.0475592,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": -0.0781523755977524}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": -0.07796196214831916, ""censoring_candidates_excluded_scoring"": -0.07554380005248279, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": -0.0891865621073556, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": -0.07846119110531533}",system,True,True,-0.0781524,-0.18486,-0.0448597,-0.176574,-0.0440698,0,0.0384727,0.107724,0.0283287,0.00723441,-0.091712,-0.0679296,59,11,10000,19,0,False,True,False,clustered,B5,ACT_PERMUTED,B5:ACT_PERMUTED vs B5:WITH@V5,hurts (transform candidate),registered,H3,0,0,,20,20,False
H3,B5:ACT_PERMUTED vs B5:WITH,V5,B5:ACT_PERMUTED,B5:WITH,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,UNDECIDED,-0.157815,-0.0475592,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": -0.0781523755977524}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": -0.07796196214831916, ""censoring_candidates_excluded_scoring"": -0.07554380005248279, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": -0.0891865621073556, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": -0.07846119110531533}",publication_group,True,True,-0.0781524,-0.166887,-0.0427733,-0.16957,-0.0433277,0,0.0329893,0.0923702,-0.0253197,0.00367971,-0.091712,-0.0679296,59,14,10000,19,0,False,False,False,clustered,B5,ACT_PERMUTED,B5:ACT_PERMUTED vs B5:WITH@V5,hurts (transform candidate),registered,H3,,,,,,False
H3,B5:WITH vs B5:WITHOUT,V5,B5:WITH,B5:WITHOUT,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,0.0157592,0.2007,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": 0.06686613328403818}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": 0.06602576585277284, ""censoring_candidates_excluded_scoring"": 0.056944659635239425, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": 0.07755276829405655, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": 0.05887839259742786}",system,True,True,0.0668661,0.0112492,0.24569,0.00903839,0.22595,0.0064,0.0639864,0.179162,-0.0323411,-0.011574,0.0495407,0.0926258,59,11,10000,19,0,False,True,False,clustered,B5,WITHOUT,B5:WITH vs B5:WITHOUT@V5,helps (WITH candidate),registered,H3,0.0213333,0.0213333,,20,20,False
H3,B5:WITH vs B5:WITHOUT,V5,B5:WITH,B5:WITHOUT,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,0.0157592,0.2007,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": 0.06686613328403818}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": 0.06602576585277284, ""censoring_candidates_excluded_scoring"": 0.056944659635239425, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": 0.07755276829405655, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": 0.05887839259742786}",publication_group,True,True,0.0668661,0.00774912,0.216315,0.00808011,0.218656,0.018,0.0546588,0.153045,0.0203051,-0.00692667,0.0483509,0.0926258,59,14,10000,19,0,False,False,False,clustered,B5,WITHOUT,B5:WITH vs B5:WITHOUT@V5,helps (WITH candidate),registered,H3,,,,,,False
H3,B5:WITHOUT vs B5:WITH,V5,B5:WITHOUT,B5:WITH,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,UNDECIDED,-0.2007,-0.0157592,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": -0.06686613328403818}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": -0.06602576585277284, ""censoring_candidates_excluded_scoring"": -0.056944659635239425, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": -0.07755276829405655, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": -0.05887839259742786}",system,True,True,-0.0668661,-0.24569,-0.0112492,-0.22595,-0.00903839,0.0064,0.0639864,0.179162,0.0323411,0.011574,-0.0926258,-0.0495407,59,11,10000,19,0,False,True,False,clustered,B5,WITHOUT,B5:WITHOUT vs B5:WITH@V5,hurts (transform candidate),registered,H3,0.0213333,0.0213333,,20,20,False
H3,B5:WITHOUT vs B5:WITH,V5,B5:WITHOUT,B5:WITH,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,UNDECIDED,-0.2007,-0.0157592,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",batched,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": -0.06686613328403818}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": -0.06602576585277284, ""censoring_candidates_excluded_scoring"": -0.056944659635239425, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": -0.07755276829405655, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": -0.05887839259742786}",publication_group,True,True,-0.0668661,-0.216315,-0.00774912,-0.218656,-0.00808011,0.018,0.0546588,0.153045,-0.0203051,0.00692667,-0.0926258,-0.0483509,59,14,10000,19,0,False,False,False,clustered,B5,WITHOUT,B5:WITHOUT vs B5:WITH@V5,hurts (transform candidate),registered,H3,,,,,,False
H3,B6:WITH vs B6:ACT_PERMUTED,V5,B6:WITH,B6:ACT_PERMUTED,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,-0.0268424,0.0539343,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",exact,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": 0.023065770806702246}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": 0.024228410470865436, ""censoring_candidates_excluded_scoring"": 0.01719003941056718, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": -0.03592276487442825, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": 0.01743670938530395}",system,True,True,0.0230658,-0.0362428,0.0589666,-0.0400643,0.0574013,0.3534,0.0247454,0.0692872,-0.0269495,-0.00825434,0.00998795,0.0359111,59,11,10000,19,0,False,True,False,clustered,B6,ACT_PERMUTED,B6:WITH vs B6:ACT_PERMUTED@V5,helps (WITH candidate),registered,H3,0.525714,0.525714,,20,20,False
H3,B6:WITH vs B6:ACT_PERMUTED,V5,B6:WITH,B6:ACT_PERMUTED,selection,discovery,104729,0.105689,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,-0.0268424,0.0539343,"conservative envelope: low = min(percentile 90 %, BCa 90 %), high = max(percentile 90 %, BCa 90 %)",system,11,"discovery, optimistically biased (selection half)",exact,,,NOT_EVALUATED,104729,reduced sensitivity set (addendum 1),"HNO3_only_cells, V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training, strict_setting",FAIL,"{""104729"": 0.023065770806702246}","{""HNO3_only_cells"": ""UNTESTABLE"", ""V5-P"": ""UNTESTABLE"", ""V5-cell-only"": ""UNTESTABLE"", ""acid_grid_rows_excluded"": 0.024228410470865436, ""censoring_candidates_excluded_scoring"": 0.01719003941056718, ""loose_setting"": ""UNTESTABLE"", ""non_DGA_stratum"": -0.03592276487442825, ""parent_structure_hiding"": ""UNTESTABLE"", ""sr_iii_dropped_training"": ""UNTESTABLE"", ""strict_setting"": ""UNTESTABLE"", ""wildcard_copies_excluded_scoring"": 0.01743670938530395}",publication_group,True,True,0.0230658,-0.065821,0.0633438,-0.0913536,0.0594042,0.4544,0.0337331,0.0944528,-0.0524125,-0.0460375,0.012057,0.0429969,59,14,10000,19,0,False,False,False,clustered,B6,ACT_PERMUTED,B6:WITH vs B6:ACT_PERMUTED@V5,helps (WITH candidate),registered,H3,,,,,,False
