job,half,arm,fallback_level,n_row_entries,share_of_arm_half
V5__primary,confirmation,B0,B0,2722,1
V5__primary,confirmation,B1,B1:state,2722,1
V5__primary,confirmation,B2,B2:system,2722,1
V5__primary,confirmation,B3,B3x,2722,1
V5__primary,confirmation,B3i,B3i,964,0.354151
V5__primary,confirmation,B3i,B3x,1758,0.645849
V5__primary,confirmation,B3l,B3l,2722,1
V5__primary,confirmation,B3x,B3x,2722,1
V5__primary,confirmation,B4,B4l,471,0.173035
V5__primary,confirmation,B4,B4x,2251,0.826965
V5__primary,confirmation,B4l,B4l,2722,1
V5__primary,confirmation,B4x,B2:expert,174,0.0639236
V5__primary,confirmation,B4x,B2:family,297,0.109111
V5__primary,confirmation,B4x,B4x,2251,0.826965
V5__primary,confirmation,B7,B7,2722,1
V5__primary,selection,B0,B0,4101,1
V5__primary,selection,B1,B1:state,4101,1
V5__primary,selection,B2,B2:system,4101,1
V5__primary,selection,B3,B3x,4101,1
V5__primary,selection,B3i,B3i,3004,0.732504
V5__primary,selection,B3i,B3x,1097,0.267496
V5__primary,selection,B3l,B3l,4101,1
V5__primary,selection,B3x,B3x,4101,1
V5__primary,selection,B4,B4l,316,0.0770544
V5__primary,selection,B4,B4x,3785,0.922946
V5__primary,selection,B4l,B2:system,9,0.00219459
V5__primary,selection,B4l,B4l,4092,0.997805
V5__primary,selection,B4x,B2:expert,23,0.00560839
V5__primary,selection,B4x,B2:family,293,0.071446
V5__primary,selection,B4x,B4x,3785,0.922946
V5__primary,selection,B7,B3x,7,0.0017069
V5__primary,selection,B7,B7,4094,0.998293
V1__copy,confirmation,B0,B0,5329,1
V1__copy,confirmation,B1,B0,45,0.00844436
V1__copy,confirmation,B1,B1:element_unknown_state,27,0.00506662
V1__copy,confirmation,B1,B1:state,5257,0.986489
V1__copy,confirmation,B2,B2:expert,248,0.0465378
V1__copy,confirmation,B2,B2:family,1475,0.276787
V1__copy,confirmation,B2,B2:system,3606,0.676675
V1__copy,confirmation,B3,B2:family,27,0.00506662
V1__copy,confirmation,B3,B2:system,27,0.00506662
V1__copy,confirmation,B3,B3,2785,0.522612
V1__copy,confirmation,B3,B3l,1710,0.320886
V1__copy,confirmation,B3,B3x,780,0.146369
V1__copy,confirmation,B3i,B2:expert,248,0.0465378
V1__copy,confirmation,B3i,B2:family,1475,0.276787
V1__copy,confirmation,B3i,B2:system,41,0.00769375
V1__copy,confirmation,B3i,B3,2785,0.522612
V1__copy,confirmation,B3i,B3i,133,0.0249578
V1__copy,confirmation,B3i,B3x,647,0.121411
V1__copy,confirmation,B3l,B2:family,27,0.00506662
V1__copy,confirmation,B3l,B2:system,45,0.00844436
V1__copy,confirmation,B3l,B3,2785,0.522612
V1__copy,confirmation,B3l,B3l,2472,0.463877
V1__copy,confirmation,B3x,B2:expert,248,0.0465378
V1__copy,confirmation,B3x,B2:family,1475,0.276787
V1__copy,confirmation,B3x,B2:system,41,0.00769375
V1__copy,confirmation,B3x,B3,2785,0.522612
V1__copy,confirmation,B3x,B3x,780,0.146369
V1__copy,confirmation,B4,B2:family,27,0.00506662
V1__copy,confirmation,B4,B2:system,27,0.00506662
V1__copy,confirmation,B4,B4,2785,0.522612
V1__copy,confirmation,B4,B4l,1710,0.320886
V1__copy,confirmation,B4,B4x,780,0.146369
V1__copy,confirmation,B4l,B2:family,27,0.00506662
V1__copy,confirmation,B4l,B2:system,45,0.00844436
V1__copy,confirmation,B4l,B4,2785,0.522612
V1__copy,confirmation,B4l,B4l,2472,0.463877
V1__copy,confirmation,B4x,B2:expert,248,0.0465378
V1__copy,confirmation,B4x,B2:family,1475,0.276787
V1__copy,confirmation,B4x,B2:system,41,0.00769375
V1__copy,confirmation,B4x,B4,2785,0.522612
V1__copy,confirmation,B4x,B4x,780,0.146369
V1__copy,confirmation,B7,B2:expert,248,0.0465378
V1__copy,confirmation,B7,B2:family,1475,0.276787
V1__copy,confirmation,B7,B2:system,41,0.00769375
V1__copy,confirmation,B7,B3,7,0.00131357
V1__copy,confirmation,B7,B3x,13,0.00243948
V1__copy,confirmation,B7,B7,3545,0.665228
V1__copy,selection,B0,B0,5246,1
V1__copy,selection,B1,B0,14,0.0026687
V1__copy,selection,B1,B1:element_unknown_state,28,0.0053374
V1__copy,selection,B1,B1:state,5204,0.991994
V1__copy,selection,B2,B0,111,0.021159
V1__copy,selection,B2,B2:expert,180,0.0343119
V1__copy,selection,B2,B2:family,1575,0.300229
V1__copy,selection,B2,B2:system,3380,0.6443
V1__copy,selection,B3,B3,3028,0.577202
V1__copy,selection,B3,B3l,1866,0.3557
V1__copy,selection,B3,B3x,352,0.0670987
V1__copy,selection,B3i,B0,111,0.021159
V1__copy,selection,B3i,B2:expert,180,0.0343119
V1__copy,selection,B3i,B2:family,1575,0.300229
V1__copy,selection,B3i,B3,3028,0.577202
V1__copy,selection,B3i,B3i,115,0.0219215
V1__copy,selection,B3i,B3x,237,0.0451773
V1__copy,selection,B3l,B2:system,42,0.0080061
V1__copy,selection,B3l,B3,3028,0.577202
V1__copy,selection,B3l,B3l,2176,0.414792
V1__copy,selection,B3x,B0,111,0.021159
V1__copy,selection,B3x,B2:expert,180,0.0343119
V1__copy,selection,B3x,B2:family,1575,0.300229
V1__copy,selection,B3x,B3,3028,0.577202
V1__copy,selection,B3x,B3x,352,0.0670987
V1__copy,selection,B4,B4,3028,0.577202
V1__copy,selection,B4,B4l,1866,0.3557
V1__copy,selection,B4,B4x,352,0.0670987
V1__copy,selection,B4l,B2:system,42,0.0080061
V1__copy,selection,B4l,B4,3028,0.577202
V1__copy,selection,B4l,B4l,2176,0.414792
V1__copy,selection,B4x,B0,111,0.021159
V1__copy,selection,B4x,B2:expert,180,0.0343119
V1__copy,selection,B4x,B2:family,1575,0.300229
V1__copy,selection,B4x,B4,3028,0.577202
V1__copy,selection,B4x,B4x,352,0.0670987
V1__copy,selection,B7,B0,111,0.021159
V1__copy,selection,B7,B2:expert,180,0.0343119
V1__copy,selection,B7,B2:family,1575,0.300229
V1__copy,selection,B7,B3,229,0.0436523
V1__copy,selection,B7,B7,3151,0.600648
V0__rows,none,B0,B0,52875,1
V0__rows,none,B1,B0,5,9.45626e-05
V0__rows,none,B1,B1:state,52870,0.999905
V0__rows,none,B2,B2:expert,5,9.45626e-05
V0__rows,none,B2,B2:family,66,0.00124823
V0__rows,none,B2,B2:system,52804,0.998657
V0__rows,none,B3,B3,48448,0.916274
V0__rows,none,B3,B3l,71,0.00134279
V0__rows,none,B3,B3x,4356,0.082383
V0__rows,none,B3i,B2:expert,5,9.45626e-05
V0__rows,none,B3i,B2:family,66,0.00124823
V0__rows,none,B3i,B3,48448,0.916274
V0__rows,none,B3i,B3i,3047,0.0576265
V0__rows,none,B3i,B3x,1309,0.0247565
V0__rows,none,B3l,B2:system,5,9.45626e-05
V0__rows,none,B3l,B3,48448,0.916274
V0__rows,none,B3l,B3l,4422,0.0836312
V0__rows,none,B3x,B2:expert,5,9.45626e-05
V0__rows,none,B3x,B2:family,66,0.00124823
V0__rows,none,B3x,B3,48448,0.916274
V0__rows,none,B3x,B3x,4356,0.082383
V0__rows,none,B4,B2:family,135,0.00255319
V0__rows,none,B4,B2:system,135,0.00255319
V0__rows,none,B4,B4,28530,0.539574
V0__rows,none,B4,B4l,17934,0.339177
V0__rows,none,B4,B4x,6141,0.116142
V0__rows,none,B4l,B2:family,135,0.00255319
V0__rows,none,B4l,B2:system,435,0.00822695
V0__rows,none,B4l,B4,28530,0.539574
V0__rows,none,B4l,B4l,23775,0.449645
V0__rows,none,B4x,B0,555,0.0104965
V0__rows,none,B4x,B2:expert,2160,0.0408511
V0__rows,none,B4x,B2:family,15284,0.289059
V0__rows,none,B4x,B2:system,205,0.00387707
V0__rows,none,B4x,B4,28530,0.539574
V0__rows,none,B4x,B4x,6141,0.116142
V0__rows,none,B7,B2:expert,5,9.45626e-05
V0__rows,none,B7,B2:family,66,0.00124823
V0__rows,none,B7,B3,527,0.0099669
V0__rows,none,B7,B3x,163,0.00308274
V0__rows,none,B7,B7,52114,0.985608
V2__element,confirmation,B0,B0,5603,1
V2__element,confirmation,B1,B0,5603,1
V2__element,confirmation,B2,B2:expert,4,0.000713903
V2__element,confirmation,B2,B2:family,179,0.0319472
V2__element,confirmation,B2,B2:system,5420,0.967339
V2__element,confirmation,B3,B2:expert,4,0.000713903
V2__element,confirmation,B3,B2:family,179,0.0319472
V2__element,confirmation,B3,B3x,5420,0.967339
V2__element,confirmation,B3i,B2:expert,4,0.000713903
V2__element,confirmation,B3i,B2:family,179,0.0319472
V2__element,confirmation,B3i,B3i,3228,0.57612
V2__element,confirmation,B3i,B3x,2192,0.391219
