feature,importance
delta3d__feat3d__polyhedron__donor_atomic_number_09,0.06376941054866521
pair__delta_ionic_radius,0.042579984431961225
base__ecfp_1454,0.037765317213255274
pair__delta_Z,0.024294978948768545
base__ecfp_649,0.024105773781643174
base__ecfp_872,0.019625340499001744
pair__Z_mean,0.017963604425715266
pair__ionic_radius_A,0.017571808845632912
delta3d__feat3d__complex_physical__coordination_number,0.01610803785123309
pair__ionic_radius_mean,0.01580007437522616
base__cond__acid_concentration_M,0.015664106045440412
pair__Z_B,0.015352749165728758
pair__ionic_radius_B,0.01409716787901654
delta3d__feat3d__polyhedron__coordination_number,0.013054866803858723
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,0.011941577512146452
delta3d__feat3d__complex_physical__donor_partial_charge_min,0.010778418095549016
pair__Z_A,0.010440898476495548
base__NumRotatableBonds,0.010283212856748122
delta3d__feat3d__polyhedron__donor_angle_01_03_deg,0.010127446809604798
base__ecfp_358,0.009026642179921341
delta3d__feat3d__polyhedron__ln_donor_distance_02,0.007609433240769595
delta3d__feat3d__polyhedron__donor_angle_02_03_deg,0.007531068880083913
base__cond__extractant_concentration_M,0.00751312786600037
delta3d__feat3d__polyhedron__donor_angle_01_04_deg,0.0074501427974058764
delta3d__feat3d__polyhedron__donor_angle_03_08_deg,0.007269524230903269
base__ecfp_1209,0.007262000761173847
delta3d__feat3d__polyhedron__donor_angle_04_05_deg,0.007184185250620195
base__ecfp_523,0.007076060047864662
delta3d__feat3d__polyhedron__donor_angle_01_06_deg,0.006975223728011844
delta3d__feat3d__polyhedron__donor_angle_01_08_deg,0.006946530495001529
base__ecfp_695,0.006869642988827957
base__NumHAcceptors,0.0068660665480682675
base__ecfp_1407,0.006763673163045766
base__ecfp_1669,0.006737091805206964
delta3d__feat3d__polyhedron__donor_angle_01_02_deg,0.006653839766294608
delta3d__feat3d__complex_physical__donor_partial_charge_04,0.006580507028968878
delta3d__feat3d__polyhedron__donor_angle_03_09_deg,0.006447206417079777
base__FractionCSP3,0.006327720900419686
base__MolLogP,0.006245571337434954
base__TPSA,0.006239701209630798
delta3d__feat3d__polyhedron__donor_angle_01_09_deg,0.006171788402721191
base__ecfp_13,0.006103048705918307
base__ecfp_1135,0.006076777984632182
delta3d__feat3d__complex_physical__ln_donor_distance_mean,0.0060447683424039835
delta3d__feat3d__polyhedron__donor_angle_03_06_deg,0.00603238541832062
delta3d__feat3d__polyhedron__donor_angle_04_07_deg,0.005972608045606218
base__MolWt,0.0057881404065198835
delta3d__feat3d__polyhedron__donor_angle_05_06_deg,0.005673945412059764
base__ecfp_656,0.005658631556474748
delta3d__feat3d__polyhedron__donor_angle_02_06_deg,0.0056526701001790676
base__ecfp_1152,0.005618192898536368
delta3d__feat3d__polyhedron__donor_angle_03_07_deg,0.005505371304923683
delta3d__feat3d__polyhedron__donor_angle_02_07_deg,0.005472397166274223
delta3d__feat3d__polyhedron__donor_angle_02_05_deg,0.005422019418418523
base__ecfp_1917,0.005381569501096466
delta3d__feat3d__polyhedron__donor_angle_07_08_deg,0.005223427179735589
delta3d__feat3d__complex_physical__donor_partial_charge_03,0.005152715884218992
base__cond__diluent__toluene,0.005118360673640836
base__ecfp_1716,0.005043710428625512
delta3d__feat3d__polyhedron__donor_angle_03_04_deg,0.004922271310556433
base__ecfp_1405,0.0048928557107209645
base__ecfp_1444,0.004844489519545058
delta3d__feat3d__polyhedron__donor_angle_02_08_deg,0.004713566609798293
delta3d__feat3d__polyhedron__ln_donor_distance_08,0.004704163202766885
delta3d__feat3d__polyhedron__ln_donor_distance_05,0.004537538192930782
base__ecfp_2004,0.004485389207505055
delta3d__feat3d__complex_physical__dipole_magnitude,0.004465648088019763
delta3d__feat3d__polyhedron__donor_angle_02_09_deg,0.004432039557208543
delta3d__feat3d__polyhedron__ln_donor_distance_07,0.004368371777532221
delta3d__feat3d__complex_physical__donor_partial_charge_07,0.004317036420223761
base__ecfp_1096,0.004284919401524351
base__cond__metal_concentration_mM,0.004265341382354705
delta3d__feat3d__complex_physical__metal_partial_charge,0.0042337373756808905
delta3d__feat3d__polyhedron__ln_donor_distance_03,0.004202688757256966
base__cond__acid__hcl,0.004071090366725647
base__ecfp_283,0.004056056238178459
delta3d__feat3d__polyhedron__donor_angle_05_08_deg,0.003962039897653403
delta3d__feat3d__polyhedron_scalars__coreCN_max_donor_dist,0.003949129493931735
delta3d__feat3d__polyhedron__ln_donor_distance_09,0.003946868794697052
delta3d__feat3d__complex_physical__ln_donor_distance_std,0.003931469389024992
delta3d__feat3d__complex_physical__donor_partial_charge_05,0.003931257722250734
base__ecfp_251,0.0038787884030612916
delta3d__feat3d__polyhedron__donor_angle_06_07_deg,0.003862954980524328
delta3d__feat3d__polyhedron__donor_angle_05_07_deg,0.0037798684794619597
delta3d__feat3d__polyhedron__donor_angle_01_05_deg,0.0037370271995780992
delta3d__feat3d__polyhedron__donor_angle_04_06_deg,0.003727280236003888
base__ecfp_1272,0.0037040955323788646
delta3d__feat3d__polyhedron__donor_angle_01_07_deg,0.0036883192443808396
delta3d__feat3d__polyhedron__donor_angle_04_08_deg,0.003572074246695175
delta3d__feat3d__complex_physical__donor_partial_charge_09,0.003552283132485078
delta3d__feat3d__polyhedron__ln_donor_distance_04,0.0035262432987667215
delta3d__feat3d__polyhedron__donor_angle_02_04_deg,0.003517451531717636
delta3d__feat3d__complex_physical__ln_donor_distance_max,0.0035122440314061306
base__ecfp_807,0.0035067895688283613
delta3d__feat3d__polyhedron_scalars__next_donor_dist,0.00348153387452933
base__ecfp_1143,0.003464362949079072
delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.003413142763806868
base__ecfp_130,0.003325358993191561
delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.0031792976378364132
delta3d__feat3d__polyhedron__ln_donor_distance_06,0.0031476721310365503
base__ecfp_1039,0.003089244328526469
base__cond__temperature_C,0.003041323915169172
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,0.002923415164351363
delta3d__feat3d__complex_physical__ln_donor_distance_min,0.0029164347314562544
base__cond__diluent__other,0.0028043640251715503
delta3d__feat3d__polyhedron__donor_atomic_number_07,0.002786246316558848
delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.0027397831085040334
delta3d__feat3d__polyhedron_scalars__coreCN_donor_gap,0.0026944514621534132
base__ecfp_1838,0.0026662692075443864
base__ecfp_650,0.002648153609087236
missingindicator_delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.0026480535076558406
delta3d__feat3d__complex_physical__donor_partial_charge_01,0.0025698532521856794
base__ecfp_348,0.0025677012409605787
delta3d__feat3d__polyhedron__ln_donor_distance_01,0.00250053901240761
delta3d__feat3d__complex_physical__donor_partial_charge_08,0.002497651682492635
base__ecfp_1950,0.002485808167146191
base__ecfp_1352,0.0024653455093575608
base__ecfp_739,0.0024005918033312592
delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.0023759560210203025
delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.002346231429676479
delta3d__feat3d__polyhedron__donor_angle_08_09_deg,0.0023044977608065093
delta3d__feat3d__complex_physical__donor_partial_charge_max,0.0023018378006686964
base__ecfp_1164,0.0022835376813653513
base__ecfp_874,0.0021600085113329436
base__ecfp_1512,0.002126450422284348
base__ecfp_1442,0.002118831079929662
delta3d__feat3d__complex_physical__observed_donors_within_3p10A,0.0020848487971059982
delta3d__feat3d__complex_physical__donor_partial_charge_std,0.001936573662349634
delta3d__feat3d__complex_physical__donor_partial_charge_02,0.001872455553639788
base__ecfp_1238,0.0017801929140927465
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_05,0.0017025289287166008
base__ecfp_908,0.00169595256035239
base__ecfp_1019,0.0016932024548779107
base__cond__diluent__isopar_l_with_30_vol_exxal_13,0.001664667326145857
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.001634102406988742
delta3d__feat3d__complex_physical__donor_partial_charge_06,0.0015811761093441166
base__ecfp_1163,0.001580768986655513
base__ecfp_1269,0.0015543153651770283
base__ecfp_1,0.0015062208754544019
base__cond__acid__hno3,0.0014997893084557365
base__ecfp_755,0.0014693004615828514
missingindicator_base__cond__metal_concentration_mM,0.0014549968304257129
base__cond__contact_time_min,0.0013994276178530517
base__ecfp_235,0.0013790895434444346
delta3d__feat3d__polyhedron__donor_atomic_number_06,0.0013471561014929561
base__ecfp_1724,0.0013422689788198045
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_09,0.0013363533855958725
base__ecfp_896,0.0013081305304127142
base__ecfp_294,0.001297288806537639
missingindicator_base__cond__contact_time_min,0.0012466590154597474
base__ecfp_1598,0.0012073955923375865
base__cond__diluent__n_dodecane,0.0012038557315940401
base__ecfp_1620,0.001193868753899905
base__ecfp_779,0.0011614143487204266
base__ecfp_1502,0.0011537999934945525
base__ecfp_1384,0.0011497835714128414
base__ecfp_950,0.001149114874949333
base__ecfp_1653,0.0011478125519429538
base__cond__diluent__chcl3,0.0011311587057387656
base__ecfp_850,0.001129081095193156
base__NumHDonors,0.0011218239480091246
base__ecfp_591,0.0010949980476785007
base__NumAromaticRings,0.0010573826982828668
base__ecfp_1088,0.0010206682068400483
base__ecfp_1897,0.0010038252182502086
base__ecfp_463,0.0009573596775926878
base__ecfp_1957,0.0009254316359755245
missingindicator_delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.0009251424733384269
base__ecfp_1911,0.0009160983861574807
base__ecfp_794,0.0009145506791692162
base__ecfp_1271,0.0009058467260721148
missingindicator_delta3d__feat3d__polyhedron__donor_angle_03_09_deg,0.0009025675198712876
