feature,deployment_delta3d_blend_weight,component,interpretation,importance
pair__delta_Z,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.11595706590075534
pair__delta_ionic_radius,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.11520175637103643
pair__ionic_radius_B,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.02968893371038676
delta3d__feat3d__complex_physical__coordination_number,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.025414521467320678
pair__Z_mean,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.025150359268345242
pair__ionic_radius_A,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.024319036511362403
pair__Z_A,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.02244249299640119
pair__ionic_radius_mean,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.021952465529922877
pair__Z_B,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.02127037093307664
base__ecfp_1911,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.015277180122079244
base__MolLogP,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014933939460285572
delta3d__feat3d__complex_physical__donor_partial_charge_min,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014778588281636557
base__ecfp_591,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014764675691736373
base__MolWt,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014632672706393126
delta3d__feat3d__derived_invariant__donor_angle_median_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01402561197029308
base__cond__acid_concentration_M,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.013232222357751067
delta3d__feat3d__derived_invariant__shell_distance_cv,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012956671618513344
base__ecfp_13,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012792145376269961
delta3d__feat3d__complex_physical__dipole_magnitude,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011941697786183815
base__ecfp_1444,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011624930711011158
base__FractionCSP3,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011332800070751981
delta3d__feat3d__complex_physical__metal_partial_charge,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011309588512448494
base__ecfp_348,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011113835401919727
delta3d__feat3d__polyhedron_scalars__coreCN_donor_gap,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010960878588460716
base__NumRotatableBonds,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010903969608800248
base__ecfp_1275,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010845002809797354
delta3d__feat3d__complex_physical__ln_donor_distance_std,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010671696843923273
delta3d__feat3d__derived_invariant__donor_angle_q75_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010546882063302043
base__cond__metal_concentration_mM,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010384030804714969
delta3d__feat3d__complex_physical__ln_donor_distance_min,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010026246160712522
delta3d__feat3d__derived_invariant__shell_distance_span,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00992575662597346
base__cond__extractant_concentration_M,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009925066859687472
delta3d__feat3d__derived_invariant__shell_clearance_mean,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009808820122698961
delta3d__feat3d__derived_invariant__donor_angle_max_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009741356635507781
base__ecfp_1669,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009689707053938708
delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009551869432987801
base__ecfp_1143,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009548324762071726
delta3d__feat3d__complex_physical__ln_donor_distance_max,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009452982664052409
base__ecfp_1649,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009326665890714956
delta3d__feat3d__complex_physical__donor_partial_charge_max,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009092482433902134
base__cond__diluent__toluene,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00905518745198729
delta3d__feat3d__complex_physical__donor_partial_charge_std,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00876315922544157
delta3d__feat3d__derived_invariant__donor_angle_q25_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00855948331628347
base__ecfp_1163,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00835039874851188
delta3d__feat3d__derived_invariant__donor_angle_mean_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008242595588962537
base__ecfp_1442,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00793798325847055
delta3d__feat3d__derived_invariant__donor_angle_std_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.0076877897514260754
delta3d__feat3d__complex_physical__ln_donor_distance_mean,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007556957981276326
base__ecfp_1272,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007522437472124869
base__cond__temperature_C,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00742245561295648
base__cond__acid__hno3,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007128643846226976
base__ecfp_1454,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007061221096157608
delta3d__feat3d__derived_invariant__donor_angle_min_deg,0.75,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006464532774222921
