grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction_delta3d_vs_2d_ensemble
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,471,0.12334675950590496,0.16950172925539694,0.7770700636942676,-0.09255484695972149,0.1179853264734699,0.16493343633338117,0.7876857749469215,-0.034456889818251124,0.12334675950590496,0.16950172925539694,0.7770700636942676,-0.09255484695972149,0.11729440516935327,0.16193389774318187,0.8004246284501062,0.002826977708491385,0.12080569330874544,0.16674624755918743,0.8004246284501062,-0.057321638612607195,0.0025410661971595194
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,95,0.14430962487518947,0.22075238490208154,0.8421052631578947,0.06214810416564709,0.14530318580148324,0.22161764138771572,0.8421052631578947,0.054781726033992895,0.14504856660640017,0.22138595219240154,0.8421052631578947,0.05675704158436812,0.14433173376101863,0.21407161895243484,0.8315789473684211,0.11805472206475587,0.14331668471117961,0.2166189593889687,0.8315789473684211,0.09694046458381678,0.001731881895220555
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.08102965551321765,0.10158531917342063,0.4393939393939394,0.14825261885151753,0.08351233136521752,0.10323799919169219,0.4393939393939394,0.1203132184122424,0.08102965551321765,0.10158531917342063,0.4393939393939394,0.14825261885151753,0.09106584781004928,0.11014068693264985,0.4393939393939394,-0.001254473757593244,0.09106584781004928,0.11014068693264985,0.4393939393939394,-0.001254473757593244,-0.010036192296831628
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.12778283765295653,0.1638876248086468,0.2807017543859649,-1.1734919241173225,0.12137176974080104,0.15644730545586413,0.2807017543859649,-0.9806232995787159,0.12778283765295653,0.1638876248086468,0.2807017543859649,-1.1734919241173225,0.11798941211089428,0.15329633628077668,0.38596491228070173,-0.9016441845001646,0.12778283765295653,0.1638876248086468,0.2807017543859649,-1.1734919241173225,0.0
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.1154069278664657,0.16564193568065408,0.725,-0.7824285433866531,0.11496993582769437,0.1656654127488009,0.725,-0.7829338400884707,0.1154069278664657,0.16564193568065408,0.725,-0.7824285433866531,0.09798953884766397,0.15377812639369767,0.7,-0.536245644867037,0.11030436288866294,0.16210941123833894,0.725,-0.7072141088385633,0.005102564977802759
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.07259863771641129,0.11271592402595727,0.7692307692307693,0.17232113658887893,0.07249263267623836,0.11207236596598026,0.7948717948717948,0.18174551532576555,0.07250718128533781,0.11222242402371921,0.7948717948717948,0.1795528627675338,0.08047869213408969,0.116532767922523,0.6410256410256411,0.1153174979901771,0.07278246276312957,0.1133413631661594,0.7948717948717948,0.16311038900236363,-0.0002752814777917528
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.15988708740399132,0.18333040946663204,0.5,-0.7275202108855148,0.15915415196141028,0.1805036923238861,0.5,-0.6746586630546763,0.15933738582205553,0.18117767022316475,0.5,-0.687187937028451,0.19346164939374083,0.21010298502628727,0.5,-1.2689167722218575,0.17651352809688242,0.19576686541101976,0.5,-0.9698469947548567,-0.01717614227482689
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,26,0.09214535209505609,0.13858981491639683,0.6538461538461539,-2.1204916579014688,0.09431075065756112,0.1428406897932992,0.7307692307692307,-2.3148529993057436,0.09214535209505609,0.13858981491639683,0.6538461538461539,-2.1204916579014688,0.08645162767576771,0.11930799057193271,0.6538461538461539,-1.3125943422004593,0.09214535209505609,0.13858981491639683,0.6538461538461539,-2.1204916579014688,0.0
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,25,0.13307848178462967,0.18359193178356337,0.52,-0.4216107409349039,0.1379937258848986,0.19093849153132794,0.52,-0.5376606032042865,0.13307848178462967,0.18359193178356337,0.52,-0.4216107409349039,0.12309100308539903,0.16835927013800872,0.52,-0.1954944978399764,0.12309100308539903,0.16835927013800872,0.52,-0.1954944978399764,0.00998747869923064
extractant,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,22,0.24278389521399016,0.30892262287520067,0.8636363636363636,-0.39979846826319987,0.2509522227799779,0.3159647749589237,0.8636363636363636,-0.4643450507957896,0.24278389521399016,0.30892262287520067,0.8636363636363636,-0.39979846826319987,0.24835365344192503,0.3132642613229285,0.8181818181818182,-0.4394208514134186,0.24278389521399016,0.30892262287520067,0.8636363636363636,-0.39979846826319987,0.0
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,20,0.30369233521822764,0.367626917053551,0.25,-2.699550119417773,0.30395400483178303,0.3682795691305438,0.25,-2.712697482781535,0.30369233521822764,0.367626917053551,0.25,-2.699550119417773,0.29790635123922626,0.3497763624940955,0.15,-2.349000595764193,0.29790635123922626,0.3497763624940955,0.15,-2.349000595764193,0.0057859839790013745
