context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,0.35,2.0,0.1336224561454308,0.031189664356892743,0.13029772479396662,True,
outer_0:baseline,1.0,0.7,2.0,0.14602982756070826,-0.14841795815767345,0.14270237609382377,False,
outer_0:baseline,2.0,1.0,4.0,0.15027942040539538,-0.17416427285238534,0.1494386323825873,False,
outer_0:2d_second_unshrunk,0.0,0.35,2.0,0.1344124300267927,0.019039330256007903,0.1307032526187399,True,
outer_0:2d_second_unshrunk,1.0,0.7,2.0,0.14677102841151896,-0.144747499768052,0.14203780948887665,False,
outer_0:2d_second_unshrunk,2.0,1.0,4.0,0.14945499018886851,-0.16922684916514275,0.1485605978405244,False,
outer_0:delta3d_unshrunk,0.0,0.35,2.0,0.13460110155255645,0.09867501213366936,0.12736715132119153,True,
outer_0:delta3d_unshrunk,1.0,0.7,2.0,0.14159706473141256,0.03980612041555609,0.13296700091029978,False,
outer_0:delta3d_unshrunk,2.0,1.0,4.0,0.14935125372037014,-0.05125414217341606,0.1408418211503262,False,
outer_0:2d_ensemble_weight,,,,0.13325716042261063,0.02621805851662118,0.12960779250978233,True,0.0
outer_0:2d_ensemble_weight,,,,0.13327209946321286,0.028414959179822508,0.12975599389886183,False,0.25
outer_0:2d_ensemble_weight,,,,0.13330224417580247,0.029900107250259045,0.12992279702756665,False,0.5
outer_0:2d_ensemble_weight,,,,0.13338026057608487,0.03067350272793079,0.13011825263232002,False,0.75
outer_0:2d_ensemble_weight,,,,0.13353815557622767,0.030735145612837744,0.13037256040677628,False,1.0
outer_0:delta3d_weight,,,,0.13325716042261063,0.02621805851662118,0.12960779250978233,False,0.0
outer_0:delta3d_weight,,,,0.1324368682435336,0.053770157002566266,0.1282390507059205,True,0.25
outer_0:delta3d_weight,,,,0.1328878069885027,0.07495741526822652,0.12760734725933348,False,0.5
outer_0:delta3d_weight,,,,0.1339605572229009,0.0897798333136014,0.1274626987325893,False,0.75
outer_0:delta3d_weight,,,,0.13551997417525144,0.09823741113869122,0.12787915135446146,False,1.0
outer_1:baseline,0.0,0.35,2.0,0.12922509784476105,0.11597165607525439,0.11205771717259125,True,
outer_1:baseline,1.0,0.7,2.0,0.1310825687101581,0.04453370526273448,0.11913390015431406,False,
outer_1:baseline,2.0,1.0,4.0,0.13060099606961004,-0.005590690549723831,0.12254996807039979,False,
outer_1:2d_second_unshrunk,0.0,0.35,2.0,0.12901239259783148,0.11775832045359103,0.1123970765069453,True,
outer_1:2d_second_unshrunk,1.0,0.7,2.0,0.13148259680872204,0.04315723726374898,0.11951610367692493,False,
outer_1:2d_second_unshrunk,2.0,1.0,4.0,0.12973644073486082,0.004372833511669394,0.12172194666622609,False,
outer_1:delta3d_unshrunk,0.0,0.35,2.0,0.131384647741968,0.12339943951549082,0.1124523035681327,True,
outer_1:delta3d_unshrunk,1.0,0.7,2.0,0.13287930886823568,0.0891580110034933,0.11539324177184296,False,
outer_1:delta3d_unshrunk,2.0,1.0,4.0,0.13447073799194068,0.030872797410514408,0.1175564836600486,False,
outer_1:2d_ensemble_weight,,,,0.12917975799949194,0.11938804960830396,0.11194485777922318,False,0.0
outer_1:2d_ensemble_weight,,,,0.12909787712031467,0.11818889718972125,0.11226654650331531,False,0.25
outer_1:2d_ensemble_weight,,,,0.129020095930188,0.11647615453340532,0.11263164753980597,False,0.5
outer_1:2d_ensemble_weight,,,,0.12900456620770728,0.11424982163935582,0.11305998724062015,True,0.75
outer_1:2d_ensemble_weight,,,,0.12902029757796618,0.1115098985075732,0.11354104783345026,False,1.0
outer_1:delta3d_weight,,,,0.12917975799949194,0.11938804960830396,0.11194485777922318,False,0.0
outer_1:delta3d_weight,,,,0.12797836290749479,0.12527092590700306,0.11134455279753266,True,0.25
outer_1:delta3d_weight,,,,0.12815458057125367,0.12460602064190751,0.11143413107782582,False,0.5
outer_1:delta3d_weight,,,,0.12925169805421555,0.1173933338130172,0.11231190834791865,False,0.75
outer_1:delta3d_weight,,,,0.1312923801780693,0.10363286542033256,0.11384290102235615,False,1.0
outer_2:baseline,0.0,0.35,2.0,0.13717878804610234,-0.002228860094537044,0.12426784246307279,True,
outer_2:baseline,1.0,0.7,2.0,0.14359495385107127,-0.14271703125894453,0.13427072012129299,False,
outer_2:baseline,2.0,1.0,4.0,0.14903976537055613,-0.13710086794206133,0.1322667767328304,False,
outer_2:2d_second_unshrunk,0.0,0.35,2.0,0.1361424288053996,-0.00474827275326728,0.12485644310083821,True,
outer_2:2d_second_unshrunk,1.0,0.7,2.0,0.14275824335429768,-0.1379818866244804,0.13321865796339433,False,
outer_2:2d_second_unshrunk,2.0,1.0,4.0,0.1491901505457201,-0.13850344412664595,0.13232353936555208,False,
outer_2:delta3d_unshrunk,0.0,0.35,2.0,0.13300211888961846,0.03877294140413756,0.12359689412595766,True,
outer_2:delta3d_unshrunk,1.0,0.7,2.0,0.1384840545226326,-0.0013549210666154998,0.12580305909852052,False,
outer_2:delta3d_unshrunk,2.0,1.0,4.0,0.14277306398137413,-0.04779994732684667,0.12730653976055134,False,
outer_2:2d_ensemble_weight,,,,0.13812692765140944,-0.027004989227687348,0.12658610851824928,False,0.0
outer_2:2d_ensemble_weight,,,,0.1376434879104393,-0.022331196251835994,0.1261356815378135,False,0.25
outer_2:2d_ensemble_weight,,,,0.13717828811926297,-0.018124551166129654,0.1257148981709734,False,0.5
outer_2:2d_ensemble_weight,,,,0.1367400128818683,-0.014385053970568329,0.12532381759408764,False,0.75
outer_2:2d_ensemble_weight,,,,0.13636259343926044,-0.011112704665151796,0.12497698506767321,True,1.0
outer_2:delta3d_weight,,,,0.13812692765140944,-0.027004989227687348,0.12658610851824928,False,0.0
outer_2:delta3d_weight,,,,0.13503811910657273,0.010521515295652373,0.12352921382983352,False,0.25
outer_2:delta3d_weight,,,,0.13303706667125925,0.03697839316446372,0.12176264547507877,False,0.5
outer_2:delta3d_weight,,,,0.13237619274748913,0.05236564437874647,0.12107683504959378,True,0.75
outer_2:delta3d_weight,,,,0.13246472615739424,0.05668326893850084,0.12148329375887416,False,1.0
outer_3:baseline,0.0,0.35,2.0,0.11852937822867393,0.017655696286895006,0.12625531376581095,True,
outer_3:baseline,1.0,0.7,2.0,0.12861491226313998,-0.15439037943098533,0.13765628646686087,False,
outer_3:baseline,2.0,1.0,4.0,0.13141686615347734,-0.07818118241479022,0.13496898281612213,False,
outer_3:2d_second_unshrunk,0.0,0.35,2.0,0.11892157829478005,0.00963581278309289,0.1276769360884972,True,
outer_3:2d_second_unshrunk,1.0,0.7,2.0,0.12776389569353763,-0.15196420752748208,0.1371554227959231,False,
outer_3:2d_second_unshrunk,2.0,1.0,4.0,0.13102254935750163,-0.09064099120526192,0.13717001012973326,False,
outer_3:delta3d_unshrunk,0.0,0.35,2.0,0.13173237426259135,0.06643699639549372,0.12395619868632968,True,
outer_3:delta3d_unshrunk,1.0,0.7,2.0,0.13801253799556884,-6.218742469976668e-05,0.1283908210707389,False,
outer_3:delta3d_unshrunk,2.0,1.0,4.0,0.14344408728031519,-0.0765460170949066,0.13418861516838482,False,
outer_3:2d_ensemble_weight,,,,0.11827576566820233,-0.000882639538170471,0.12786188861688702,True,0.0
outer_3:2d_ensemble_weight,,,,0.11834144460062124,-0.004363613040868408,0.12802229457003184,False,0.25
outer_3:2d_ensemble_weight,,,,0.11847799366256613,-0.00849841806713636,0.1282678265122584,False,0.5
outer_3:2d_ensemble_weight,,,,0.11885609428118778,-0.013287054616974103,0.12863415090152816,False,0.75
outer_3:2d_ensemble_weight,,,,0.11953854078959283,-0.018729522690382083,0.12911692568959707,False,1.0
outer_3:delta3d_weight,,,,0.11827576566820233,-0.000882639538170471,0.12786188861688702,True,0.0
outer_3:delta3d_weight,,,,0.12059729555817052,0.025315453385811537,0.12545993197626323,False,0.25
outer_3:delta3d_weight,,,,0.12405718296508914,0.041662222636804414,0.12403337865741614,False,0.5
outer_3:delta3d_weight,,,,0.12813348705221098,0.04815766821480827,0.12384659418957582,False,0.75
outer_3:delta3d_weight,,,,0.13334244724040148,0.044801790119823104,0.12488170008607212,False,1.0
outer_4:baseline,0.0,0.35,2.0,0.14602157780947983,-0.07174016006229311,0.13789693601439545,False,
outer_4:baseline,1.0,0.7,2.0,0.15117099024377695,-0.1311273402665618,0.14340566436155577,False,
outer_4:baseline,2.0,1.0,4.0,0.14109187021360062,-0.0729214564558649,0.13993727830863548,True,
outer_4:2d_second_unshrunk,0.0,0.35,2.0,0.14804719707054156,-0.059411020446574536,0.1367283252850072,False,
outer_4:2d_second_unshrunk,1.0,0.7,2.0,0.15272437461539848,-0.13013215499658304,0.14329752262270465,False,
outer_4:2d_second_unshrunk,2.0,1.0,4.0,0.14060973108731156,-0.04964247741068872,0.1373553384705294,True,
outer_4:delta3d_unshrunk,0.0,0.35,2.0,0.14510260958341326,0.04829609771220833,0.1296657551822454,False,
outer_4:delta3d_unshrunk,1.0,0.7,2.0,0.14347713656881866,0.07273376152245736,0.12513662378264864,False,
outer_4:delta3d_unshrunk,2.0,1.0,4.0,0.1426799922968935,0.10632539533274787,0.12160681862107837,True,
outer_4:2d_ensemble_weight,,,,0.14020645863861056,-0.0712559597894522,0.14010489800482762,False,0.0
outer_4:2d_ensemble_weight,,,,0.14019368053238396,-0.0697717551487751,0.1400175531176628,False,0.25
outer_4:2d_ensemble_weight,,,,0.14018917963879501,-0.06853413281149234,0.1399509730672713,True,0.5
outer_4:2d_ensemble_weight,,,,0.14019420666695862,-0.06754309277760351,0.13990032903027286,False,0.75
outer_4:2d_ensemble_weight,,,,0.1402288430691936,-0.06679863504710881,0.13987031138015923,False,1.0
outer_4:delta3d_weight,,,,0.14020645863861056,-0.0712559597894522,0.14010489800482762,False,0.0
outer_4:delta3d_weight,,,,0.13956831703579947,-0.003578086714504325,0.13418587637002105,False,0.25
outer_4:delta3d_weight,,,,0.13947884793212625,0.04866414570898148,0.12903268789364142,True,0.5
outer_4:delta3d_weight,,,,0.14019498421138848,0.08547073748100553,0.12498546571377173,False,0.75
outer_4:delta3d_weight,,,,0.14174935862762178,0.1068416886015674,0.12220531418603066,False,1.0
full_data_deployment_model:baseline,0.0,0.35,2.0,0.1366060317205378,0.008176102653992157,0.12684523519019575,True,
full_data_deployment_model:baseline,1.0,0.7,2.0,0.1438719282639695,-0.12044630781440557,0.13603967596238514,False,
full_data_deployment_model:baseline,2.0,1.0,4.0,0.1465201368160612,-0.13864043593585662,0.14078577596714867,False,
full_data_deployment_model:delta3d,0.0,0.35,2.0,0.13244476528323276,0.09688582799093393,0.12119912132650067,True,
full_data_deployment_model:delta3d,1.0,0.7,2.0,0.13832902998685695,0.07345517689949,0.12345323910034935,False,
full_data_deployment_model:delta3d,2.0,1.0,4.0,0.14832667496367125,0.024394448984325745,0.1281797070122371,False,
full_data_deployment_model:delta3d_weight,,,,0.13643023008878977,0.02157055933371277,0.12500568406963067,False,0.0
full_data_deployment_model:delta3d_weight,,,,0.13388749835947167,0.0483191839547471,0.12316103958117748,False,0.25
full_data_deployment_model:delta3d_weight,,,,0.13240876276320696,0.06742264100362438,0.12220907283073683,True,0.5
full_data_deployment_model:delta3d_weight,,,,0.1327055853568502,0.07888093048034517,0.12221237163179864,False,0.75
full_data_deployment_model:delta3d_weight,,,,0.13381103337371092,0.08269405238490912,0.12283602407563787,False,1.0
