context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,0.35,2.0,0.1715576283225778,-0.07196144409618288,0.1386643181474406,True,
outer_0:baseline,1.0,0.7,2.0,0.17835182673797836,-0.21346350289212346,0.147083400679288,False,
outer_0:baseline,2.0,1.0,4.0,0.1841286589715939,-0.31577070421438225,0.15368552185799214,False,
outer_0:2d_second_unshrunk,0.0,0.35,2.0,0.17154966196221266,-0.09841467471862497,0.13924262161268997,True,
outer_0:2d_second_unshrunk,1.0,0.7,2.0,0.1788117676300457,-0.2143301720471824,0.1464561801696165,False,
outer_0:2d_second_unshrunk,2.0,1.0,4.0,0.18423486875188466,-0.3082101505123982,0.1538082523363087,False,
outer_0:delta3d_unshrunk,0.0,0.35,2.0,0.15752495724552723,0.10842774834580649,0.12841229313486055,True,
outer_0:delta3d_unshrunk,1.0,0.7,2.0,0.1606042363454476,0.07267338328100059,0.13157853461330443,False,
outer_0:delta3d_unshrunk,2.0,1.0,4.0,0.16464836104721065,0.0406549650352358,0.13527266749009026,False,
outer_0:2d_ensemble_weight,,,,0.17137799605638568,-0.09231362687551181,0.13896666692202717,False,0.0
outer_0:2d_ensemble_weight,,,,0.1712787045172736,-0.09263181496351103,0.13862855092118023,False,0.25
outer_0:2d_ensemble_weight,,,,0.17124844291885621,-0.09370041987536015,0.1383498293276384,False,0.5
outer_0:2d_ensemble_weight,,,,0.17123834112220526,-0.09551944161105896,0.13812407238090277,True,0.75
outer_0:2d_ensemble_weight,,,,0.17126482841350804,-0.09808888017060768,0.13797738605814952,False,1.0
outer_0:delta3d_weight,,,,0.17137799605638568,-0.09231362687551181,0.13896666692202717,False,0.0
outer_0:delta3d_weight,,,,0.16647295273883522,-0.02226952409701166,0.13477763628439937,False,0.25
outer_0:delta3d_weight,,,,0.16263223348616956,0.03395956288314872,0.1315382970366656,False,0.5
outer_0:delta3d_weight,,,,0.16032530943578469,0.07637363406496911,0.12955728224315427,False,0.75
outer_0:delta3d_weight,,,,0.15896965383114428,0.1049726894484494,0.1284078783115275,True,1.0
