grouping,pair_label,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
pair_type,Sm-Eu,186,0.14033421111969724,0.2024365750605996,0.7688172043010753,0.24613297088615804,0.14815085926356317,0.20847122033498072,0.7795698924731183,0.20051742100030667,-0.007816648143865929
pair_type,La-Ce,174,0.1953817369974933,0.2761929714709857,0.7816091954022989,0.0705966259019335,0.19016772688067637,0.27311556762296324,0.7931034482758621,0.09119248170456618,0.005214010116816936
pair_type,Ho-Er,169,0.11102103888292329,0.16365552620513127,0.6390532544378699,-0.5351574685798781,0.10039707178467332,0.1505005677698346,0.6568047337278107,-0.29827847518515616,0.010623967098249976
pair_type,Dy-Ho,168,0.11010768044699167,0.1674802743417312,0.8511904761904762,0.011719310698985241,0.11534196851977775,0.16909151860735644,0.8511904761904762,-0.007387670806380475,-0.005234288072786086
pair_type,Eu-Gd,168,0.13681274865090684,0.20133210511894375,0.7380952380952381,0.005722707684834849,0.13123296874384607,0.1945048434879694,0.7261904761904762,0.07201214429663005,0.005579779907060767
pair_type,Gd-Tb,167,0.13697201369722117,0.18282274423451642,0.874251497005988,0.21438256906954856,0.1477951012360632,0.19589802384660226,0.874251497005988,0.09799120178999432,-0.010823087538842036
pair_type,Pr-Nd,160,0.14677591608489596,0.21815923044022673,0.71875,0.1746596955056947,0.1454589713408697,0.21687166070628652,0.70625,0.18437321742029322,0.0013169447440262438
pair_type,Tb-Dy,159,0.12695100731807668,0.174219758045751,0.7484276729559748,-0.095632624695829,0.1299431688756219,0.17340915122912912,0.7861635220125787,-0.08546086057372415,-0.0029921615575452254
pair_type,Ce-Pr,156,0.19277797079002076,0.30642775912766973,0.717948717948718,-0.014903924630356391,0.1930126615068752,0.30514613632833204,0.7051282051282052,-0.006432081886442509,-0.00023469071685444653
pair_type,Yb-Lu,135,0.15405616513926523,0.19149419012604788,0.6,-1.3915730291711292,0.099726450339039,0.13187785374277702,0.6074074074074074,-0.13426931621583282,0.054329714800226234
pair_type,Er-Tm,133,0.092724090179252,0.16829158339807354,0.5789473684210527,-0.06474294064273645,0.09402135856950995,0.16639889428469312,0.5639097744360902,-0.040928377637644786,-0.0012972683902579552
pair_type,Tm-Yb,129,0.06715005140087935,0.12158898729123521,0.5891472868217055,0.045838742167225166,0.06982542506016406,0.12463592270775897,0.627906976744186,-0.0025816756406360497,-0.002675373659284719
